Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Canopy Growth Corporation,WEED,2021,1,6,38.14,Healthcare,Drug Manufacturers—Specialty & Generic,14250000000.0,N/A,-2.8,2.89,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,7,38.77,Healthcare,Drug Manufacturers—Specialty & Generic,14490000000.0,N/A,-3.12,2.93,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,8,38.4,Healthcare,Drug Manufacturers—Specialty & Generic,14350000000.0,N/A,-3.18,2.91,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,11,40.14,Healthcare,Drug Manufacturers—Specialty & Generic,15000000000.0,N/A,-3.15,3.04,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,12,39.3,Healthcare,Drug Manufacturers—Specialty & Generic,14690000000.0,N/A,-3.15,2.97,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,13,40.8,Healthcare,Drug Manufacturers—Specialty & Generic,15250000000.0,N/A,-3.15,3.09,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,14,43.71,Healthcare,Drug Manufacturers—Specialty & Generic,16340000000.0,N/A,-3.15,3.31,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,15,42.49,Healthcare,Drug Manufacturers—Specialty & Generic,15880000000.0,N/A,-3.58,3.21,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,18,42.8,Healthcare,Drug Manufacturers—Specialty & Generic,16000000000.0,N/A,-3.48,3.24,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,19,42.73,Healthcare,Drug Manufacturers—Specialty & Generic,15970000000.0,N/A,-3.48,3.23,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,20,42.5,Healthcare,Drug Manufacturers—Specialty & Generic,15880000000.0,N/A,-3.5,3.22,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,21,42.33,Healthcare,Drug Manufacturers—Specialty & Generic,15820000000.0,N/A,-3.48,3.2,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,22,42.97,Healthcare,Drug Manufacturers—Specialty & Generic,16059999999.999998,N/A,-3.48,3.25,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,25,41.85,Healthcare,Drug Manufacturers—Specialty & Generic,15640000000.0,N/A,-0.63,3.17,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,26,44.99,Healthcare,Drug Manufacturers—Specialty & Generic,16750000000.0,N/A,-0.62,3.4,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,27,48.33,Healthcare,Drug Manufacturers—Specialty & Generic,18060000000.0,N/A,-0.62,3.66,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,28,51.54,Healthcare,Drug Manufacturers—Specialty & Generic,19260000000.0,N/A,-0.62,3.9,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,1,29,51.19,Healthcare,Drug Manufacturers—Specialty & Generic,19130000000.0,N/A,-0.64,3.87,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,1,51.41,Healthcare,Drug Manufacturers—Specialty & Generic,19210000000.0,N/A,-0.64,3.89,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,2,53.1,Healthcare,Drug Manufacturers—Specialty & Generic,19840000000.0,N/A,-0.64,4.02,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,3,57.4,Healthcare,Drug Manufacturers—Specialty & Generic,21450000000.0,N/A,-0.63,4.34,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,4,56.33,Healthcare,Drug Manufacturers—Specialty & Generic,21050000000.0,N/A,-0.63,4.26,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,5,54.76,Healthcare,Drug Manufacturers—Specialty & Generic,20470000000.0,N/A,-0.63,4.14,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,8,55.72,Healthcare,Drug Manufacturers—Specialty & Generic,20820000000.0,N/A,-0.63,4.22,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,9,62.35,Healthcare,Drug Manufacturers—Specialty & Generic,23300000000.0,N/A,-0.63,4.72,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,9,62.35,Healthcare,Drug Manufacturers—Specialty & Generic,23300000000.0,N/A,-0.63,4.72,N/A,0.0,N/A
Canopy Growth Corporation,WEED,2021,2,10,66.21,Healthcare,Drug Manufacturers—Specialty & Generic,24650000000.0,N/A,-0.36,6.26,N/A,0.0,N/A
