Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Wall Financial Corporation,WFC,2021,1,6,17.5,Real Estate,Real Estate—Development,594180000.0,N/A,N/A,3.23,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,7,16.7,Real Estate,Real Estate—Development,567020000.0,N/A,N/A,3.08,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,8,17.28,Real Estate,Real Estate—Development,586710000.0,N/A,N/A,3.19,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,11,16.77,Real Estate,Real Estate—Development,569400000.0,N/A,N/A,3.09,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,12,16.85,Real Estate,Real Estate—Development,572110000.0,N/A,N/A,3.11,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,13,16.75,Real Estate,Real Estate—Development,568720000.0,N/A,N/A,3.09,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,14,17.01,Real Estate,Real Estate—Development,577550000.0,N/A,N/A,3.14,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,15,17.1,Real Estate,Real Estate—Development,580600000.0,N/A,N/A,3.15,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,18,17.25,Real Estate,Real Estate—Development,585700000.0,N/A,N/A,3.18,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,19,18.25,Real Estate,Real Estate—Development,619650000.0,N/A,N/A,3.37,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,20,18.0,Real Estate,Real Estate—Development,611160000.0,N/A,N/A,3.32,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,21,18.24,Real Estate,Real Estate—Development,619310000.0,N/A,N/A,3.36,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,22,18.25,Real Estate,Real Estate—Development,619650000.0,N/A,N/A,3.37,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,25,18.0,Real Estate,Real Estate—Development,611160000.0,N/A,N/A,3.32,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,26,17.55,Real Estate,Real Estate—Development,595880000.0,N/A,N/A,3.24,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,27,17.85,Real Estate,Real Estate—Development,606070000.0,N/A,N/A,3.29,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,28,17.55,Real Estate,Real Estate—Development,595880000.0,N/A,N/A,3.24,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,1,29,17.55,Real Estate,Real Estate—Development,595880000.0,N/A,N/A,3.24,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,2,1,18.0,Real Estate,Real Estate—Development,611160000.0,N/A,N/A,3.32,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,2,2,17.58,Real Estate,Real Estate—Development,596900000.0,N/A,N/A,3.24,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,2,3,17.25,Real Estate,Real Estate—Development,585700000.0,N/A,N/A,3.18,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,2,4,16.81,Real Estate,Real Estate—Development,560040000.0,N/A,N/A,3.1,N/A,0.0,N/A
