Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Westport Fuel Systems Inc.,WPRT,2021,1,6,6.5,Consumer Cyclical,Auto Parts,890760000.0,N/A,N/A,11.02,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,7,6.98,Consumer Cyclical,Auto Parts,956540000.0,N/A,N/A,11.83,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,8,7.18,Consumer Cyclical,Auto Parts,983950000.0,N/A,N/A,12.17,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,11,7.18,Consumer Cyclical,Auto Parts,983950000.0,N/A,N/A,12.17,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,12,7.9,Consumer Cyclical,Auto Parts,1080000000.0,N/A,N/A,13.39,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,13,8.96,Consumer Cyclical,Auto Parts,1230000000.0,N/A,N/A,15.19,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,14,9.05,Consumer Cyclical,Auto Parts,1240000000.0,N/A,N/A,15.34,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,15,8.7,Consumer Cyclical,Auto Parts,1190000000.0,N/A,N/A,14.75,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,18,8.86,Consumer Cyclical,Auto Parts,1210000000.0,N/A,N/A,15.02,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,19,8.87,Consumer Cyclical,Auto Parts,1220000000.0,N/A,N/A,15.03,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,20,8.99,Consumer Cyclical,Auto Parts,1230000000.0,N/A,N/A,15.24,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,21,10.81,Consumer Cyclical,Auto Parts,1480000000.0,N/A,N/A,18.32,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,22,10.41,Consumer Cyclical,Auto Parts,1430000000.0,N/A,N/A,17.64,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,25,10.61,Consumer Cyclical,Auto Parts,1450000000.0,N/A,N/A,17.98,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,26,11.12,Consumer Cyclical,Auto Parts,1520000000.0,N/A,N/A,18.85,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,27,9.61,Consumer Cyclical,Auto Parts,1320000000.0,N/A,N/A,16.29,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,28,10.01,Consumer Cyclical,Auto Parts,1370000000.0,N/A,N/A,16.97,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,1,29,9.47,Consumer Cyclical,Auto Parts,1300000000.0,N/A,N/A,16.05,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,1,9.76,Consumer Cyclical,Auto Parts,1340000000.0,N/A,N/A,16.54,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,2,10.23,Consumer Cyclical,Auto Parts,1400000000.0,N/A,N/A,17.34,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,3,10.69,Consumer Cyclical,Auto Parts,1460000000.0,N/A,N/A,18.12,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,4,10.73,Consumer Cyclical,Auto Parts,1540000000.0,N/A,N/A,18.19,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,5,11.04,Consumer Cyclical,Auto Parts,1510000000.0,N/A,N/A,18.71,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,8,15.52,Consumer Cyclical,Auto Parts,2130000000.0,N/A,N/A,26.31,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,9,15.43,Consumer Cyclical,Auto Parts,2109999999.9999998,N/A,N/A,26.15,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,10,14.51,Consumer Cyclical,Auto Parts,1990000000.0,N/A,N/A,24.59,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,11,14.42,Consumer Cyclical,Auto Parts,1980000000.0,N/A,N/A,24.44,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,12,15.1,Consumer Cyclical,Auto Parts,2069999999.9999998,N/A,N/A,25.59,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,16,14.69,Consumer Cyclical,Auto Parts,2009999999.9999998,N/A,N/A,24.9,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,17,14.38,Consumer Cyclical,Auto Parts,1970000000.0,N/A,N/A,24.37,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,18,12.22,Consumer Cyclical,Auto Parts,1670000000.0,N/A,N/A,20.71,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,19,12.96,Consumer Cyclical,Auto Parts,1780000000.0,N/A,N/A,21.97,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,22,12.77,Consumer Cyclical,Auto Parts,1750000000.0,N/A,N/A,21.64,N/A,0.0,N/A
Westport Fuel Systems Inc.,WPRT,2021,2,23,11.69,Consumer Cyclical,Auto Parts,1600000000.0,N/A,N/A,19.81,N/A,0.0,N/A
