Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
M Split Corp.,XMF-A,2021,1,6,0.49,Financial Services,Asset Management,1120000.0,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,6,0.49,Financial Services,Asset Management,1120000.0,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,8,0.45,Financial Services,Asset Management,1020000.0,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,11,0.31,Financial Services,Asset Management,705.52,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,12,0.33,Financial Services,Asset Management,751.04,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,12,0.33,Financial Services,Asset Management,751.04,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,14,0.445,Financial Services,Asset Management,1010000.0,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,15,0.43,Financial Services,Asset Management,978.63,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,18,0.39,Financial Services,Asset Management,887.6,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,19,0.4,Financial Services,Asset Management,910.36,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,20,0.38,Financial Services,Asset Management,864.84,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,20,0.38,Financial Services,Asset Management,864.84,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,20,0.38,Financial Services,Asset Management,864.84,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,20,0.38,Financial Services,Asset Management,864.84,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,26,0.325,Financial Services,Asset Management,739.66,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,26,0.325,Financial Services,Asset Management,739.66,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,26,0.325,Financial Services,Asset Management,739.66,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,29,0.3,Financial Services,Asset Management,682.77,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,29,0.3,Financial Services,Asset Management,682.77,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,29,0.3,Financial Services,Asset Management,682.77,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,29,0.3,Financial Services,Asset Management,682.77,N/A,N/A,N/A,N/A,0.0,N/A
M Split Corp.,XMF-A,2021,1,29,0.3,Financial Services,Asset Management,682.77,N/A,N/A,N/A,N/A,0.0,N/A
