Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Yangarra Resources Ltd.,YGR,2021,1,6,0.85,Energy,Oil & Gas E&P,72570000.0,9.55,N/A,0.24,N/A,0.0,2.2920000000000003
Yangarra Resources Ltd.,YGR,2021,1,7,0.92,Energy,Oil & Gas E&P,78550000.0,10.34,N/A,0.26,N/A,0.0,2.6884
Yangarra Resources Ltd.,YGR,2021,1,8,0.93,Energy,Oil & Gas E&P,79400000.0,10.45,N/A,0.26,N/A,0.0,2.717
Yangarra Resources Ltd.,YGR,2021,1,11,0.91,Energy,Oil & Gas E&P,77700000.0,10.22,N/A,0.25,N/A,0.0,2.555
Yangarra Resources Ltd.,YGR,2021,1,12,0.9,Energy,Oil & Gas E&P,76840000.0,10.11,N/A,0.25,N/A,0.0,2.5275
Yangarra Resources Ltd.,YGR,2021,1,13,0.9,Energy,Oil & Gas E&P,76840000.0,10.11,N/A,0.25,N/A,0.0,2.5275
Yangarra Resources Ltd.,YGR,2021,1,14,0.93,Energy,Oil & Gas E&P,79400000.0,10.45,N/A,0.26,N/A,0.0,2.717
Yangarra Resources Ltd.,YGR,2021,1,15,0.88,Energy,Oil & Gas E&P,75130000.0,9.89,N/A,0.24,N/A,0.0,2.3736
Yangarra Resources Ltd.,YGR,2021,1,18,0.87,Energy,Oil & Gas E&P,74280000.0,9.78,N/A,0.24,N/A,0.0,2.3472
Yangarra Resources Ltd.,YGR,2021,1,19,0.9,Energy,Oil & Gas E&P,76840000.0,10.11,N/A,0.25,N/A,0.0,2.5275
Yangarra Resources Ltd.,YGR,2021,1,20,0.88,Energy,Oil & Gas E&P,75130000.0,9.89,N/A,0.24,N/A,0.0,2.3736
Yangarra Resources Ltd.,YGR,2021,1,21,0.84,Energy,Oil & Gas E&P,71720000.0,9.44,N/A,0.23,N/A,0.0,2.1712
Yangarra Resources Ltd.,YGR,2021,1,22,0.79,Energy,Oil & Gas E&P,67450000.0,8.88,N/A,0.22,N/A,0.0,1.9536000000000002
Yangarra Resources Ltd.,YGR,2021,1,25,0.79,Energy,Oil & Gas E&P,67450000.0,8.88,N/A,0.22,N/A,0.0,1.9536000000000002
Yangarra Resources Ltd.,YGR,2021,1,26,0.79,Energy,Oil & Gas E&P,67450000.0,8.88,N/A,0.22,N/A,0.0,1.9536000000000002
