Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Yorbeau Resources Inc.,YRB,2021,1,6,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,7,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,8,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,11,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,12,0.05,Basic Materials,Gold,18210000.0,N/A,N/A,0.65,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,13,0.05,Basic Materials,Gold,18210000.0,N/A,N/A,0.65,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,14,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,15,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,18,0.065,Basic Materials,Gold,23680000.0,N/A,N/A,0.84,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,19,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,20,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,21,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,22,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,25,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,26,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,27,0.06,Basic Materials,Gold,21850000.0,N/A,N/A,0.78,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,28,0.05,Basic Materials,Gold,18210000.0,N/A,N/A,0.65,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,1,29,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,1,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,2,0.055,Basic Materials,Gold,20030000.0,N/A,N/A,0.71,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,3,0.05,Basic Materials,Gold,18210000.0,N/A,N/A,0.65,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,4,0.05,Basic Materials,Gold,18210000.0,N/A,N/A,0.65,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,5,0.045,Basic Materials,Gold,16390000.0,N/A,N/A,0.58,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,8,0.045,Basic Materials,Gold,16390000.0,N/A,N/A,0.58,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,9,0.045,Basic Materials,Gold,16390000.0,N/A,N/A,0.58,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,10,0.045,Basic Materials,Gold,16390000.0,N/A,N/A,0.58,N/A,0.0,N/A
Yorbeau Resources Inc.,YRB,2021,2,11,0.045,Basic Materials,Gold,16390000.0,N/A,N/A,0.58,N/A,0.0,N/A
