Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Aberdeen International Inc.,AAB,2021,1,6,0.12,Financial Services,Asset Management,13450000.0,1.12,N/A,0.4,N/A,0.0,0.44800000000000006
Aberdeen International Inc.,AAB,2021,1,7,0.13,Financial Services,Asset Management,14570000.0,1.21,N/A,0.43,N/A,0.0,0.5203
Aberdeen International Inc.,AAB,2021,1,8,0.14,Financial Services,Asset Management,15690000.0,1.31,N/A,0.46,N/A,0.0,0.6026
Aberdeen International Inc.,AAB,2021,1,11,0.145,Financial Services,Asset Management,16250000.0,1.36,N/A,0.48,N/A,0.0,0.6528
Aberdeen International Inc.,AAB,2021,1,12,0.155,Financial Services,Asset Management,17370000.0,1.45,N/A,0.51,N/A,0.0,0.7394999999999999
Aberdeen International Inc.,AAB,2021,1,13,0.14,Financial Services,Asset Management,15690000.0,1.31,N/A,0.46,N/A,0.0,0.6026
Aberdeen International Inc.,AAB,2021,1,14,0.185,Financial Services,Asset Management,20730000.0,1.73,N/A,0.61,N/A,0.0,1.0553
Aberdeen International Inc.,AAB,2021,1,15,0.175,Financial Services,Asset Management,19610000.0,1.64,N/A,0.58,N/A,0.0,0.9511999999999998
Aberdeen International Inc.,AAB,2021,1,18,0.175,Financial Services,Asset Management,19610000.0,1.64,N/A,0.58,N/A,0.0,0.9511999999999998
Aberdeen International Inc.,AAB,2021,1,19,0.18,Financial Services,Asset Management,20170000.0,1.68,N/A,0.6,N/A,0.0,1.008
Aberdeen International Inc.,AAB,2021,1,20,0.185,Financial Services,Asset Management,20730000.0,1.73,N/A,0.61,N/A,0.0,1.0553
Aberdeen International Inc.,AAB,2021,1,21,0.19,Financial Services,Asset Management,21290000.0,1.78,N/A,0.63,N/A,0.0,1.1214
Aberdeen International Inc.,AAB,2021,1,22,0.18,Financial Services,Asset Management,20170000.0,1.68,N/A,0.6,N/A,0.0,1.008
Aberdeen International Inc.,AAB,2021,1,25,0.17,Financial Services,Asset Management,19050000.0,1.59,N/A,0.56,N/A,0.0,0.8904000000000001
Aberdeen International Inc.,AAB,2021,1,26,0.17,Financial Services,Asset Management,19050000.0,1.59,N/A,0.56,N/A,0.0,0.8904000000000001
Aberdeen International Inc.,AAB,2021,1,27,0.16,Financial Services,Asset Management,17930000.0,1.5,N/A,0.53,N/A,0.0,0.795
Aberdeen International Inc.,AAB,2021,1,28,0.19,Financial Services,Asset Management,21290000.0,1.78,N/A,0.63,N/A,0.0,1.1214
Aberdeen International Inc.,AAB,2021,1,29,0.185,Financial Services,Asset Management,20730000.0,1.73,N/A,0.61,N/A,0.0,1.0553
Aberdeen International Inc.,AAB,2021,2,1,0.18,Financial Services,Asset Management,20170000.0,1.68,N/A,0.6,N/A,0.0,1.008
Aberdeen International Inc.,AAB,2021,2,2,0.28,Financial Services,Asset Management,31370000.0,2.62,N/A,0.93,N/A,0.0,2.4366000000000003
Aberdeen International Inc.,AAB,2021,2,3,0.28,Financial Services,Asset Management,31370000.0,2.62,N/A,0.93,N/A,0.0,2.4366000000000003
Aberdeen International Inc.,AAB,2021,2,4,0.27,Financial Services,Asset Management,30250000.0,2.52,N/A,0.89,N/A,0.0,2.2428
Aberdeen International Inc.,AAB,2021,2,5,0.295,Financial Services,Asset Management,33060000.000000004,2.76,N/A,0.98,N/A,0.0,2.7047999999999996
Aberdeen International Inc.,AAB,2021,2,8,0.27,Financial Services,Asset Management,30250000.0,2.52,N/A,0.89,N/A,0.0,2.2428
Aberdeen International Inc.,AAB,2021,2,9,0.265,Financial Services,Asset Management,29690000.0,2.48,N/A,0.88,N/A,0.0,2.1824
Aberdeen International Inc.,AAB,2021,2,9,0.265,Financial Services,Asset Management,29690000.0,2.48,N/A,0.88,N/A,0.0,2.1824
Aberdeen International Inc.,AAB,2021,2,10,0.24,Financial Services,Asset Management,26890000.0,2.24,N/A,0.79,N/A,0.0,1.7696000000000003
Aberdeen International Inc.,AAB,2021,2,11,0.215,Financial Services,Asset Management,24090000.0,2.01,N/A,0.71,N/A,0.0,1.4270999999999998
Aberdeen International Inc.,AAB,2021,2,12,0.2,Financial Services,Asset Management,22410000.0,1.87,N/A,0.66,N/A,0.0,1.2342000000000002
