Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Aurora Cannabis Inc.,ACB,2021,1,6,12.94,Healthcare,Drug Manufacturers—Specialty & Generic,2380000000.0,N/A,N/A,0.8,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,7,12.9,Healthcare,Drug Manufacturers—Specialty & Generic,2370000000.0,N/A,N/A,0.8,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,8,12.67,Healthcare,Drug Manufacturers—Specialty & Generic,2330000000.0,N/A,N/A,0.78,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,11,13.32,Healthcare,Drug Manufacturers—Specialty & Generic,2450000000.0,N/A,N/A,0.82,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,12,13.41,Healthcare,Drug Manufacturers—Specialty & Generic,2460000000.0,N/A,N/A,0.83,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,13,13.87,Healthcare,Drug Manufacturers—Specialty & Generic,2550000000.0,N/A,N/A,0.86,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,14,15.1,Healthcare,Drug Manufacturers—Specialty & Generic,2770000000.0,N/A,N/A,0.94,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,15,15.3,Healthcare,Drug Manufacturers—Specialty & Generic,2810000000.0,N/A,N/A,0.95,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,18,15.22,Healthcare,Drug Manufacturers—Specialty & Generic,2800000000.0,N/A,N/A,0.94,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,19,15.11,Healthcare,Drug Manufacturers—Specialty & Generic,2780000000.0,N/A,N/A,0.94,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,20,14.61,Healthcare,Drug Manufacturers—Specialty & Generic,2680000000.0,N/A,N/A,0.9,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,21,14.09,Healthcare,Drug Manufacturers—Specialty & Generic,2590000000.0,N/A,N/A,0.87,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,22,13.54,Healthcare,Drug Manufacturers—Specialty & Generic,2490000000.0,N/A,N/A,0.84,N/A,0.0,N/A
Aurora Cannabis Inc.,ACB,2021,1,25,12.96,Healthcare,Drug Manufacturers—Specialty & Generic,2380000000.0,N/A,N/A,0.8,N/A,0.0,N/A
