Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Ag Growth International Inc.,AFN,2021,1,6,30.61,Industrials,Farm & Heavy Construction Machinery,572800000.0,N/A,1.17,1.92,0.0196,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,7,31.34,Industrials,Farm & Heavy Construction Machinery,586470000.0,N/A,1.17,1.97,0.0196,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,8,31.02,Industrials,Farm & Heavy Construction Machinery,580480000.0,N/A,1.23,1.95,0.0191,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,11,30.75,Industrials,Farm & Heavy Construction Machinery,575420000.0,N/A,1.23,1.93,0.0191,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,12,32.88,Industrials,Farm & Heavy Construction Machinery,615280000.0,N/A,1.23,2.07,0.0195,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,13,34.39,Industrials,Farm & Heavy Construction Machinery,643540000.0,N/A,1.23,2.16,0.0182,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,14,38.58,Industrials,Farm & Heavy Construction Machinery,721950000.0,N/A,1.23,2.42,0.0182,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,15,40.0,Industrials,Farm & Heavy Construction Machinery,748520000.0,N/A,1.52,2.51,0.015600000000000001,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,18,40.2,Industrials,Farm & Heavy Construction Machinery,752260000.0,N/A,1.57,2.52,0.015600000000000001,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,19,39.17,Industrials,Farm & Heavy Construction Machinery,732990000.0,N/A,1.57,2.46,0.0149,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,20,38.49,Industrials,Farm & Heavy Construction Machinery,720260000.0,N/A,1.57,2.42,0.015300000000000001,N/A,N/A
Ag Growth International Inc.,AFN,2021,1,21,38.31,Industrials,Farm & Heavy Construction Machinery,716900000.0,N/A,1.57,2.41,0.015300000000000001,N/A,N/A
