Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Amerigo Resources Ltd.,ARG,2021,1,6,0.88,Basic Materials,Copper,159080000.0,N/A,N/A,1.58,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,7,0.9,Basic Materials,Copper,162690000.0,N/A,N/A,1.61,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,8,0.89,Basic Materials,Copper,160880000.0,N/A,N/A,1.59,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,11,0.82,Basic Materials,Copper,148230000.0,N/A,N/A,1.47,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,12,0.84,Basic Materials,Copper,151850000.0,N/A,N/A,1.51,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,13,0.85,Basic Materials,Copper,153650000.0,N/A,N/A,1.52,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,14,0.91,Basic Materials,Copper,164500000.0,N/A,N/A,1.63,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,15,0.91,Basic Materials,Copper,164500000.0,N/A,N/A,1.63,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,18,0.9,Basic Materials,Copper,162690000.0,N/A,N/A,1.61,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,19,0.88,Basic Materials,Copper,159080000.0,N/A,N/A,1.58,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,20,0.92,Basic Materials,Copper,166310000.0,N/A,N/A,1.65,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,21,0.89,Basic Materials,Copper,160880000.0,N/A,N/A,1.59,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,22,0.91,Basic Materials,Copper,164500000.0,N/A,N/A,1.63,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,25,0.86,Basic Materials,Copper,155460000.0,N/A,N/A,1.54,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,26,0.84,Basic Materials,Copper,151850000.0,N/A,N/A,1.51,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,27,0.8,Basic Materials,Copper,144620000.0,N/A,N/A,1.43,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,28,0.8,Basic Materials,Copper,144620000.0,N/A,N/A,1.43,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,1,29,0.78,Basic Materials,Copper,141000000.0,N/A,N/A,1.4,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,1,0.74,Basic Materials,Copper,133770000.00000001,N/A,N/A,1.33,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,2,0.76,Basic Materials,Copper,137380000.0,N/A,N/A,1.36,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,3,0.76,Basic Materials,Copper,137380000.0,N/A,N/A,1.36,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,4,0.76,Basic Materials,Copper,137380000.0,N/A,N/A,1.36,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,5,0.74,Basic Materials,Copper,133770000.00000001,N/A,N/A,1.33,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,8,0.78,Basic Materials,Copper,141000000.0,N/A,N/A,1.4,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,9,0.79,Basic Materials,Copper,142810000.0,N/A,N/A,1.42,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,10,0.84,Basic Materials,Copper,151850000.0,N/A,N/A,1.51,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,11,0.81,Basic Materials,Copper,146420000.0,N/A,N/A,1.45,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,12,0.83,Basic Materials,Copper,150040000.0,N/A,N/A,1.49,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,16,0.88,Basic Materials,Copper,159080000.0,N/A,N/A,1.58,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,17,0.89,Basic Materials,Copper,160880000.0,N/A,N/A,1.59,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,18,0.91,Basic Materials,Copper,164500000.0,N/A,N/A,1.63,N/A,0.0,N/A
Amerigo Resources Ltd.,ARG,2021,2,19,0.93,Basic Materials,Copper,168120000.0,31.0,N/A,1.52,N/A,0.0,47.12
Amerigo Resources Ltd.,ARG,2021,2,22,0.91,Basic Materials,Copper,164500000.0,30.33,N/A,1.49,N/A,0.0,45.1917
