Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Antibe Therapeutics Inc.,ATE,2021,1,6,3.87,Healthcare,Biotechnology,149980000.0,N/A,N/A,6.59,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,7,4.03,Healthcare,Biotechnology,156180000.0,N/A,N/A,6.87,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,8,4.06,Healthcare,Biotechnology,157340000.0,N/A,N/A,6.92,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,11,4.13,Healthcare,Biotechnology,160050000.0,N/A,N/A,7.04,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,12,4.07,Healthcare,Biotechnology,157730000.0,N/A,N/A,6.93,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,13,4.08,Healthcare,Biotechnology,158120000.0,N/A,N/A,6.95,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,14,4.1,Healthcare,Biotechnology,158890000.0,N/A,N/A,6.98,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,15,4.06,Healthcare,Biotechnology,157340000.0,N/A,N/A,6.92,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,18,4.07,Healthcare,Biotechnology,157730000.0,N/A,N/A,6.93,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,19,4.01,Healthcare,Biotechnology,155400000.0,N/A,N/A,6.83,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,20,4.07,Healthcare,Biotechnology,157730000.0,N/A,N/A,6.93,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,21,4.09,Healthcare,Biotechnology,158500000.0,N/A,N/A,6.97,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,22,4.02,Healthcare,Biotechnology,155790000.0,N/A,N/A,6.85,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,25,3.94,Healthcare,Biotechnology,152690000.0,N/A,N/A,6.71,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,26,3.93,Healthcare,Biotechnology,152300000.0,N/A,N/A,6.7,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,27,3.76,Healthcare,Biotechnology,145720000.0,N/A,N/A,6.41,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,28,3.68,Healthcare,Biotechnology,142620000.0,N/A,N/A,6.27,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,1,29,3.76,Healthcare,Biotechnology,145720000.0,N/A,N/A,6.41,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,1,3.95,Healthcare,Biotechnology,153080000.0,N/A,N/A,6.73,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,2,3.95,Healthcare,Biotechnology,153080000.0,N/A,N/A,6.73,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,3,3.99,Healthcare,Biotechnology,154630000.0,N/A,N/A,6.8,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,4,4.02,Healthcare,Biotechnology,155790000.0,N/A,N/A,6.85,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,5,3.96,Healthcare,Biotechnology,153470000.0,N/A,N/A,6.75,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,8,4.65,Healthcare,Biotechnology,180210000.0,N/A,N/A,7.92,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,9,5.76,Healthcare,Biotechnology,223220000.0,N/A,N/A,9.81,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,9,5.76,Healthcare,Biotechnology,223220000.0,N/A,N/A,9.81,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,10,5.91,Healthcare,Biotechnology,229040000.0,N/A,N/A,10.07,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,11,5.48,Healthcare,Biotechnology,212370000.0,N/A,N/A,9.34,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,12,5.88,Healthcare,Biotechnology,227870000.0,N/A,N/A,10.02,N/A,0.0,N/A
Antibe Therapeutics Inc.,ATE,2021,2,16,6.77,Healthcare,Biotechnology,262540000.00000003,N/A,N/A,15.53,N/A,0.0,N/A
