Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Arizona Gold Corp.,AZG,2021,1,6,0.135,Basic Materials,Gold,46720000.0,N/A,N/A,22.5,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,7,0.135,Basic Materials,Gold,46720000.0,N/A,N/A,22.5,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,8,0.13,Basic Materials,Gold,44990000.0,N/A,N/A,21.67,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,11,0.13,Basic Materials,Gold,44990000.0,N/A,N/A,21.67,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,12,0.12,Basic Materials,Gold,41530000.0,N/A,N/A,20.0,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,13,0.13,Basic Materials,Gold,44990000.0,N/A,N/A,21.67,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,14,0.14,Basic Materials,Gold,48450000.0,N/A,N/A,23.33,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,15,0.15,Basic Materials,Gold,51910000.0,N/A,N/A,25.0,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,18,0.15,Basic Materials,Gold,51910000.0,N/A,N/A,25.0,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,19,0.15,Basic Materials,Gold,51910000.0,N/A,N/A,25.0,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,20,0.135,Basic Materials,Gold,46720000.0,N/A,N/A,22.5,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,21,0.15,Basic Materials,Gold,51910000.0,N/A,N/A,25.0,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,22,0.13,Basic Materials,Gold,44990000.0,N/A,N/A,21.67,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,25,0.14,Basic Materials,Gold,48450000.0,N/A,N/A,23.33,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,26,0.145,Basic Materials,Gold,50180000.0,N/A,N/A,24.17,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,27,0.14,Basic Materials,Gold,48450000.0,N/A,N/A,23.33,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,28,0.13,Basic Materials,Gold,44990000.0,N/A,N/A,21.67,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,1,29,0.14,Basic Materials,Gold,48450000.0,N/A,N/A,23.33,N/A,0.0,N/A
Arizona Gold Corp.,AZG,2021,2,1,0.135,Basic Materials,Gold,46720000.0,N/A,N/A,22.5,N/A,0.0,N/A
