Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Black Diamond Group Limited,BDI,2021,1,6,2.7,Industrials,Rental & Leasing Services,153630000.0,N/A,N/A,0.69,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,7,2.72,Industrials,Rental & Leasing Services,154770000.0,N/A,N/A,0.69,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,8,2.67,Industrials,Rental & Leasing Services,151920000.0,N/A,N/A,0.68,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,11,2.65,Industrials,Rental & Leasing Services,150790000.0,N/A,N/A,0.67,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,12,2.74,Industrials,Rental & Leasing Services,155910000.0,N/A,N/A,0.7,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,13,2.89,Industrials,Rental & Leasing Services,164440000.0,N/A,N/A,0.73,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,14,2.94,Industrials,Rental & Leasing Services,167290000.0,N/A,N/A,0.75,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,15,2.94,Industrials,Rental & Leasing Services,171260000.0,N/A,N/A,0.75,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,18,2.86,Industrials,Rental & Leasing Services,166600000.0,N/A,N/A,0.73,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,19,2.88,Industrials,Rental & Leasing Services,167770000.0,N/A,N/A,0.73,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,20,2.93,Industrials,Rental & Leasing Services,170680000.0,N/A,N/A,0.74,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,21,2.88,Industrials,Rental & Leasing Services,167770000.0,N/A,N/A,0.73,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,22,2.84,Industrials,Rental & Leasing Services,165440000.0,N/A,N/A,0.72,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,25,2.74,Industrials,Rental & Leasing Services,159610000.0,N/A,N/A,0.7,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,26,2.76,Industrials,Rental & Leasing Services,160780000.0,N/A,N/A,0.7,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,27,2.71,Industrials,Rental & Leasing Services,157860000.0,N/A,N/A,0.69,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,28,2.7,Industrials,Rental & Leasing Services,157280000.0,N/A,N/A,0.69,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,1,29,2.66,Industrials,Rental & Leasing Services,154950000.0,N/A,N/A,0.68,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,2,1,2.7,Industrials,Rental & Leasing Services,157280000.0,N/A,N/A,0.69,N/A,0.0,N/A
Black Diamond Group Limited,BDI,2021,2,2,2.71,Industrials,Rental & Leasing Services,157860000.0,N/A,N/A,0.69,N/A,0.0,N/A
