Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Renewable Corporation,BEPC,2021,1,6,76.82,Utilities,Utilities由enewable,13230000000.0,N/A,N/A,17.71,0.0199,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,7,77.8,Utilities,Utilities由enewable,13400000000.0,N/A,N/A,17.94,0.0194,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,8,79.28,Utilities,Utilities由enewable,13650000000.0,N/A,N/A,18.28,0.0192,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,11,75.88,Utilities,Utilities由enewable,13070000000.0,N/A,N/A,17.5,0.019,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,12,75.39,Utilities,Utilities由enewable,12980000000.0,N/A,N/A,17.38,0.018600000000000002,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,13,75.72,Utilities,Utilities由enewable,13040000000.0,N/A,N/A,17.46,0.0194,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,14,73.25,Utilities,Utilities由enewable,12610000000.0,N/A,N/A,16.89,0.0196,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,15,73.72,Utilities,Utilities由enewable,12690000000.0,N/A,N/A,17.0,0.0195,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,18,73.29,Utilities,Utilities由enewable,12620000000.0,N/A,N/A,16.9,0.020099999999999996,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,19,75.91,Utilities,Utilities由enewable,13070000000.0,N/A,N/A,17.5,0.02,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,20,74.49,Utilities,Utilities由enewable,12830000000.0,N/A,N/A,17.18,0.020099999999999996,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,21,75.16,Utilities,Utilities由enewable,12940000000.0,N/A,N/A,17.33,0.0194,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,22,74.66,Utilities,Utilities由enewable,12860000000.0,N/A,N/A,17.21,0.019799999999999998,N/A,N/A
Brookfield Renewable Corporation,BEPC,2021,1,25,74.02,Utilities,Utilities由enewable,12750000000.0,N/A,N/A,17.07,0.0196,N/A,N/A
