Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Ballard Power Systems Inc.,BLDP,2021,1,6,30.81,Industrials,Specialty Industrial Machinery,8690000000.0,N/A,N/A,16.1,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,7,35.64,Industrials,Specialty Industrial Machinery,10050000000.0,N/A,N/A,18.62,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,8,36.64,Industrials,Specialty Industrial Machinery,10330000000.0,N/A,N/A,19.14,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,11,36.95,Industrials,Specialty Industrial Machinery,10420000000.0,N/A,N/A,19.31,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,12,43.59,Industrials,Specialty Industrial Machinery,12290000000.0,N/A,N/A,22.77,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,13,46.4,Industrials,Specialty Industrial Machinery,13080000000.0,N/A,N/A,24.24,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,14,43.67,Industrials,Specialty Industrial Machinery,12310000000.0,N/A,N/A,22.82,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,15,39.24,Industrials,Specialty Industrial Machinery,11060000000.0,N/A,N/A,20.5,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,18,41.6,Industrials,Specialty Industrial Machinery,11730000000.0,N/A,N/A,21.73,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,19,45.63,Industrials,Specialty Industrial Machinery,12860000000.0,N/A,N/A,23.84,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,20,44.52,Industrials,Specialty Industrial Machinery,12550000000.0,N/A,N/A,23.26,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,21,44.97,Industrials,Specialty Industrial Machinery,12680000000.0,N/A,N/A,23.5,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,22,47.11,Industrials,Specialty Industrial Machinery,13280000000.0,N/A,N/A,24.61,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,25,45.08,Industrials,Specialty Industrial Machinery,12710000000.0,N/A,N/A,23.55,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,26,47.37,Industrials,Specialty Industrial Machinery,13350000000.0,N/A,N/A,24.75,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,27,44.01,Industrials,Specialty Industrial Machinery,12410000000.0,N/A,N/A,22.99,N/A,0.0,N/A
Ballard Power Systems Inc.,BLDP,2021,1,28,43.53,Industrials,Specialty Industrial Machinery,12270000000.0,N/A,N/A,22.74,N/A,0.0,N/A
