Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Battle North Gold Corporation,BNAU,2021,1,6,2.115,Basic Materials,Gold,273310000.0,N/A,-0.07,4.33,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,7,2.04,Basic Materials,Gold,263620000.0,N/A,-0.07,4.17,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,8,1.95,Basic Materials,Gold,251990000.0,N/A,-0.07,3.99,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,11,2.03,Basic Materials,Gold,262329999.99999997,N/A,-0.07,4.15,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,12,1.92,Basic Materials,Gold,248110000.0,N/A,-0.07,3.93,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,13,1.96,Basic Materials,Gold,253280000.0,N/A,-0.07,4.01,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,14,1.96,Basic Materials,Gold,253280000.0,N/A,-0.07,4.01,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,15,1.93,Basic Materials,Gold,249410000.0,N/A,-0.07,3.95,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,18,1.91,Basic Materials,Gold,246820000.0,N/A,-0.07,3.91,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,19,1.91,Basic Materials,Gold,246820000.0,N/A,-0.07,3.91,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,20,1.89,Basic Materials,Gold,244240000.0,N/A,-0.07,3.87,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,21,1.97,Basic Materials,Gold,254580000.0,N/A,-0.07,4.03,N/A,0.0,N/A
Battle North Gold Corporation,BNAU,2021,1,22,1.93,Basic Materials,Gold,249410000.0,N/A,-0.07,3.95,N/A,0.0,N/A
