Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,6,4.29,Financial Services,Asset Management,25920000.0,N/A,N/A,N/A,0.1379,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,7,4.16,Financial Services,Asset Management,25140000.0,N/A,N/A,N/A,0.1399,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,8,4.18,Financial Services,Asset Management,25260000.0,N/A,N/A,N/A,0.1442,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,11,3.91,Financial Services,Asset Management,23630000.0,N/A,N/A,N/A,0.1442,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,12,4.1,Financial Services,Asset Management,24780000.0,N/A,N/A,N/A,0.1535,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,13,4.07,Financial Services,Asset Management,24590000.0,N/A,N/A,N/A,0.1535,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,14,4.17,Financial Services,Asset Management,25200000.0,N/A,N/A,N/A,0.1474,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,15,4.22,Financial Services,Asset Management,25500000.0,N/A,N/A,N/A,0.1439,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,18,4.36,Financial Services,Asset Management,26350000.0,N/A,N/A,N/A,0.1439,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,19,4.4,Financial Services,Asset Management,26590000.0,N/A,N/A,N/A,0.1376,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,20,4.55,Financial Services,Asset Management,27500000.0,N/A,N/A,N/A,0.1376,N/A,N/A
