Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Belo Sun Mining Corp,BSX,2021,1,6,1.03,Basic Materials,Gold,468620000.0,N/A,-2.69,8.51,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,7,0.99,Basic Materials,Gold,450420000.0,N/A,-2.69,8.18,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,8,1.0,Basic Materials,Gold,454970000.0,N/A,-2.75,8.26,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,11,0.95,Basic Materials,Gold,432220000.0,N/A,-2.75,7.85,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,12,0.99,Basic Materials,Gold,450420000.0,N/A,-2.75,8.18,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,13,1.09,Basic Materials,Gold,495920000.0,N/A,-2.75,9.01,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,14,1.08,Basic Materials,Gold,491370000.0,N/A,-2.75,8.93,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,15,1.02,Basic Materials,Gold,464070000.0,N/A,-3.0,8.43,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,18,1.03,Basic Materials,Gold,468620000.0,N/A,-3.0,8.51,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,19,1.03,Basic Materials,Gold,468620000.0,N/A,-3.0,8.51,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,20,1.18,Basic Materials,Gold,536870000.0,N/A,-2.86,9.75,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,21,1.11,Basic Materials,Gold,505020000.0,N/A,-2.86,9.17,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,22,1.09,Basic Materials,Gold,495920000.0,N/A,-2.86,9.01,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,1,25,1.07,Basic Materials,Gold,486820000.0,N/A,-2.86,8.84,N/A,0.0,N/A
