Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Centamin plc,CEE,2021,1,6,2.33,Basic Materials,Gold,2700000000.0,18.94,N/A,2.07,0.0674,0.8136,36.73018549747049
Centamin plc,CEE,2021,1,7,2.31,Basic Materials,Gold,2650000000.0,18.78,N/A,2.05,0.0679,0.8136,36.05112838280738
Centamin plc,CEE,2021,1,8,2.22,Basic Materials,Gold,2560000000.0,18.05,N/A,1.97,0.06849999999999999,0.8136,33.27889564810482
Centamin plc,CEE,2021,1,11,2.18,Basic Materials,Gold,2520000000.0,17.72,N/A,1.94,0.0713,0.8136,32.08886399701297
Centamin plc,CEE,2021,1,12,2.15,Basic Materials,Gold,2490000000.0,17.48,N/A,1.91,0.0726,0.8136,31.12698116725713
Centamin plc,CEE,2021,1,13,2.13,Basic Materials,Gold,2430000000.0,17.32,N/A,1.89,0.0736,0.8136,30.490685543964236
Centamin plc,CEE,2021,1,14,2.09,Basic Materials,Gold,2430000000.0,16.99,N/A,1.86,0.07429999999999999,0.8136,29.415805640882432
Centamin plc,CEE,2021,1,15,2.02,Basic Materials,Gold,2320000000.0,16.42,N/A,1.8,0.0757,0.8136,27.476062099098264
Centamin plc,CEE,2021,1,18,2.04,Basic Materials,Gold,2350000000.0,16.59,N/A,1.81,0.0784,0.8136,27.844862759643917
Centamin plc,CEE,2021,1,19,2.06,Basic Materials,Gold,2380000000.0,16.75,N/A,1.83,0.0776,0.8136,28.44515590200446
Centamin plc,CEE,2021,1,20,2.11,Basic Materials,Gold,2430000000.0,17.15,N/A,1.88,0.0768,0.8136,29.942421991084693
Centamin plc,CEE,2021,1,21,2.12,Basic Materials,Gold,2480000000.0,17.24,N/A,1.88,0.075,0.8136,30.149953488372088
Centamin plc,CEE,2021,1,22,2.1,Basic Materials,Gold,2410000000.0,17.07,N/A,1.87,0.0747,0.8136,29.702149437052203
Centamin plc,CEE,2021,1,25,2.08,Basic Materials,Gold,2380000000.0,16.91,N/A,1.85,0.0754,0.8136,29.090106007067142
Centamin plc,CEE,2021,1,26,2.11,Basic Materials,Gold,2430000000.0,17.15,N/A,1.88,0.0761,0.8136,29.961899451723813
Centamin plc,CEE,2021,1,27,2.05,Basic Materials,Gold,2300000000.0,16.67,N/A,1.82,0.075,0.8136,28.22269767441861
Centamin plc,CEE,2021,1,28,2.06,Basic Materials,Gold,2300000000.0,16.75,N/A,1.83,0.07719999999999999,0.8136,28.455718529520983
Centamin plc,CEE,2021,1,29,2.03,Basic Materials,Gold,2330000000.0,16.5,N/A,1.8,0.078,0.8136,27.551020408163264
Centamin plc,CEE,2021,2,1,2.09,Basic Materials,Gold,N/A,N/A,N/A,1.86,N/A,N/A,N/A
