Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Cervus Equipment Corporation,CERV,2021,1,6,13.18,Industrials,Farm & Heavy Construction Machinery,202440000.0,16.88,1.56,0.83,0.0158,0.3333,13.792478834416222
Cervus Equipment Corporation,CERV,2021,1,7,13.46,Industrials,Farm & Heavy Construction Machinery,206750000.0,17.23,1.56,0.85,0.0152,0.3333,14.426221434200157
Cervus Equipment Corporation,CERV,2021,1,8,13.13,Industrials,Farm & Heavy Construction Machinery,201680000.0,16.81,1.64,0.83,0.0149,0.3333,13.747462804217163
Cervus Equipment Corporation,CERV,2021,1,11,13.18,Industrials,Farm & Heavy Construction Machinery,202440000.0,16.88,1.64,0.83,0.0152,0.3333,13.800630417651691
Cervus Equipment Corporation,CERV,2021,1,12,13.14,Industrials,Farm & Heavy Construction Machinery,201830000.0,16.82,1.64,0.83,0.0152,0.3333,13.751576044129234
Cervus Equipment Corporation,CERV,2021,1,13,13.24,Industrials,Farm & Heavy Construction Machinery,203370000.0,16.95,1.64,0.84,0.0152,0.3333,14.024822695035459
Cervus Equipment Corporation,CERV,2021,1,14,13.15,Industrials,Farm & Heavy Construction Machinery,201980000.0,16.84,2.09,0.83,0.0151,0.3333,13.769283814402524
Cervus Equipment Corporation,CERV,2021,1,15,13.28,Industrials,Farm & Heavy Construction Machinery,203980000.0,17.0,1.64,0.84,0.0152,0.3333,14.066193853427894
Cervus Equipment Corporation,CERV,2021,1,18,13.2,Industrials,Farm & Heavy Construction Machinery,202750000.0,16.9,1.64,0.83,0.0151,0.3333,13.818343020392078
Cervus Equipment Corporation,CERV,2021,1,19,13.1,Industrials,Farm & Heavy Construction Machinery,201220000.0,16.77,1.64,0.83,0.0152,0.3333,13.710697399527184
Cervus Equipment Corporation,CERV,2021,1,20,13.05,Industrials,Farm & Heavy Construction Machinery,200450000.0,16.71,1.64,0.82,0.015300000000000001,0.3333,13.495715552053579
Cervus Equipment Corporation,CERV,2021,1,21,13.04,Industrials,Farm & Heavy Construction Machinery,200290000.0,16.7,1.64,0.82,0.015300000000000001,0.3333,13.487639121441935
Cervus Equipment Corporation,CERV,2021,1,22,12.93,Industrials,Farm & Heavy Construction Machinery,198600000.0,16.56,1.64,0.82,0.015300000000000001,0.3333,13.37456909287895
Cervus Equipment Corporation,CERV,2021,1,25,12.61,Industrials,Farm & Heavy Construction Machinery,193690000.0,16.15,1.64,0.8,0.0155,0.3333,12.722796651895617
Cervus Equipment Corporation,CERV,2021,1,26,12.64,Industrials,Farm & Heavy Construction Machinery,194150000.0,16.18,1.64,0.8,0.0159,0.3333,12.741411556255537
Cervus Equipment Corporation,CERV,2021,1,27,12.47,Industrials,Farm & Heavy Construction Machinery,191540000.0,15.97,1.64,0.79,0.0158,0.3333,12.420063004528451
Cervus Equipment Corporation,CERV,2021,1,28,12.58,Industrials,Farm & Heavy Construction Machinery,193230000.0,16.11,1.64,0.79,0.016,0.3333,12.526476377952756
Cervus Equipment Corporation,CERV,2021,1,29,12.46,Industrials,Farm & Heavy Construction Machinery,191390000.0,15.95,1.64,0.79,0.0161,0.3333,12.400846373388447
Cervus Equipment Corporation,CERV,2021,2,1,12.44,Industrials,Farm & Heavy Construction Machinery,191080000.0,15.93,1.64,0.79,0.0161,0.3333,12.385296722763508
Cervus Equipment Corporation,CERV,2021,2,2,12.54,Industrials,Farm & Heavy Construction Machinery,192610000.0,16.06,1.64,0.79,0.0161,0.3333,12.486369451825608
Cervus Equipment Corporation,CERV,2021,2,3,12.46,Industrials,Farm & Heavy Construction Machinery,191390000.0,15.95,1.64,0.79,0.0159,0.3333,12.4032877251698
Cervus Equipment Corporation,CERV,2021,2,4,12.76,Industrials,Farm & Heavy Construction Machinery,195990000.0,16.34,1.64,0.81,0.0161,0.3333,13.025686448184235
Cervus Equipment Corporation,CERV,2021,2,5,12.95,Industrials,Farm & Heavy Construction Machinery,198910000.0,16.58,1.64,0.82,0.015700000000000002,0.3333,13.385448459190703
Cervus Equipment Corporation,CERV,2021,2,8,13.19,Industrials,Farm & Heavy Construction Machinery,202600000.0,16.89,1.64,0.83,0.0154,0.3333,13.806086271420128
Cervus Equipment Corporation,CERV,2021,2,9,12.85,Industrials,Farm & Heavy Construction Machinery,197380000.0,16.45,1.64,0.81,0.0152,0.3333,13.125
Cervus Equipment Corporation,CERV,2021,2,9,12.85,Industrials,Farm & Heavy Construction Machinery,197380000.0,16.45,1.64,0.81,0.0152,0.3333,13.125
Cervus Equipment Corporation,CERV,2021,2,10,12.97,Industrials,Farm & Heavy Construction Machinery,199220000.0,16.61,1.64,0.82,0.015600000000000001,0.3333,13.410988578180383
Cervus Equipment Corporation,CERV,2021,2,11,12.86,Industrials,Farm & Heavy Construction Machinery,197530000.0,16.47,1.64,0.81,0.0154,0.3333,13.13836911561946
