Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Centerra Gold Inc.,CG,2021,1,6,15.29,Basic Materials,Gold,4520000000.0,15.08,0.1,1.91,0.013300000000000001,0.0943,28.424750814171514
Centerra Gold Inc.,CG,2021,1,7,15.42,Basic Materials,Gold,4560000000.0,15.21,0.1,1.92,0.0131,0.0943,28.82558483861415
Centerra Gold Inc.,CG,2021,1,8,14.53,Basic Materials,Gold,4300000000.0,14.33,0.11,1.81,0.013000000000000001,0.0943,25.604442250740377
Centerra Gold Inc.,CG,2021,1,11,14.26,Basic Materials,Gold,4219999999.9999995,14.06,0.11,1.78,0.0138,0.0943,24.686131386861316
Centerra Gold Inc.,CG,2021,1,12,14.28,Basic Materials,Gold,4219999999.9999995,14.08,0.11,1.78,0.0138,0.0943,24.721246794239494
Centerra Gold Inc.,CG,2021,1,13,14.51,Basic Materials,Gold,4290000000.0,14.31,0.11,1.81,0.013999999999999999,0.0943,25.543491124260356
Centerra Gold Inc.,CG,2021,1,14,14.49,Basic Materials,Gold,4290000000.0,14.29,0.11,1.81,0.0138,0.0943,25.51282304202012
Centerra Gold Inc.,CG,2021,1,15,14.35,Basic Materials,Gold,4240000000.0,14.15,0.1,1.79,0.0138,0.0943,24.98372460051292
Centerra Gold Inc.,CG,2021,1,18,14.32,Basic Materials,Gold,4240000000.0,14.12,0.1,1.79,0.0139,0.0943,24.92829667620081
Centerra Gold Inc.,CG,2021,1,19,14.29,Basic Materials,Gold,4230000000.0000005,14.09,0.1,1.78,0.013999999999999999,0.0943,24.733925049309665
Centerra Gold Inc.,CG,2021,1,20,14.41,Basic Materials,Gold,4260000000.0,14.21,0.1,1.8,0.013999999999999999,0.0943,25.22485207100592
Centerra Gold Inc.,CG,2021,1,21,14.23,Basic Materials,Gold,4210000000.0,14.03,0.1,1.78,0.0139,0.0943,24.631028701055328
Centerra Gold Inc.,CG,2021,1,22,13.88,Basic Materials,Gold,4110000000.0000005,13.69,0.1,1.73,0.0139,0.0943,23.359009764276554
Centerra Gold Inc.,CG,2021,1,25,14.13,Basic Materials,Gold,4179999999.9999995,13.93,0.1,1.76,0.0144,0.0943,24.168769716088327
Centerra Gold Inc.,CG,2021,1,26,14.05,Basic Materials,Gold,4160000000.0,13.86,0.1,1.75,0.014199999999999999,0.0943,23.915401301518436
Centerra Gold Inc.,CG,2021,1,27,13.31,Basic Materials,Gold,3940000000.0,13.13,0.1,1.66,0.014199999999999999,0.0943,21.490633011240387
Centerra Gold Inc.,CG,2021,1,28,13.81,Basic Materials,Gold,4080000000.0,13.62,0.1,1.72,0.015,0.0943,23.080197044334977
Centerra Gold Inc.,CG,2021,1,29,13.25,Basic Materials,Gold,3920000000.0,13.07,0.1,1.65,0.014499999999999999,0.0943,21.257269590931493
Centerra Gold Inc.,CG,2021,2,1,13.5,Basic Materials,Gold,3990000000.0,13.31,0.1,1.68,0.0151,0.0943,22.02817456408236
Centerra Gold Inc.,CG,2021,2,2,13.48,Basic Materials,Gold,3990000000.0,13.29,0.1,1.68,0.0148,0.0943,22.00157666535278
Centerra Gold Inc.,CG,2021,2,3,13.77,Basic Materials,Gold,4070000000.0000005,13.58,0.1,1.72,0.0151,0.0943,23.010146783568125
Centerra Gold Inc.,CG,2021,2,4,13.57,Basic Materials,Gold,4010000000.0,13.38,0.1,1.69,0.014499999999999999,0.0943,22.289009364218828
Centerra Gold Inc.,CG,2021,2,5,13.81,Basic Materials,Gold,4080000000.0,13.62,0.1,1.72,0.014499999999999999,0.0943,23.09157220305569
Centerra Gold Inc.,CG,2021,2,8,13.74,Basic Materials,Gold,4059999999.9999995,13.55,0.1,1.71,0.014499999999999999,0.0943,22.839329719073437
Centerra Gold Inc.,CG,2021,2,9,14.07,Basic Materials,Gold,4160000000.0,13.88,0.09,1.76,0.014499999999999999,0.0943,24.079645145391822
Centerra Gold Inc.,CG,2021,2,9,14.07,Basic Materials,Gold,4160000000.0,13.88,0.09,1.76,0.014499999999999999,0.0943,24.079645145391822
Centerra Gold Inc.,CG,2021,2,10,14.2,Basic Materials,Gold,4200000000.0,14.0,0.09,1.77,0.014199999999999999,0.0943,24.433050680339186
Centerra Gold Inc.,CG,2021,2,11,13.96,Basic Materials,Gold,4130000000.0,13.77,0.09,1.74,0.014199999999999999,0.0943,23.624334450798656
Centerra Gold Inc.,CG,2021,2,12,13.52,Basic Materials,Gold,4000000000.0,13.33,0.09,1.69,0.0143,0.0943,22.210095632455882
Centerra Gold Inc.,CG,2021,2,16,13.56,Basic Materials,Gold,4010000000.0,13.37,0.09,1.69,0.0143,0.0943,22.276742581090407
Centerra Gold Inc.,CG,2021,2,17,13.52,Basic Materials,Gold,4000000000.0,13.33,0.09,1.69,0.0147,0.0943,22.201340297624913
