Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Chesswood Group Limited,CHW,2021,1,6,8.95,Financial Services,Credit Services,145750000.0,N/A,N/A,1.18,0.0472,N/A,N/A
Chesswood Group Limited,CHW,2021,1,7,8.91,Financial Services,Credit Services,145100000.0,N/A,N/A,1.18,0.0472,N/A,N/A
Chesswood Group Limited,CHW,2021,1,8,8.82,Financial Services,Credit Services,143630000.0,N/A,N/A,1.17,0.0475,N/A,N/A
Chesswood Group Limited,CHW,2021,1,11,8.98,Financial Services,Credit Services,146320000.0,N/A,N/A,1.19,0.0482,N/A,N/A
Chesswood Group Limited,CHW,2021,1,12,8.9,Financial Services,Credit Services,144940000.0,N/A,N/A,1.18,0.0473,N/A,N/A
Chesswood Group Limited,CHW,2021,1,13,8.93,Financial Services,Credit Services,145430000.0,N/A,N/A,1.18,0.0478,N/A,N/A
Chesswood Group Limited,CHW,2021,1,14,8.91,Financial Services,Credit Services,145100000.0,N/A,N/A,1.18,0.0478,N/A,N/A
Chesswood Group Limited,CHW,2021,1,15,9.08,Financial Services,Credit Services,147870000.0,N/A,N/A,1.2,0.047599999999999996,N/A,N/A
Chesswood Group Limited,CHW,2021,1,18,9.09,Financial Services,Credit Services,148030000.0,N/A,N/A,1.2,0.046799999999999994,N/A,N/A
Chesswood Group Limited,CHW,2021,1,19,9.14,Financial Services,Credit Services,148840000.0,N/A,N/A,1.21,0.046799999999999994,N/A,N/A
Chesswood Group Limited,CHW,2021,1,20,9.18,Financial Services,Credit Services,149500000.0,N/A,N/A,1.21,0.04650000000000001,N/A,N/A
