Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CI Financial Corp,CIX,2021,1,6,15.79,Financial Services,Asset Management,3310000000.0,6.67,-6.69,2.18,0.0471,0.30510000000000004,13.88654378760386
CI Financial Corp,CIX,2021,1,7,16.48,Financial Services,Asset Management,3460000000.0,6.96,-6.69,2.27,0.045599999999999995,0.30510000000000004,15.11017597551645
CI Financial Corp,CIX,2021,1,8,16.21,Financial Services,Asset Management,3400000000.0,6.85,-6.98,2.23,0.0437,0.30510000000000004,14.635910702309092
CI Financial Corp,CIX,2021,1,11,16.44,Financial Services,Asset Management,3450000000.0,6.95,-6.98,2.27,0.0444,0.30510000000000004,15.105802374569132
CI Financial Corp,CIX,2021,1,12,17.42,Financial Services,Asset Management,3650000000.0,7.36,-6.98,2.4,0.0438,0.30510000000000004,16.92278214217283
CI Financial Corp,CIX,2021,1,13,16.58,Financial Services,Asset Management,3480000000.0,7.0,0.97,2.28,0.041299999999999996,0.30510000000000004,15.326995102276001
CI Financial Corp,CIX,2021,1,14,16.47,Financial Services,Asset Management,3470000000.0,6.96,0.97,2.27,0.0434,0.30510000000000004,15.14203565267395
CI Financial Corp,CIX,2021,1,15,16.51,Financial Services,Asset Management,3480000000.0,6.98,0.97,2.27,0.0437,0.30510000000000004,15.181182332087765
CI Financial Corp,CIX,2021,1,18,16.6,Financial Services,Asset Management,3490000000.0,7.01,0.97,2.29,0.0436,0.30510000000000004,15.382234572633193
CI Financial Corp,CIX,2021,1,19,16.37,Financial Services,Asset Management,3440000000.0,6.92,0.97,2.26,0.0434,0.30510000000000004,14.98869081847805
CI Financial Corp,CIX,2021,1,20,16.37,Financial Services,Asset Management,3440000000.0,6.92,0.97,2.26,0.044000000000000004,0.30510000000000004,14.980076628352489
CI Financial Corp,CIX,2021,1,21,16.67,Financial Services,Asset Management,3510000000.0,7.04,0.97,2.3,0.044000000000000004,0.30510000000000004,15.509578544061302
CI Financial Corp,CIX,2021,1,22,16.58,Financial Services,Asset Management,3490000000.0,7.0,0.97,2.28,0.0432,0.30510000000000004,15.299079754601227
CI Financial Corp,CIX,2021,1,25,16.5,Financial Services,Asset Management,3470000000.0,6.97,0.97,2.27,0.0434,0.30510000000000004,15.163791451025492
CI Financial Corp,CIX,2021,1,26,16.99,Financial Services,Asset Management,3570000000.0,7.18,0.9,2.34,0.0436,0.30510000000000004,16.099271751628972
CI Financial Corp,CIX,2021,1,27,16.29,Financial Services,Asset Management,3430000000.0,6.88,0.9,2.24,0.0424,0.30510000000000004,14.78434382194935
CI Financial Corp,CIX,2021,1,28,16.27,Financial Services,Asset Management,3420000000.0,6.87,0.9,2.24,0.044199999999999996,0.30510000000000004,14.737406627082935
CI Financial Corp,CIX,2021,1,29,15.88,Financial Services,Asset Management,3340000000.0,6.71,0.9,2.19,0.0453,0.30510000000000004,14.058069453745336
CI Financial Corp,CIX,2021,2,1,16.6,Financial Services,Asset Management,3490000000.0,7.01,0.9,2.29,0.0453,0.30510000000000004,15.357218023533916
CI Financial Corp,CIX,2021,2,2,17.01,Financial Services,Asset Management,3580000000.0,7.19,0.9,2.34,0.0434,0.30510000000000004,16.12478435882691
CI Financial Corp,CIX,2021,2,3,17.27,Financial Services,Asset Management,3630000000.0,7.3,0.9,2.38,0.042300000000000004,0.30510000000000004,16.66890530557421
CI Financial Corp,CIX,2021,2,4,17.38,Financial Services,Asset Management,3650000000.0,7.34,0.9,2.39,0.0417,0.30510000000000004,16.840357108572526
CI Financial Corp,CIX,2021,2,5,17.79,Financial Services,Asset Management,3740000000.0,7.52,0.9,2.45,0.0414,0.30510000000000004,17.691569041674665
CI Financial Corp,CIX,2021,2,8,17.41,Financial Services,Asset Management,3660000000.0,7.36,0.9,2.4,0.0405,0.30510000000000004,16.97645362806343
CI Financial Corp,CIX,2021,2,9,17.47,Financial Services,Asset Management,N/A,N/A,0.02,2.41,0.0414,N/A,N/A
CI Financial Corp,CIX,2021,2,10,17.33,Financial Services,Asset Management,3640000000.0,7.32,0.02,2.39,0.0412,0.30510000000000004,16.802535535920097
CI Financial Corp,CIX,2021,2,11,18.2,Financial Services,Asset Management,3830000000.0,7.69,0.89,2.51,0.0415,0.30510000000000004,18.532789246279403
CI Financial Corp,CIX,2021,2,12,19.16,Financial Services,Asset Management,4030000000.0000005,8.67,0.79,2.55,0.039599999999999996,0.30510000000000004,21.2663524432474
CI Financial Corp,CIX,2021,2,16,18.52,Financial Services,Asset Management,3890000000.0,8.38,0.78,2.46,0.037599999999999995,0.30510000000000004,19.867771781033156
