Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Canadian Imperial Bank of Commerce,CM,2021,1,6,111.22,Financial Services,Banks—Diversified,49720000000.0,13.53,2.93,1.3,0.0535,0.708,16.695775984812528
Canadian Imperial Bank of Commerce,CM,2021,1,7,111.74,Financial Services,Banks—Diversified,49960000000.0,13.59,2.93,1.3,0.0525,0.708,16.785748218527317
Canadian Imperial Bank of Commerce,CM,2021,1,8,112.51,Financial Services,Banks—Diversified,50300000000.0,13.69,3.01,1.31,0.052300000000000006,0.708,17.042573410624346
Canadian Imperial Bank of Commerce,CM,2021,1,11,112.88,Financial Services,Banks—Diversified,50470000000.0,13.73,3.01,1.32,0.0519,0.708,17.22939442912824
Canadian Imperial Bank of Commerce,CM,2021,1,12,113.27,Financial Services,Banks—Diversified,50640000000.0,13.78,3.01,1.32,0.051699999999999996,0.708,17.295426452410382
Canadian Imperial Bank of Commerce,CM,2021,1,13,113.83,Financial Services,Banks—Diversified,50890000000.0,13.85,3.01,1.33,0.0516,0.708,17.516641308482313
Canadian Imperial Bank of Commerce,CM,2021,1,14,113.86,Financial Services,Banks—Diversified,50900000000.0,13.85,3.01,1.33,0.0513,0.708,17.52163987444117
Canadian Imperial Bank of Commerce,CM,2021,1,15,113.67,Financial Services,Banks—Diversified,50820000000.0,13.83,3.01,1.33,0.0513,0.708,17.496337867402268
Canadian Imperial Bank of Commerce,CM,2021,1,18,113.78,Financial Services,Banks—Diversified,50870000000.0,13.84,3.01,1.33,0.051399999999999994,0.708,17.507323568575234
Canadian Imperial Bank of Commerce,CM,2021,1,19,113.48,Financial Services,Banks—Diversified,50730000000.0,13.81,3.01,1.32,0.0513,0.708,17.339674688480933
Canadian Imperial Bank of Commerce,CM,2021,1,20,112.59,Financial Services,Banks—Diversified,50340000000.0,13.7,3.01,1.31,0.051500000000000004,0.708,17.0679980979553
Canadian Imperial Bank of Commerce,CM,2021,1,21,111.69,Financial Services,Banks—Diversified,49930000000.0,13.59,3.01,1.3,0.0519,0.708,16.79532274931077
Canadian Imperial Bank of Commerce,CM,2021,1,22,111.06,Financial Services,Banks—Diversified,49650000000.0,13.51,3.01,1.3,0.052300000000000006,0.708,16.690107383825904
Canadian Imperial Bank of Commerce,CM,2021,1,25,110.97,Financial Services,Banks—Diversified,49610000000.0,13.5,3.01,1.29,0.0526,0.708,16.544746342390273
Canadian Imperial Bank of Commerce,CM,2021,1,26,110.86,Financial Services,Banks—Diversified,49560000000.0,13.49,3.01,1.29,0.0527,0.708,16.53092049016814
Canadian Imperial Bank of Commerce,CM,2021,1,27,109.48,Financial Services,Banks—Diversified,48950000000.0,13.32,3.01,1.28,0.0527,0.708,16.196067255628385
Canadian Imperial Bank of Commerce,CM,2021,1,28,110.34,Financial Services,Banks—Diversified,49330000000.0,13.42,3.01,1.29,0.0533,0.708,16.435773283964686
