Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Cronos Group Inc.,CRON,2021,1,6,10.93,Healthcare,Drug Manufacturers—Specialty & Generic,3890000000.0,38.08,4.88,2.2,N/A,0.0,83.776
Cronos Group Inc.,CRON,2021,1,7,11.16,Healthcare,Drug Manufacturers—Specialty & Generic,3980000000.0,38.89,6.06,2.25,N/A,0.0,87.5025
Cronos Group Inc.,CRON,2021,1,8,11.47,Healthcare,Drug Manufacturers—Specialty & Generic,4090000000.0,39.97,6.18,2.31,N/A,0.0,92.3307
Cronos Group Inc.,CRON,2021,1,11,12.5,Healthcare,Drug Manufacturers—Specialty & Generic,4450000000.0,43.55,6.18,2.52,N/A,0.0,109.746
Cronos Group Inc.,CRON,2021,1,12,12.41,Healthcare,Drug Manufacturers—Specialty & Generic,4420000000.0,43.24,6.18,2.5,N/A,0.0,108.10000000000001
Cronos Group Inc.,CRON,2021,1,13,13.59,Healthcare,Drug Manufacturers—Specialty & Generic,4840000000.0,47.35,6.18,2.74,N/A,0.0,129.739
Cronos Group Inc.,CRON,2021,1,14,14.23,Healthcare,Drug Manufacturers—Specialty & Generic,5070000000.0,49.58,6.18,2.86,N/A,0.0,141.7988
Cronos Group Inc.,CRON,2021,1,15,13.94,Healthcare,Drug Manufacturers—Specialty & Generic,4970000000.0,48.57,6.18,2.81,N/A,0.0,136.4817
Cronos Group Inc.,CRON,2021,1,18,14.24,Healthcare,Drug Manufacturers—Specialty & Generic,5070000000.0,49.62,6.18,2.87,N/A,0.0,142.4094
Cronos Group Inc.,CRON,2021,1,19,14.13,Healthcare,Drug Manufacturers—Specialty & Generic,5030000000.0,49.23,6.18,2.84,N/A,0.0,139.8132
Cronos Group Inc.,CRON,2021,1,20,13.85,Healthcare,Drug Manufacturers—Specialty & Generic,4930000000.0,48.26,6.18,2.79,N/A,0.0,134.6454
Cronos Group Inc.,CRON,2021,1,21,13.58,Healthcare,Drug Manufacturers—Specialty & Generic,4840000000.0,47.32,6.18,2.73,N/A,0.0,129.1836
Cronos Group Inc.,CRON,2021,1,22,13.55,Healthcare,Drug Manufacturers—Specialty & Generic,4830000000.0,47.21,6.18,2.73,N/A,0.0,128.8833
Cronos Group Inc.,CRON,2021,1,25,12.68,Healthcare,Drug Manufacturers—Specialty & Generic,4520000000.0,44.18,6.18,2.55,N/A,0.0,112.65899999999999
Cronos Group Inc.,CRON,2021,1,26,13.19,Healthcare,Drug Manufacturers—Specialty & Generic,4700000000.0,45.96,6.18,2.66,N/A,0.0,122.2536
Cronos Group Inc.,CRON,2021,1,27,13.25,Healthcare,Drug Manufacturers—Specialty & Generic,4720000000.0,46.17,6.18,2.67,N/A,0.0,123.2739
Cronos Group Inc.,CRON,2021,1,28,13.41,Healthcare,Drug Manufacturers—Specialty & Generic,4780000000.0,46.72,6.18,2.7,N/A,0.0,126.144
Cronos Group Inc.,CRON,2021,1,29,13.2,Healthcare,Drug Manufacturers—Specialty & Generic,4700000000.0,45.99,6.18,2.66,N/A,0.0,122.33340000000001
Cronos Group Inc.,CRON,2021,2,1,13.16,Healthcare,Drug Manufacturers—Specialty & Generic,4690000000.0,45.85,6.18,2.65,N/A,0.0,121.5025
Cronos Group Inc.,CRON,2021,2,2,14.51,Healthcare,Drug Manufacturers—Specialty & Generic,5170000000.0,50.56,6.18,2.92,N/A,0.0,147.6352
Cronos Group Inc.,CRON,2021,2,3,15.68,Healthcare,Drug Manufacturers—Specialty & Generic,5590000000.0,54.63,6.18,3.16,N/A,0.0,172.63080000000002
Cronos Group Inc.,CRON,2021,2,4,15.64,Healthcare,Drug Manufacturers—Specialty & Generic,5570000000.0,54.49,6.18,3.15,N/A,0.0,171.6435
Cronos Group Inc.,CRON,2021,2,5,15.31,Healthcare,Drug Manufacturers—Specialty & Generic,5450000000.0,53.34,6.18,3.08,N/A,0.0,164.2872
Cronos Group Inc.,CRON,2021,2,8,16.36,Healthcare,Drug Manufacturers—Specialty & Generic,5830000000.0,57.0,6.18,3.29,N/A,0.0,187.53
Cronos Group Inc.,CRON,2021,2,9,17.25,Healthcare,Drug Manufacturers—Specialty & Generic,6140000000.0,60.1,6.18,3.47,N/A,0.0,208.54700000000003
Cronos Group Inc.,CRON,2021,2,10,19.77,Healthcare,Drug Manufacturers—Specialty & Generic,7040000000.0,68.89,6.18,3.98,N/A,0.0,274.1822
Cronos Group Inc.,CRON,2021,2,11,15.39,Healthcare,Drug Manufacturers—Specialty & Generic,5480000000.0,53.62,6.18,3.1,N/A,0.0,166.222
Cronos Group Inc.,CRON,2021,2,12,15.56,Healthcare,Drug Manufacturers—Specialty & Generic,5540000000.0,54.22,6.18,3.13,N/A,0.0,169.7086
Cronos Group Inc.,CRON,2021,2,16,16.74,Healthcare,Drug Manufacturers—Specialty & Generic,5960000000.0,58.33,6.18,3.37,N/A,0.0,196.5721
Cronos Group Inc.,CRON,2021,2,17,15.83,Healthcare,Drug Manufacturers—Specialty & Generic,5640000000.0,55.16,6.18,3.19,N/A,0.0,175.9604
