Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Capstone Mining Corp.,CS,2021,1,6,2.75,Basic Materials,Copper,1110000000.0,N/A,-0.72,1.48,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,7,2.94,Basic Materials,Copper,1180000000.0,N/A,-0.83,1.58,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,8,2.89,Basic Materials,Copper,1160000000.0,N/A,-0.89,1.56,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,11,2.81,Basic Materials,Copper,1130000000.0,N/A,-0.88,1.51,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,12,2.88,Basic Materials,Copper,1160000000.0,N/A,-0.88,1.55,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,13,2.84,Basic Materials,Copper,1140000000.0,N/A,-0.88,1.53,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,14,2.94,Basic Materials,Copper,1180000000.0,N/A,-0.88,1.58,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,15,2.84,Basic Materials,Copper,1140000000.0,N/A,-0.88,1.53,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,18,2.76,Basic Materials,Copper,1110000000.0,N/A,-0.86,1.49,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,19,2.79,Basic Materials,Copper,1120000000.0,N/A,-0.86,1.5,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,20,2.86,Basic Materials,Copper,1150000000.0,N/A,-0.42,1.54,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,21,2.9,Basic Materials,Copper,1170000000.0,N/A,-0.44,1.56,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,22,2.82,Basic Materials,Copper,1140000000.0,N/A,-0.44,1.52,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,25,2.73,Basic Materials,Copper,1100000000.0,N/A,-0.44,1.47,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,26,2.67,Basic Materials,Copper,1070000000.0000001,N/A,-0.41,1.44,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,27,2.47,Basic Materials,Copper,994260000.0,N/A,-0.41,1.33,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,28,2.68,Basic Materials,Copper,1080000000.0,N/A,-0.41,1.44,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,1,29,2.65,Basic Materials,Copper,1070000000.0000001,N/A,-0.41,1.43,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,1,2.81,Basic Materials,Copper,1130000000.0,N/A,-0.41,1.51,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,1,2.81,Basic Materials,Copper,1130000000.0,N/A,-0.41,1.51,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,2,2.82,Basic Materials,Copper,1140000000.0,N/A,-0.41,1.52,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,3,2.92,Basic Materials,Copper,1180000000.0,N/A,-0.41,1.57,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,4,2.85,Basic Materials,Copper,1150000000.0,N/A,-0.41,1.53,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,5,3.05,Basic Materials,Copper,1230000000.0,N/A,-0.41,1.64,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,8,3.16,Basic Materials,Copper,1270000000.0,N/A,-0.41,1.7,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,9,3.11,Basic Materials,Copper,1250000000.0,N/A,-0.41,1.67,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,9,3.11,Basic Materials,Copper,1250000000.0,N/A,-0.41,1.67,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,10,3.14,Basic Materials,Copper,1260000000.0,N/A,-0.41,1.69,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,11,3.14,Basic Materials,Copper,1260000000.0,N/A,-0.41,1.69,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,12,3.11,Basic Materials,Copper,1250000000.0,N/A,-0.41,1.67,N/A,0.0,N/A
Capstone Mining Corp.,CS,2021,2,16,3.36,Basic Materials,Copper,1350000000.0,N/A,-0.41,1.81,N/A,0.0,N/A
