Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Canadian Utilities Limited,CU,2021,1,6,31.38,Utilities,Utilities—Diversified,8570000000.0,21.06,-8.94,1.67,0.056100000000000004,1.1603,33.30196004166272
Canadian Utilities Limited,CU,2021,1,7,31.36,Utilities,Utilities—Diversified,8580000000.0,21.05,-8.94,1.66,0.0555,1.1603,33.10563713879677
Canadian Utilities Limited,CU,2021,1,8,31.25,Utilities,Utilities—Diversified,8570000000.0,20.97,-9.02,1.66,0.0555,1.1603,32.97981999052581
Canadian Utilities Limited,CU,2021,1,11,31.44,Utilities,Utilities—Diversified,8620000000.0,21.1,-9.02,1.67,0.0557,1.1603,33.37785355688169
Canadian Utilities Limited,CU,2021,1,12,31.19,Utilities,Utilities—Diversified,8520000000.0,20.93,-9.02,1.66,0.0554,1.1603,32.92003032025772
Canadian Utilities Limited,CU,2021,1,13,31.36,Utilities,Utilities—Diversified,8570000000.0,21.05,-9.02,1.66,0.0558,1.1603,33.09623034665656
Canadian Utilities Limited,CU,2021,1,14,31.49,Utilities,Utilities—Diversified,8610000000.0,21.13,-9.02,1.67,0.0555,1.1603,33.43164377072477
Canadian Utilities Limited,CU,2021,1,15,32.14,Utilities,Utilities—Diversified,8780000000.0,21.57,-9.02,1.71,0.0553,1.1603,34.95186202975458
Canadian Utilities Limited,CU,2021,1,18,32.3,Utilities,Utilities—Diversified,8830000000.0,21.68,-9.24,1.71,0.0542,1.1603,35.16676152532726
Canadian Utilities Limited,CU,2021,1,19,32.34,Utilities,Utilities—Diversified,8830000000.0,21.7,-9.24,1.72,0.053899999999999997,1.1603,35.41512477464655
Canadian Utilities Limited,CU,2021,1,20,32.43,Utilities,Utilities—Diversified,8860000000.0,21.77,-9.24,1.72,0.053899999999999997,1.1603,35.52936711262928
Canadian Utilities Limited,CU,2021,1,21,32.25,Utilities,Utilities—Diversified,8780000000.0,21.64,-9.32,1.71,0.0542,1.1603,35.10187820147979
Canadian Utilities Limited,CU,2021,1,22,32.11,Utilities,Utilities—Diversified,8760000000.0,21.55,-9.32,1.7,0.0545,1.1603,34.74158368895211
Canadian Utilities Limited,CU,2021,1,25,32.37,Utilities,Utilities—Diversified,8840000000.0,21.72,-9.32,1.72,0.0548,1.1603,35.41751990898749
Canadian Utilities Limited,CU,2021,1,26,32.27,Utilities,Utilities—Diversified,8800000000.0,21.66,-9.32,1.71,0.054299999999999994,1.1603,35.13098738499478
Canadian Utilities Limited,CU,2021,1,27,31.76,Utilities,Utilities—Diversified,8680000000.0,21.32,-9.32,1.69,0.0545,1.1603,34.168610715979135
Canadian Utilities Limited,CU,2021,1,28,31.58,Utilities,Utilities—Diversified,8620000000.0,21.19,-9.32,1.68,0.0554,1.1603,33.73052870949404
Canadian Utilities Limited,CU,2021,1,29,31.61,Utilities,Utilities—Diversified,8630000000.0,21.21,-9.32,1.68,0.0557,1.1603,33.752770673486786
Canadian Utilities Limited,CU,2021,2,1,32.03,Utilities,Utilities—Diversified,8740000000.0,21.5,-9.32,1.7,0.0557,1.1603,34.62157809983896
Canadian Utilities Limited,CU,2021,2,2,32.61,Utilities,Utilities—Diversified,8920000000.0,21.89,-9.32,1.73,0.054900000000000004,1.1603,35.89885297184568
Canadian Utilities Limited,CU,2021,2,3,31.85,Utilities,Utilities—Diversified,8700000000.0,21.38,-9.32,1.69,0.053899999999999997,1.1603,34.28427744567795
Canadian Utilities Limited,CU,2021,2,4,31.68,Utilities,Utilities—Diversified,8650000000.0,21.26,-7.47,1.68,0.0552,1.1603,33.8483699772555
Canadian Utilities Limited,CU,2021,2,5,31.44,Utilities,Utilities—Diversified,8590000000.0,21.1,-7.47,1.67,0.0555,1.1603,33.38417811463761
