Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Calibre Mining Corp.,CXB,2021,1,6,2.45,Basic Materials,Other Industrial Metals & Mining,810700000.0,19.92,N/A,4.01,N/A,0.0,79.8792
Calibre Mining Corp.,CXB,2021,1,7,2.37,Basic Materials,Other Industrial Metals & Mining,784230000.0,19.27,N/A,3.88,N/A,0.0,74.7676
Calibre Mining Corp.,CXB,2021,1,8,2.2,Basic Materials,Other Industrial Metals & Mining,727970000.0,17.89,N/A,3.6,N/A,0.0,64.40400000000001
Calibre Mining Corp.,CXB,2021,1,11,2.15,Basic Materials,Other Industrial Metals & Mining,711430000.0,17.48,N/A,3.52,N/A,0.0,61.5296
Calibre Mining Corp.,CXB,2021,1,12,2.15,Basic Materials,Other Industrial Metals & Mining,711430000.0,17.48,N/A,3.52,N/A,0.0,61.5296
Calibre Mining Corp.,CXB,2021,1,13,2.18,Basic Materials,Other Industrial Metals & Mining,721360000.0,17.72,N/A,3.57,N/A,0.0,63.26039999999999
Calibre Mining Corp.,CXB,2021,1,14,2.13,Basic Materials,Other Industrial Metals & Mining,704810000.0,17.32,N/A,3.49,N/A,0.0,60.4468
Calibre Mining Corp.,CXB,2021,1,15,2.0,Basic Materials,Other Industrial Metals & Mining,661790000.0,16.26,N/A,3.27,N/A,0.0,53.17020000000001
Calibre Mining Corp.,CXB,2021,1,18,1.9,Basic Materials,Other Industrial Metals & Mining,628700000.0,15.45,N/A,3.11,N/A,0.0,48.049499999999995
Calibre Mining Corp.,CXB,2021,1,19,1.95,Basic Materials,Other Industrial Metals & Mining,645250000.0,15.85,N/A,3.19,N/A,0.0,50.561499999999995
Calibre Mining Corp.,CXB,2021,1,20,2.0,Basic Materials,Other Industrial Metals & Mining,661790000.0,16.26,N/A,3.27,N/A,0.0,53.17020000000001
Calibre Mining Corp.,CXB,2021,1,21,1.94,Basic Materials,Other Industrial Metals & Mining,641940000.0,15.77,N/A,3.18,N/A,0.0,50.1486
Calibre Mining Corp.,CXB,2021,1,22,1.91,Basic Materials,Other Industrial Metals & Mining,632010000.0,15.53,N/A,3.13,N/A,0.0,48.6089
Calibre Mining Corp.,CXB,2021,1,25,1.88,Basic Materials,Other Industrial Metals & Mining,622090000.0,15.28,N/A,3.08,N/A,0.0,47.0624
Calibre Mining Corp.,CXB,2021,1,26,1.82,Basic Materials,Other Industrial Metals & Mining,602230000.0,14.8,N/A,2.98,N/A,0.0,44.104
Calibre Mining Corp.,CXB,2021,1,27,1.74,Basic Materials,Other Industrial Metals & Mining,575760000.0,14.15,N/A,2.85,N/A,0.0,40.3275
Calibre Mining Corp.,CXB,2021,1,28,1.81,Basic Materials,Other Industrial Metals & Mining,598920000.0,14.72,N/A,2.96,N/A,0.0,43.571200000000005
Calibre Mining Corp.,CXB,2021,1,29,1.73,Basic Materials,Other Industrial Metals & Mining,572450000.0,14.07,N/A,2.83,N/A,0.0,39.8181
Calibre Mining Corp.,CXB,2021,2,1,1.82,Basic Materials,Other Industrial Metals & Mining,602230000.0,14.8,N/A,2.98,N/A,0.0,44.104
Calibre Mining Corp.,CXB,2021,2,2,1.73,Basic Materials,Other Industrial Metals & Mining,572450000.0,14.07,N/A,2.83,N/A,0.0,39.8181
Calibre Mining Corp.,CXB,2021,2,3,1.75,Basic Materials,Other Industrial Metals & Mining,579070000.0,14.23,N/A,2.86,N/A,0.0,40.6978
Calibre Mining Corp.,CXB,2021,2,4,1.74,Basic Materials,Other Industrial Metals & Mining,575760000.0,14.15,N/A,2.85,N/A,0.0,40.3275
Calibre Mining Corp.,CXB,2021,2,5,1.75,Basic Materials,Other Industrial Metals & Mining,579070000.0,14.23,N/A,2.86,N/A,0.0,40.6978
Calibre Mining Corp.,CXB,2021,2,8,1.9,Basic Materials,Other Industrial Metals & Mining,628700000.0,15.45,N/A,3.11,N/A,0.0,48.049499999999995
Calibre Mining Corp.,CXB,2021,2,9,1.89,Basic Materials,Other Industrial Metals & Mining,625400000.0,15.37,N/A,3.09,N/A,0.0,47.4933
Calibre Mining Corp.,CXB,2021,2,10,1.87,Basic Materials,Other Industrial Metals & Mining,618780000.0,15.2,N/A,3.06,N/A,0.0,46.512
Calibre Mining Corp.,CXB,2021,2,11,1.79,Basic Materials,Other Industrial Metals & Mining,592310000.0,14.55,N/A,2.93,N/A,0.0,42.6315
Calibre Mining Corp.,CXB,2021,2,12,1.81,Basic Materials,Other Industrial Metals & Mining,598920000.0,14.72,N/A,2.96,N/A,0.0,43.571200000000005
Calibre Mining Corp.,CXB,2021,2,16,1.77,Basic Materials,Other Industrial Metals & Mining,585690000.0,14.39,N/A,2.9,N/A,0.0,41.731
Calibre Mining Corp.,CXB,2021,2,17,1.69,Basic Materials,Other Industrial Metals & Mining,559220000.0,13.74,N/A,2.77,N/A,0.0,38.0598
Calibre Mining Corp.,CXB,2021,2,18,1.63,Basic Materials,Other Industrial Metals & Mining,539360000.0,13.25,N/A,2.67,N/A,0.0,35.3775
Calibre Mining Corp.,CXB,2021,2,19,1.64,Basic Materials,Other Industrial Metals & Mining,542670000.0,13.33,N/A,2.68,N/A,0.0,35.7244
Calibre Mining Corp.,CXB,2021,2,22,1.72,Basic Materials,Other Industrial Metals & Mining,569140000.0,13.98,N/A,2.82,N/A,0.0,39.4236
Calibre Mining Corp.,CXB,2021,2,23,1.69,Basic Materials,Other Industrial Metals & Mining,559220000.0,13.74,N/A,2.77,N/A,0.0,38.0598
Calibre Mining Corp.,CXB,2021,2,24,1.67,Basic Materials,Other Industrial Metals & Mining,552600000.0,13.58,N/A,2.73,N/A,0.0,37.0734
Calibre Mining Corp.,CXB,2021,2,25,1.62,Basic Materials,Other Industrial Metals & Mining,536049999.99999994,13.17,N/A,2.65,N/A,0.0,34.9005
Calibre Mining Corp.,CXB,2021,2,26,1.54,Basic Materials,Other Industrial Metals & Mining,509580000.0,8.56,N/A,2.23,N/A,0.0,19.088800000000003
Calibre Mining Corp.,CXB,2021,3,1,1.49,Basic Materials,Other Industrial Metals & Mining,493040000.0,8.28,N/A,2.16,N/A,0.0,17.8848
Calibre Mining Corp.,CXB,2021,3,2,1.6,Basic Materials,Other Industrial Metals & Mining,529440000.00000006,8.89,N/A,2.32,N/A,0.0,20.6248
Calibre Mining Corp.,CXB,2021,3,3,1.46,Basic Materials,Other Industrial Metals & Mining,483110000.0,8.11,N/A,2.12,N/A,0.0,17.1932
Calibre Mining Corp.,CXB,2021,3,4,1.45,Basic Materials,Other Industrial Metals & Mining,484040000.0,8.06,N/A,2.1,N/A,0.0,16.926000000000002
Calibre Mining Corp.,CXB,2021,3,5,1.48,Basic Materials,Other Industrial Metals & Mining,494060000.0,8.22,N/A,2.15,N/A,0.0,17.673000000000002
Calibre Mining Corp.,CXB,2021,3,8,1.48,Basic Materials,Other Industrial Metals & Mining,494060000.0,8.22,N/A,2.15,N/A,0.0,17.673000000000002
Calibre Mining Corp.,CXB,2021,3,9,1.56,Basic Materials,Other Industrial Metals & Mining,520760000.0,8.67,N/A,2.26,N/A,0.0,19.594199999999997
