Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dream Office Real Estate Investment Trust,D-UN,2021,1,6,19.63,Real Estate,REIT—Office,1080000000.0,4.61,N/A,0.67,0.0509,0.2565,2.9390998192025886
Dream Office Real Estate Investment Trust,D-UN,2021,1,7,19.69,Real Estate,REIT—Office,1080000000.0,4.62,N/A,0.68,0.0509,0.2565,2.9894376248929495
Dream Office Real Estate Investment Trust,D-UN,2021,1,8,19.65,Real Estate,REIT—Office,1080000000.0,4.61,N/A,0.67,0.0508,0.2565,2.9393795203654363
Dream Office Real Estate Investment Trust,D-UN,2021,1,11,19.65,Real Estate,REIT—Office,1080000000.0,4.61,N/A,0.67,0.0509,0.2565,2.9390998192025886
Dream Office Real Estate Investment Trust,D-UN,2021,1,12,19.5,Real Estate,REIT—Office,1070000000.0000001,4.58,N/A,0.67,0.0509,0.2565,2.919973356170902
Dream Office Real Estate Investment Trust,D-UN,2021,1,13,19.45,Real Estate,REIT—Office,1070000000.0000001,4.56,N/A,0.67,0.0513,0.2565,2.9061162370398557
Dream Office Real Estate Investment Trust,D-UN,2021,1,14,19.78,Real Estate,REIT—Office,1090000000.0,4.64,N/A,0.68,0.051399999999999994,0.2565,3.000951112801979
Dream Office Real Estate Investment Trust,D-UN,2021,1,15,19.85,Real Estate,REIT—Office,1090000000.0,4.66,N/A,0.68,0.0506,0.2565,3.0161812297734634
Dream Office Real Estate Investment Trust,D-UN,2021,1,18,20.04,Real Estate,REIT—Office,1100000000.0,4.7,N/A,0.69,0.0504,0.2565,3.087395277989337
Dream Office Real Estate Investment Trust,D-UN,2021,1,19,20.4,Real Estate,REIT—Office,1120000000.0,4.79,N/A,0.7,0.0499,0.2565,3.1936374892846935
Dream Office Real Estate Investment Trust,D-UN,2021,1,20,20.74,Real Estate,REIT—Office,1140000000.0,4.87,N/A,0.71,0.049,0.2565,3.2961868446139184
Dream Office Real Estate Investment Trust,D-UN,2021,1,21,20.56,Real Estate,REIT—Office,1130000000.0,4.82,N/A,0.7,0.0482,0.2565,3.218851364243465
Dream Office Real Estate Investment Trust,D-UN,2021,1,22,20.54,Real Estate,REIT—Office,1130000000.0,4.82,N/A,0.7,0.048600000000000004,0.2565,3.21762349799733
Dream Office Real Estate Investment Trust,D-UN,2021,1,25,20.58,Real Estate,REIT—Office,1130000000.0,4.83,N/A,0.71,0.0487,0.2565,3.2700486316391726
Dream Office Real Estate Investment Trust,D-UN,2021,1,26,20.4,Real Estate,REIT—Office,1120000000.0,4.79,N/A,0.7,0.0487,0.2565,3.197291885191189
Dream Office Real Estate Investment Trust,D-UN,2021,1,27,19.89,Real Estate,REIT—Office,1090000000.0,4.67,N/A,0.68,0.049,0.2565,3.0272640610104866
Dream Office Real Estate Investment Trust,D-UN,2021,1,28,19.81,Real Estate,REIT—Office,1090000000.0,4.65,N/A,0.68,0.050300000000000004,0.2565,3.0105684090259928
Dream Office Real Estate Investment Trust,D-UN,2021,1,29,19.2,Real Estate,REIT—Office,1060000000.0,4.5,N/A,0.66,0.0521,0.2565,2.8229255774165956
Dream Office Real Estate Investment Trust,D-UN,2021,2,1,19.38,Real Estate,REIT—Office,1070000000.0000001,4.55,N/A,0.66,0.0521,0.2565,2.8542914171656686
Dream Office Real Estate Investment Trust,D-UN,2021,2,2,19.35,Real Estate,REIT—Office,1060000000.0,4.54,N/A,0.66,0.0516,0.2565,2.8493723849372383
Dream Office Real Estate Investment Trust,D-UN,2021,2,3,19.34,Real Estate,REIT—Office,1060000000.0,4.54,N/A,0.66,0.051699999999999996,0.2565,2.849101454787487
Dream Office Real Estate Investment Trust,D-UN,2021,2,4,19.44,Real Estate,REIT—Office,1070000000.0000001,4.56,N/A,0.67,0.051699999999999996,0.2565,2.9050109346771893
Dream Office Real Estate Investment Trust,D-UN,2021,2,5,19.41,Real Estate,REIT—Office,1070000000.0000001,4.55,N/A,0.67,0.051399999999999994,0.2565,2.8994673768308927
Dream Office Real Estate Investment Trust,D-UN,2021,2,8,19.33,Real Estate,REIT—Office,1060000000.0,4.54,N/A,0.66,0.051500000000000004,0.2565,2.8496433666191154
Dream Office Real Estate Investment Trust,D-UN,2021,2,9,19.34,Real Estate,REIT—Office,1060000000.0,4.54,N/A,0.66,0.051699999999999996,0.2565,2.849101454787487
Dream Office Real Estate Investment Trust,D-UN,2021,2,9,19.34,Real Estate,REIT—Office,1060000000.0,4.54,N/A,0.66,0.051699999999999996,0.2565,2.849101454787487
Dream Office Real Estate Investment Trust,D-UN,2021,2,10,19.39,Real Estate,REIT—Office,1070000000.0000001,4.55,N/A,0.66,0.051699999999999996,0.2565,2.8553770086526575
Dream Office Real Estate Investment Trust,D-UN,2021,2,11,19.25,Real Estate,REIT—Office,1060000000.0,4.52,N/A,0.66,0.0516,0.2565,2.8368200836820083
Dream Office Real Estate Investment Trust,D-UN,2021,2,12,19.44,Real Estate,REIT—Office,1070000000.0000001,4.56,N/A,0.67,0.0519,0.2565,2.9044585987261144
Dream Office Real Estate Investment Trust,D-UN,2021,2,16,19.39,Real Estate,REIT—Office,1070000000.0000001,4.55,N/A,0.66,0.051399999999999994,0.2565,2.856191744340879
Dream Office Real Estate Investment Trust,D-UN,2021,2,17,19.31,Real Estate,REIT—Office,1060000000.0,4.53,N/A,0.66,0.0516,0.2565,2.8430962343096233
Dream Office Real Estate Investment Trust,D-UN,2021,2,18,19.25,Real Estate,REIT—Office,1060000000.0,4.52,N/A,0.66,0.0518,0.2565,2.836280661722761
Dream Office Real Estate Investment Trust,D-UN,2021,2,19,19.46,Real Estate,REIT—Office,1070000000.0000001,4.57,N/A,0.67,0.0519,0.2565,2.9108280254777075
Dream Office Real Estate Investment Trust,D-UN,2021,2,22,19.65,Real Estate,REIT—Office,994930000.0,5.61,N/A,0.66,0.051399999999999994,0.2565,3.5215902606049085
