Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dye & Durham Limited,DND,2021,1,6,43.31,Technology,Software—Infrastructure,2730000000.0,N/A,N/A,18.03,0.0016,N/A,N/A
Dye & Durham Limited,DND,2021,1,7,44.54,Technology,Software—Infrastructure,2810000000.0,N/A,N/A,18.54,0.0016,N/A,N/A
Dye & Durham Limited,DND,2021,1,8,42.82,Technology,Software—Infrastructure,2700000000.0,N/A,N/A,17.83,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,11,42.0,Technology,Software—Infrastructure,2650000000.0,N/A,N/A,17.49,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,12,43.5,Technology,Software—Infrastructure,2800000000.0,N/A,N/A,18.11,0.0018,N/A,N/A
Dye & Durham Limited,DND,2021,1,13,43.41,Technology,Software—Infrastructure,2790000000.0,N/A,N/A,18.07,0.0018,N/A,N/A
Dye & Durham Limited,DND,2021,1,14,43.6,Technology,Software—Infrastructure,2810000000.0,N/A,N/A,18.15,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,15,42.88,Technology,Software—Infrastructure,2760000000.0,N/A,N/A,17.85,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,18,42.01,Technology,Software—Infrastructure,2700000000.0,N/A,N/A,17.49,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,19,42.7,Technology,Software—Infrastructure,2750000000.0,N/A,N/A,17.78,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,20,43.1,Technology,Software—Infrastructure,2770000000.0,N/A,N/A,17.94,0.0018,N/A,N/A
Dye & Durham Limited,DND,2021,1,21,42.5,Technology,Software—Infrastructure,2730000000.0,N/A,N/A,17.69,0.0018,N/A,N/A
Dye & Durham Limited,DND,2021,1,22,42.4,Technology,Software—Infrastructure,2730000000.0,N/A,N/A,17.65,0.0017000000000000001,N/A,N/A
Dye & Durham Limited,DND,2021,1,25,41.71,Technology,Software—Infrastructure,2680000000.0,N/A,N/A,17.36,0.0018,N/A,N/A
Dye & Durham Limited,DND,2021,1,26,39.41,Technology,Software—Infrastructure,2540000000.0,N/A,N/A,16.41,0.0018,N/A,N/A
