Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
The Descartes Systems Group Inc,DSG,2021,1,6,72.51,Technology,Software—Application,6130000000.0,132.08,N/A,7.04,N/A,0.0,929.8432000000001
The Descartes Systems Group Inc,DSG,2021,1,7,74.14,Technology,Software—Application,6260000000.0,135.05,N/A,7.19,N/A,0.0,971.0095000000001
The Descartes Systems Group Inc,DSG,2021,1,8,77.39,Technology,Software—Application,6540000000.0,140.97,N/A,7.51,N/A,0.0,1058.6847
The Descartes Systems Group Inc,DSG,2021,1,11,75.32,Technology,Software—Application,6360000000.0,137.19,N/A,7.31,N/A,0.0,1002.8589
The Descartes Systems Group Inc,DSG,2021,1,12,74.23,Technology,Software—Application,6270000000.0,135.21,N/A,7.2,N/A,0.0,973.5120000000001
The Descartes Systems Group Inc,DSG,2021,1,13,72.68,Technology,Software—Application,6140000000.0,132.39,N/A,7.05,N/A,0.0,933.3494999999999
The Descartes Systems Group Inc,DSG,2021,1,14,74.55,Technology,Software—Application,6300000000.0,135.79,N/A,7.23,N/A,0.0,981.7617
The Descartes Systems Group Inc,DSG,2021,1,15,74.56,Technology,Software—Application,6300000000.0,135.81,N/A,7.23,N/A,0.0,981.9063000000001
The Descartes Systems Group Inc,DSG,2021,1,18,75.67,Technology,Software—Application,6390000000.0,137.83,N/A,7.34,N/A,0.0,1011.6722000000001
The Descartes Systems Group Inc,DSG,2021,1,19,77.81,Technology,Software—Application,6570000000.0,141.73,N/A,7.55,N/A,0.0,1070.0614999999998
The Descartes Systems Group Inc,DSG,2021,1,20,80.02,Technology,Software—Application,6760000000.0,145.76,N/A,7.76,N/A,0.0,1131.0975999999998
The Descartes Systems Group Inc,DSG,2021,1,21,79.99,Technology,Software—Application,6760000000.0,145.7,N/A,7.76,N/A,0.0,1130.6319999999998
The Descartes Systems Group Inc,DSG,2021,1,22,79.52,Technology,Software—Application,6720000000.0,144.85,N/A,7.72,N/A,0.0,1118.242
The Descartes Systems Group Inc,DSG,2021,1,25,80.24,Technology,Software—Application,6780000000.0,146.16,N/A,7.79,N/A,0.0,1138.5864
The Descartes Systems Group Inc,DSG,2021,1,26,78.95,Technology,Software—Application,6670000000.0,143.81,N/A,7.66,N/A,0.0,1101.5846000000001
The Descartes Systems Group Inc,DSG,2021,1,27,79.81,Technology,Software—Application,6740000000.0,145.37,N/A,7.74,N/A,0.0,1125.1638
