Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Exchange Income Corporation,EIF,2021,1,6,36.43,Industrials,Airlines,1290000000.0,31.71,2.82,1.82,0.0629,2.0177,54.29692351114875
Exchange Income Corporation,EIF,2021,1,7,37.23,Industrials,Airlines,1320000000.0,32.4,2.82,1.86,0.061200000000000004,2.0177,56.788541274029406
Exchange Income Corporation,EIF,2021,1,8,37.14,Industrials,Airlines,1310000000.0,32.32,2.86,1.85,0.061200000000000004,2.0177,56.34376177911798
Exchange Income Corporation,EIF,2021,1,11,37.24,Industrials,Airlines,1320000000.0,32.41,2.86,1.86,0.061399999999999996,2.0177,56.79536461277558
Exchange Income Corporation,EIF,2021,1,12,37.97,Industrials,Airlines,1340000000.0,33.05,2.86,1.89,0.061200000000000004,2.0177,58.86213720316623
Exchange Income Corporation,EIF,2021,1,13,37.65,Industrials,Airlines,1330000000.0,32.77,2.86,1.88,0.06,2.0177,58.120377358490565
Exchange Income Corporation,EIF,2021,1,14,37.97,Industrials,Airlines,1340000000.0,33.05,2.86,1.89,0.060599999999999994,2.0177,58.895436545351686
Exchange Income Corporation,EIF,2021,1,15,37.71,Industrials,Airlines,1330000000.0,32.82,2.86,1.88,0.06,2.0177,58.20905660377358
Exchange Income Corporation,EIF,2021,1,18,37.65,Industrials,Airlines,1330000000.0,32.77,2.95,1.88,0.060599999999999994,2.0177,58.08749764284368
Exchange Income Corporation,EIF,2021,1,19,38.08,Industrials,Airlines,1350000000.0,33.14,2.95,1.9,0.060599999999999994,2.0177,59.36828210446917
Exchange Income Corporation,EIF,2021,1,20,38.05,Industrials,Airlines,1350000000.0,33.12,2.98,1.9,0.0599,2.0177,59.37163883385224
Exchange Income Corporation,EIF,2021,1,21,37.92,Industrials,Airlines,1340000000.0,33.0,2.98,1.89,0.0599,2.0177,58.84517407302575
