Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Enghouse Systems Limited,ENGH,2021,1,6,62.7,Technology,Software—Application,3470000000.0,35.42,4.09,6.99,0.0087,0.2768,245.45038167938932
Enghouse Systems Limited,ENGH,2021,1,7,63.83,Technology,Software—Application,3530000000.0,36.06,4.09,7.12,0.0086,0.2768,254.55800118976802
Enghouse Systems Limited,ENGH,2021,1,8,64.6,Technology,Software—Application,3580000000.0,36.5,4.19,7.2,0.0085,0.2768,260.58502726822013
Enghouse Systems Limited,ENGH,2021,1,11,65.31,Technology,Software—Application,3610000000.0,36.9,4.19,7.28,0.0084,0.2768,266.39428798096
Enghouse Systems Limited,ENGH,2021,1,12,65.45,Technology,Software—Application,3620000000.0,36.98,4.19,7.3,0.0083,0.2768,267.73182584548243
Enghouse Systems Limited,ENGH,2021,1,13,65.47,Technology,Software—Application,3620000000.0,36.99,4.19,7.3,0.0083,0.2768,267.80422493305565
Enghouse Systems Limited,ENGH,2021,1,14,63.47,Technology,Software—Application,3510000000.0,35.86,4.19,7.08,0.008199999999999999,0.2768,251.82384447530254
Enghouse Systems Limited,ENGH,2021,1,15,63.25,Technology,Software—Application,3500000000.0,35.73,4.19,7.05,0.0085,0.2768,249.77342588001983
Enghouse Systems Limited,ENGH,2021,1,18,63.5,Technology,Software—Application,3510000000.0,35.88,4.19,7.08,0.0085,0.2768,251.88934060485872
Enghouse Systems Limited,ENGH,2021,1,19,63.74,Technology,Software—Application,3530000000.0,36.01,4.19,7.11,0.0085,0.2768,253.87317798710956
Enghouse Systems Limited,ENGH,2021,1,20,64.42,Technology,Software—Application,3570000000.0,36.4,4.19,7.18,0.0085,0.2768,259.14923153197816
Enghouse Systems Limited,ENGH,2021,1,21,63.83,Technology,Software—Application,3530000000.0,36.06,4.19,7.12,0.0084,0.2768,254.60848869496235
Enghouse Systems Limited,ENGH,2021,1,22,63.16,Technology,Software—Application,3500000000.0,35.68,4.19,7.04,0.0085,0.2768,249.0701041150223
Enghouse Systems Limited,ENGH,2021,1,25,63.48,Technology,Software—Application,3510000000.0,35.86,4.19,7.08,0.0085,0.2768,251.74893406048588
Enghouse Systems Limited,ENGH,2021,1,26,61.85,Technology,Software—Application,3420000000.0,34.94,6.81,6.9,0.0085,0.2768,239.05404065443727
Enghouse Systems Limited,ENGH,2021,1,27,60.18,Technology,Software—Application,3330000000.0,34.0,4.19,6.71,0.0087,0.2768,226.1723009814613
Enghouse Systems Limited,ENGH,2021,1,28,60.65,Technology,Software—Application,3360000000.0,34.27,4.19,6.76,0.009000000000000001,0.2768,229.59881070366706
Enghouse Systems Limited,ENGH,2021,1,29,58.72,Technology,Software—Application,3250000000.0,33.18,4.19,6.55,0.0092,0.2768,215.3478002378121
Enghouse Systems Limited,ENGH,2021,2,1,60.75,Technology,Software—Application,3360000000.0,34.32,4.19,6.77,0.0092,0.2768,230.2282996432818
Enghouse Systems Limited,ENGH,2021,2,2,61.56,Technology,Software—Application,3400000000.0,34.78,4.19,6.87,0.0089,0.2768,236.83080582812968
Enghouse Systems Limited,ENGH,2021,2,3,60.78,Technology,Software—Application,3360000000.0,34.34,4.19,6.78,0.0088,0.2768,230.79421094369553
Enghouse Systems Limited,ENGH,2021,2,4,60.96,Technology,Software—Application,3370000000.0,34.44,4.19,6.8,0.0089,0.2768,232.126077906631
Enghouse Systems Limited,ENGH,2021,2,5,60.7,Technology,Software—Application,3360000000.0,34.29,4.19,6.77,0.0089,0.2768,230.09545049063337
Enghouse Systems Limited,ENGH,2021,2,8,61.36,Technology,Software—Application,3400000000.0,34.67,4.19,6.84,0.0089,0.2768,235.05084745762713
Enghouse Systems Limited,ENGH,2021,2,9,60.82,Technology,Software—Application,3370000000.0,34.36,4.19,6.78,0.0088,0.2768,230.928628072958
Enghouse Systems Limited,ENGH,2021,2,10,60.43,Technology,Software—Application,3340000000.0,34.14,4.19,6.74,0.0089,0.2768,228.073743681237
Enghouse Systems Limited,ENGH,2021,2,11,60.65,Technology,Software—Application,3360000000.0,34.27,4.19,6.76,0.0089,0.2768,229.62156804440485
Enghouse Systems Limited,ENGH,2021,2,12,59.87,Technology,Software—Application,3310000000.0,33.82,6.79,6.68,0.0089,0.2768,223.92467043314502
Enghouse Systems Limited,ENGH,2021,2,16,59.53,Technology,Software—Application,3290000000.0,33.63,4.19,6.64,0.009000000000000001,0.2768,221.3113974231913
Enghouse Systems Limited,ENGH,2021,2,17,57.73,Technology,Software—Application,3200000000.0,32.62,4.19,6.44,0.009000000000000001,0.2768,208.19900891972253
Enghouse Systems Limited,ENGH,2021,2,18,58.44,Technology,Software—Application,3230000000.0,33.02,4.19,6.52,0.009399999999999999,0.2768,213.28551614820685
Enghouse Systems Limited,ENGH,2021,2,19,58.85,Technology,Software—Application,3260000000.0,33.25,4.19,6.56,0.009399999999999999,0.2768,216.08876560332868
