Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
First Mining Gold Corp.,FF,2021,1,6,0.435,Basic Materials,Gold,302580000.0,N/A,N/A,1.26,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,7,0.425,Basic Materials,Gold,295630000.0,N/A,N/A,1.24,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,8,0.42,Basic Materials,Gold,292150000.0,N/A,N/A,1.22,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,11,0.405,Basic Materials,Gold,281710000.0,N/A,N/A,1.18,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,12,0.41,Basic Materials,Gold,285190000.0,N/A,N/A,1.19,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,13,0.42,Basic Materials,Gold,292150000.0,N/A,N/A,1.22,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,14,0.41,Basic Materials,Gold,285190000.0,N/A,N/A,1.19,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,15,0.395,Basic Materials,Gold,274760000.0,N/A,N/A,1.15,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,18,0.395,Basic Materials,Gold,274760000.0,N/A,N/A,1.15,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,19,0.39,Basic Materials,Gold,271280000.0,N/A,N/A,1.13,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,20,0.415,Basic Materials,Gold,288670000.0,N/A,N/A,1.21,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,21,0.415,Basic Materials,Gold,288670000.0,N/A,N/A,1.21,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,22,0.415,Basic Materials,Gold,288670000.0,N/A,N/A,1.21,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,25,0.395,Basic Materials,Gold,274760000.0,N/A,N/A,1.15,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,26,0.39,Basic Materials,Gold,271280000.0,N/A,N/A,1.13,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,27,0.385,Basic Materials,Gold,267800000.0,N/A,N/A,1.12,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,28,0.4,Basic Materials,Gold,278240000.0,N/A,N/A,1.16,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,1,29,0.395,Basic Materials,Gold,274760000.0,N/A,N/A,1.15,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,1,0.47,Basic Materials,Gold,326930000.0,N/A,N/A,1.37,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,1,0.47,Basic Materials,Gold,326930000.0,N/A,N/A,1.37,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,2,0.435,Basic Materials,Gold,302580000.0,N/A,N/A,1.26,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,3,0.425,Basic Materials,Gold,295630000.0,N/A,N/A,1.24,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,4,0.43,Basic Materials,Gold,299100000.0,N/A,N/A,1.25,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,5,0.445,Basic Materials,Gold,309540000.0,N/A,N/A,1.29,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,8,0.45,Basic Materials,Gold,313020000.0,N/A,N/A,1.31,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,9,0.45,Basic Materials,Gold,313020000.0,N/A,N/A,1.31,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,9,0.45,Basic Materials,Gold,313020000.0,N/A,N/A,1.31,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,10,0.44,Basic Materials,Gold,306060000.0,N/A,N/A,1.28,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,11,0.425,Basic Materials,Gold,295630000.0,N/A,N/A,1.24,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,12,0.42,Basic Materials,Gold,292150000.0,N/A,N/A,1.22,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,16,0.415,Basic Materials,Gold,288670000.0,N/A,N/A,1.21,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,17,0.395,Basic Materials,Gold,274760000.0,N/A,N/A,1.15,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,18,0.39,Basic Materials,Gold,271280000.0,N/A,N/A,1.13,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,19,0.405,Basic Materials,Gold,281710000.0,N/A,N/A,1.18,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,22,0.42,Basic Materials,Gold,292150000.0,N/A,N/A,1.22,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,23,0.41,Basic Materials,Gold,285190000.0,N/A,N/A,1.19,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,24,0.395,Basic Materials,Gold,274760000.0,N/A,N/A,1.15,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,25,0.385,Basic Materials,Gold,267800000.0,N/A,N/A,1.12,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,2,26,0.375,Basic Materials,Gold,260850000.00000003,N/A,N/A,1.09,N/A,0.0,N/A
