Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fennec Pharmaceuticals Inc.,FRX,2021,1,6,9.27,Healthcare,Biotechnology,239260000.0,N/A,N/A,7.67,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,6,9.27,Healthcare,Biotechnology,239260000.0,N/A,N/A,7.67,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,8,9.51,Healthcare,Biotechnology,245450000.0,N/A,N/A,7.87,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,11,9.3,Healthcare,Biotechnology,240030000.0,N/A,N/A,7.7,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,11,9.3,Healthcare,Biotechnology,240030000.0,N/A,N/A,7.7,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,11,9.3,Healthcare,Biotechnology,240030000.0,N/A,N/A,7.7,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,14,9.3,Healthcare,Biotechnology,240030000.0,N/A,N/A,7.7,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,15,9.3,Healthcare,Biotechnology,240030000.0,N/A,N/A,7.7,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,15,9.3,Healthcare,Biotechnology,240030000.0,N/A,N/A,7.7,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,19,10.09,Healthcare,Biotechnology,260420000.00000003,N/A,N/A,8.35,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,20,9.65,Healthcare,Biotechnology,249060000.0,N/A,N/A,7.99,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,21,9.9,Healthcare,Biotechnology,255520000.0,N/A,N/A,8.2,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,22,10.44,Healthcare,Biotechnology,269450000.0,N/A,N/A,8.64,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,25,10.25,Healthcare,Biotechnology,264550000.0,N/A,N/A,8.49,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,26,9.68,Healthcare,Biotechnology,249840000.0,N/A,N/A,8.01,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,27,9.39,Healthcare,Biotechnology,242350000.0,N/A,N/A,7.77,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,28,9.18,Healthcare,Biotechnology,236930000.0,N/A,N/A,7.6,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,1,29,9.23,Healthcare,Biotechnology,238220000.0,N/A,N/A,7.64,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,2,1,9.34,Healthcare,Biotechnology,241060000.0,N/A,N/A,7.73,N/A,0.0,N/A
Fennec Pharmaceuticals Inc.,FRX,2021,2,1,9.34,Healthcare,Biotechnology,241060000.0,N/A,N/A,7.73,N/A,0.0,N/A
