Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fiera Capital Corporation,FSZ,2021,1,6,11.3,Financial Services,Asset Management,1170000000.0,1255.56,1.09,2.31,0.0759,84.0,2695.737150292778
Fiera Capital Corporation,FSZ,2021,1,7,11.4,Financial Services,Asset Management,1180000000.0,1266.67,1.11,2.33,0.07429999999999999,84.0,2747.2224704458717
Fiera Capital Corporation,FSZ,2021,1,8,11.39,Financial Services,Asset Management,1180000000.0,1265.56,1.12,2.33,0.0737,84.0,2746.3488870261713
Fiera Capital Corporation,FSZ,2021,1,11,11.52,Financial Services,Asset Management,1200000000.0,1280.0,1.12,2.35,0.0737,84.0,2801.5274285182077
Fiera Capital Corporation,FSZ,2021,1,12,11.7,Financial Services,Asset Management,1210000000.0,1300.0,1.12,2.39,0.0729,84.0,2895.8896448876876
Fiera Capital Corporation,FSZ,2021,1,13,11.52,Financial Services,Asset Management,1200000000.0,1280.0,1.12,2.35,0.0718,84.0,2806.4937488337373
Fiera Capital Corporation,FSZ,2021,1,14,11.44,Financial Services,Asset Management,1190000000.0,1271.11,1.12,2.34,0.0729,84.0,2772.2969521856644
Fiera Capital Corporation,FSZ,2021,1,15,11.27,Financial Services,Asset Management,1170000000.0,1252.22,1.12,2.3,0.07339999999999999,84.0,2683.161915408981
Fiera Capital Corporation,FSZ,2021,1,18,11.38,Financial Services,Asset Management,1180000000.0,1264.44,1.1,2.33,0.0745,84.0,2741.875476966031
Fiera Capital Corporation,FSZ,2021,1,19,11.35,Financial Services,Asset Management,1180000000.0,1261.11,1.1,2.32,0.0738,84.0,2724.6928664555776
Fiera Capital Corporation,FSZ,2021,1,20,11.4,Financial Services,Asset Management,1180000000.0,1266.67,1.11,2.33,0.07400000000000001,84.0,2747.9898510242083
Fiera Capital Corporation,FSZ,2021,1,21,11.3,Financial Services,Asset Management,1170000000.0,1255.56,1.11,2.31,0.0737,84.0,2701.260687342833
Fiera Capital Corporation,FSZ,2021,1,22,11.21,Financial Services,Asset Management,1160000000.0,1245.56,1.11,2.29,0.07429999999999999,84.0,2655.0613422693846
Fiera Capital Corporation,FSZ,2021,1,25,11.3,Financial Services,Asset Management,1170000000.0,1255.56,1.11,2.31,0.07490000000000001,84.0,2698.2450460507957
Fiera Capital Corporation,FSZ,2021,1,26,11.42,Financial Services,Asset Management,1190000000.0,1268.89,1.05,2.33,0.07429999999999999,84.0,2752.037326631295
Fiera Capital Corporation,FSZ,2021,1,27,11.16,Financial Services,Asset Management,1160000000.0,1240.0,1.05,2.28,0.0736,84.0,2633.383010432191
Fiera Capital Corporation,FSZ,2021,1,28,11.15,Financial Services,Asset Management,1160000000.0,1238.89,1.05,2.28,0.0753,84.0,2626.8661768808706
Fiera Capital Corporation,FSZ,2021,1,29,10.9,Financial Services,Asset Management,1130000000.0,1211.11,1.05,2.23,0.0771,84.0,2507.450840219107
Fiera Capital Corporation,FSZ,2021,2,1,11.2,Financial Services,Asset Management,1160000000.0,1244.44,1.05,2.29,0.0771,84.0,2645.778107882277
Fiera Capital Corporation,FSZ,2021,2,1,11.2,Financial Services,Asset Management,1160000000.0,1244.44,1.05,2.29,0.0771,84.0,2645.778107882277
Fiera Capital Corporation,FSZ,2021,2,2,11.18,Financial Services,Asset Management,1160000000.0,1242.22,1.05,2.28,0.0771,84.0,2629.5252065732057
Fiera Capital Corporation,FSZ,2021,2,3,11.24,Financial Services,Asset Management,1170000000.0,1248.89,1.04,2.3,0.0751,84.0,2671.7951818435495
Fiera Capital Corporation,FSZ,2021,2,4,11.22,Financial Services,Asset Management,1160000000.0,1246.67,1.04,2.29,0.0751,84.0,2655.4500046507305
