Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Freegold Ventures Limited,FVL,2021,1,6,0.83,Basic Materials,Other Industrial Metals & Mining,273110000.0,N/A,N/A,3.79,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,7,0.81,Basic Materials,Other Industrial Metals & Mining,266529999.99999997,N/A,N/A,3.7,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,8,0.78,Basic Materials,Other Industrial Metals & Mining,256660000.00000003,N/A,N/A,3.56,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,11,0.8,Basic Materials,Other Industrial Metals & Mining,263240000.0,N/A,N/A,3.65,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,12,0.75,Basic Materials,Other Industrial Metals & Mining,246780000.0,N/A,N/A,3.42,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,13,0.76,Basic Materials,Other Industrial Metals & Mining,250070000.0,N/A,N/A,3.47,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,14,0.73,Basic Materials,Other Industrial Metals & Mining,240200000.0,N/A,N/A,3.33,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,15,0.71,Basic Materials,Other Industrial Metals & Mining,233620000.0,N/A,N/A,3.24,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,18,0.71,Basic Materials,Other Industrial Metals & Mining,233620000.0,N/A,N/A,3.24,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,19,0.7,Basic Materials,Other Industrial Metals & Mining,230330000.0,N/A,N/A,3.2,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,20,0.73,Basic Materials,Other Industrial Metals & Mining,240200000.0,N/A,N/A,3.33,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,21,0.7,Basic Materials,Other Industrial Metals & Mining,230330000.0,N/A,N/A,3.2,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,22,0.67,Basic Materials,Other Industrial Metals & Mining,220460000.0,N/A,N/A,3.06,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,25,0.64,Basic Materials,Other Industrial Metals & Mining,210590000.0,N/A,N/A,2.92,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,26,0.64,Basic Materials,Other Industrial Metals & Mining,210590000.0,N/A,N/A,2.92,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,27,0.56,Basic Materials,Other Industrial Metals & Mining,184270000.0,N/A,N/A,2.56,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,28,0.59,Basic Materials,Other Industrial Metals & Mining,194140000.0,N/A,N/A,2.69,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,1,29,0.57,Basic Materials,Other Industrial Metals & Mining,187560000.0,N/A,N/A,2.6,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,1,0.55,Basic Materials,Other Industrial Metals & Mining,180980000.0,N/A,N/A,2.51,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,2,0.53,Basic Materials,Other Industrial Metals & Mining,174390000.0,N/A,N/A,2.42,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,3,0.54,Basic Materials,Other Industrial Metals & Mining,177680000.0,N/A,N/A,2.47,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,4,0.56,Basic Materials,Other Industrial Metals & Mining,184270000.0,N/A,N/A,2.56,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,5,0.58,Basic Materials,Other Industrial Metals & Mining,190850000.0,N/A,N/A,2.65,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,8,0.65,Basic Materials,Other Industrial Metals & Mining,213880000.0,N/A,N/A,2.97,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,9,0.61,Basic Materials,Other Industrial Metals & Mining,200720000.0,N/A,N/A,2.79,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,9,0.61,Basic Materials,Other Industrial Metals & Mining,200720000.0,N/A,N/A,2.79,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,10,0.75,Basic Materials,Other Industrial Metals & Mining,246780000.0,N/A,N/A,3.42,N/A,0.0,N/A
Freegold Ventures Limited,FVL,2021,2,11,0.74,Basic Materials,Other Industrial Metals & Mining,243490000.0,N/A,N/A,3.38,N/A,0.0,N/A
