Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
GLG Life Tech Corporation,GLG,2021,1,6,0.175,Consumer Defensive,Farm Products,6590000.0,0.44,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,7,0.165,Consumer Defensive,Farm Products,6220000.0,0.42,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,7,0.165,Consumer Defensive,Farm Products,6220000.0,0.42,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,11,0.17,Consumer Defensive,Farm Products,6400000.0,0.43,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,12,0.17,Consumer Defensive,Farm Products,6400000.0,0.43,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,13,0.17,Consumer Defensive,Farm Products,6400000.0,0.43,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,14,0.165,Consumer Defensive,Farm Products,6220000.0,0.42,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,15,0.175,Consumer Defensive,Farm Products,6590000.0,0.44,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,18,0.165,Consumer Defensive,Farm Products,6220000.0,0.42,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,19,0.16,Consumer Defensive,Farm Products,6030000.0,0.41,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,20,0.16,Consumer Defensive,Farm Products,6030000.0,0.41,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,21,0.17,Consumer Defensive,Farm Products,6400000.0,0.43,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,22,0.17,Consumer Defensive,Farm Products,6400000.0,0.43,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,25,0.18,Consumer Defensive,Farm Products,6780000.0,0.46,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,26,0.185,Consumer Defensive,Farm Products,6970000.0,0.47,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,27,0.19,Consumer Defensive,Farm Products,7160000.0,0.48,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,28,0.195,Consumer Defensive,Farm Products,7350000.0,0.49,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,1,29,0.195,Consumer Defensive,Farm Products,7350000.0,0.49,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,1,0.2,Consumer Defensive,Farm Products,7530000.0,0.51,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,2,0.24,Consumer Defensive,Farm Products,9040000.0,0.61,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,3,0.23,Consumer Defensive,Farm Products,8660000.0,0.58,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,4,0.26,Consumer Defensive,Farm Products,9800000.0,0.66,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,5,0.26,Consumer Defensive,Farm Products,9800000.0,0.66,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,8,0.3,Consumer Defensive,Farm Products,11300000.0,0.76,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,9,0.34,Consumer Defensive,Farm Products,12810000.0,0.86,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,9,0.34,Consumer Defensive,Farm Products,12810000.0,0.86,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,10,0.34,Consumer Defensive,Farm Products,12810000.0,0.86,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,11,0.35,Consumer Defensive,Farm Products,13190000.0,0.89,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,12,0.28,Consumer Defensive,Farm Products,10550000.0,0.71,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,16,0.32,Consumer Defensive,Farm Products,12060000.0,0.81,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,17,0.325,Consumer Defensive,Farm Products,12240000.0,0.82,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,18,0.325,Consumer Defensive,Farm Products,12240000.0,0.82,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,19,0.325,Consumer Defensive,Farm Products,12240000.0,0.82,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,22,0.315,Consumer Defensive,Farm Products,11870000.0,0.8,N/A,N/A,N/A,0.0,N/A
GLG Life Tech Corporation,GLG,2021,2,23,0.29,Consumer Defensive,Farm Products,10930000.0,0.74,N/A,N/A,N/A,0.0,N/A
