Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
IGM Financial Inc.,IGM,2021,1,6,35.32,Financial Services,Asset Management,8420000000.0,11.58,1.25,1.71,0.0645,0.7376999999999999,18.601972757162986
IGM Financial Inc.,IGM,2021,1,7,35.51,Financial Services,Asset Management,8460000000.000001,11.64,1.25,1.72,0.0637,0.7376999999999999,18.821848265488388
IGM Financial Inc.,IGM,2021,1,8,35.31,Financial Services,Asset Management,8410000000.0,11.58,1.28,1.71,0.0634,0.7376999999999999,18.621214970848225
IGM Financial Inc.,IGM,2021,1,11,35.32,Financial Services,Asset Management,8420000000.0,11.58,1.28,1.71,0.0637,0.7376999999999999,18.615963147503994
IGM Financial Inc.,IGM,2021,1,12,36.46,Financial Services,Asset Management,8690000000.0,11.95,1.28,1.77,0.0637,0.7376999999999999,19.884835949985895
IGM Financial Inc.,IGM,2021,1,13,35.21,Financial Services,Asset Management,8390000000.000001,11.54,1.28,1.71,0.0617,0.7376999999999999,18.58660638598474
IGM Financial Inc.,IGM,2021,1,14,35.43,Financial Services,Asset Management,8439999999.999999,11.62,1.28,1.72,0.0639,0.7376999999999999,18.78597612557571
IGM Financial Inc.,IGM,2021,1,15,35.11,Financial Services,Asset Management,8369999999.999999,11.51,1.28,1.7,0.0635,0.7376999999999999,18.398683591913496
IGM Financial Inc.,IGM,2021,1,18,35.26,Financial Services,Asset Management,8400000000.0,11.56,1.28,1.71,0.0641,0.7376999999999999,18.576825486326474
IGM Financial Inc.,IGM,2021,1,19,35.04,Financial Services,Asset Management,8350000000.0,11.49,1.28,1.7,0.0638,0.7376999999999999,18.361534122955444
IGM Financial Inc.,IGM,2021,1,20,35.36,Financial Services,Asset Management,8430000000.0,11.59,1.28,1.71,0.0642,0.7376999999999999,18.62328509678632
IGM Financial Inc.,IGM,2021,1,21,35.51,Financial Services,Asset Management,8460000000.000001,11.64,1.28,1.72,0.0636,0.7376999999999999,18.823617901466715
IGM Financial Inc.,IGM,2021,1,22,35.37,Financial Services,Asset Management,8430000000.0,11.6,1.28,1.71,0.0634,0.7376999999999999,18.653375963889413
IGM Financial Inc.,IGM,2021,1,25,34.87,Financial Services,Asset Management,8310000000.000001,11.43,1.28,1.69,0.0636,0.7376999999999999,18.161620910116582
IGM Financial Inc.,IGM,2021,1,26,35.02,Financial Services,Asset Management,8350000000.0,11.48,1.37,1.7,0.0645,0.7376999999999999,18.333489901362142
IGM Financial Inc.,IGM,2021,1,27,34.37,Financial Services,Asset Management,8189999999.999999,11.27,1.37,1.67,0.0642,0.7376999999999999,17.685491448975753
IGM Financial Inc.,IGM,2021,1,28,34.54,Financial Services,Asset Management,8230000000.0,11.32,1.37,1.67,0.0655,0.7376999999999999,17.742280619427497
IGM Financial Inc.,IGM,2021,1,29,33.89,Financial Services,Asset Management,8080000000.0,11.11,1.37,1.64,0.0664,0.7376999999999999,17.085896474118528
IGM Financial Inc.,IGM,2021,2,1,35.33,Financial Services,Asset Management,8420000000.0,11.58,1.36,1.71,0.0664,0.7376999999999999,18.568829707426858
IGM Financial Inc.,IGM,2021,2,2,36.38,Financial Services,Asset Management,8670000000.0,11.93,1.36,1.76,0.0637,0.7376999999999999,19.73940020682523
IGM Financial Inc.,IGM,2021,2,3,36.95,Financial Services,Asset Management,8810000000.0,12.11,1.36,1.79,0.061799999999999994,0.7376999999999999,20.41523827462799
IGM Financial Inc.,IGM,2021,2,4,36.28,Financial Services,Asset Management,8650000000.0,11.9,1.36,1.76,0.060899999999999996,0.7376999999999999,19.741728720897353
IGM Financial Inc.,IGM,2021,2,5,36.14,Financial Services,Asset Management,8610000000.0,11.85,1.36,1.75,0.062,0.7376999999999999,19.52683615819209
IGM Financial Inc.,IGM,2021,2,8,36.39,Financial Services,Asset Management,8670000000.0,11.93,1.36,1.76,0.0623,0.7376999999999999,19.765414666290127
IGM Financial Inc.,IGM,2021,2,9,36.19,Financial Services,Asset Management,8620000000.0,11.87,1.36,1.75,0.061799999999999994,0.7376999999999999,19.563477114334145
IGM Financial Inc.,IGM,2021,2,10,36.01,Financial Services,Asset Management,8580000000.0,11.81,1.36,1.75,0.0622,0.7376999999999999,19.457258520052722
IGM Financial Inc.,IGM,2021,2,11,36.22,Financial Services,Asset Management,8630000000.0,11.88,1.36,1.76,0.0625,0.7376999999999999,19.6788705882353
IGM Financial Inc.,IGM,2021,2,12,34.85,Financial Services,Asset Management,8310000000.000001,11.43,1.19,1.69,0.0621,0.7376999999999999,18.187270501835982
IGM Financial Inc.,IGM,2021,2,16,34.89,Financial Services,Asset Management,8310000000.000001,10.88,1.17,1.66,0.0646,0.7009000000000001,16.9648694345294
