Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
IMV Inc.,IMV,2021,1,6,4.09,Healthcare,Biotechnology,274410000.0,N/A,N/A,5.63,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,7,4.38,Healthcare,Biotechnology,293870000.0,N/A,N/A,6.02,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,8,4.4,Healthcare,Biotechnology,295210000.0,N/A,N/A,6.05,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,11,4.28,Healthcare,Biotechnology,287160000.0,N/A,N/A,5.89,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,12,4.21,Healthcare,Biotechnology,282460000.0,N/A,N/A,5.79,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,13,4.15,Healthcare,Biotechnology,278440000.0,N/A,N/A,5.71,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,14,4.36,Healthcare,Biotechnology,292530000.0,N/A,N/A,6.0,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,15,4.44,Healthcare,Biotechnology,297900000.0,N/A,N/A,6.11,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,18,4.44,Healthcare,Biotechnology,297900000.0,N/A,N/A,6.11,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,19,4.69,Healthcare,Biotechnology,314670000.0,N/A,N/A,6.45,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,20,4.63,Healthcare,Biotechnology,310640000.0,N/A,N/A,6.37,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,21,4.51,Healthcare,Biotechnology,302590000.0,N/A,N/A,6.2,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,22,4.69,Healthcare,Biotechnology,314670000.0,N/A,N/A,6.45,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,25,4.55,Healthcare,Biotechnology,305280000.0,N/A,N/A,6.26,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,26,4.51,Healthcare,Biotechnology,302590000.0,N/A,N/A,6.2,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,27,4.65,Healthcare,Biotechnology,311980000.0,N/A,N/A,6.4,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,28,4.57,Healthcare,Biotechnology,306620000.0,N/A,N/A,6.29,N/A,0.0,N/A
IMV Inc.,IMV,2021,1,29,4.45,Healthcare,Biotechnology,298570000.0,N/A,N/A,6.12,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,1,4.71,Healthcare,Biotechnology,316010000.0,N/A,N/A,6.48,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,2,4.69,Healthcare,Biotechnology,314670000.0,N/A,N/A,6.45,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,3,4.87,Healthcare,Biotechnology,326750000.0,N/A,N/A,6.7,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,4,5.58,Healthcare,Biotechnology,374380000.0,N/A,N/A,7.68,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,5,5.63,Healthcare,Biotechnology,377740000.0,N/A,N/A,7.74,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,8,5.63,Healthcare,Biotechnology,377740000.0,N/A,N/A,7.74,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,9,5.56,Healthcare,Biotechnology,373040000.0,N/A,N/A,7.65,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,9,5.56,Healthcare,Biotechnology,373040000.0,N/A,N/A,7.65,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,10,5.5,Healthcare,Biotechnology,369010000.0,N/A,N/A,7.57,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,11,5.39,Healthcare,Biotechnology,361630000.0,N/A,N/A,7.41,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,12,5.29,Healthcare,Biotechnology,354920000.0,N/A,N/A,7.28,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,16,5.19,Healthcare,Biotechnology,348220000.0,N/A,N/A,7.14,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,17,4.88,Healthcare,Biotechnology,327420000.0,N/A,N/A,6.71,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,18,4.74,Healthcare,Biotechnology,318020000.0,N/A,N/A,6.52,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,19,5.03,Healthcare,Biotechnology,337480000.0,N/A,N/A,6.92,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,22,4.78,Healthcare,Biotechnology,320710000.0,N/A,N/A,6.57,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,23,4.51,Healthcare,Biotechnology,302590000.0,N/A,N/A,6.2,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,24,4.45,Healthcare,Biotechnology,298570000.0,N/A,N/A,6.12,N/A,0.0,N/A
IMV Inc.,IMV,2021,2,25,4.25,Healthcare,Biotechnology,285150000.0,N/A,N/A,5.85,N/A,0.0,N/A
