Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
INV Metals Inc.,INV,2021,1,6,0.51,Basic Materials,Other Industrial Metals & Mining,69640000.0,N/A,N/A,0.79,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,7,0.51,Basic Materials,Other Industrial Metals & Mining,69640000.0,N/A,N/A,0.79,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,8,0.5,Basic Materials,Other Industrial Metals & Mining,68270000.0,N/A,N/A,0.78,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,11,0.48,Basic Materials,Other Industrial Metals & Mining,65540000.00000001,N/A,N/A,0.75,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,12,0.48,Basic Materials,Other Industrial Metals & Mining,65540000.00000001,N/A,N/A,0.75,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,13,0.48,Basic Materials,Other Industrial Metals & Mining,65540000.00000001,N/A,N/A,0.75,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,14,0.45,Basic Materials,Other Industrial Metals & Mining,61440000.0,N/A,N/A,0.7,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,15,0.45,Basic Materials,Other Industrial Metals & Mining,61440000.0,N/A,N/A,0.7,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,18,0.45,Basic Materials,Other Industrial Metals & Mining,61440000.0,N/A,N/A,0.7,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,19,0.435,Basic Materials,Other Industrial Metals & Mining,59400000.0,N/A,N/A,0.68,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,20,0.435,Basic Materials,Other Industrial Metals & Mining,59400000.0,N/A,N/A,0.68,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,20,0.435,Basic Materials,Other Industrial Metals & Mining,59400000.0,N/A,N/A,0.68,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,22,0.45,Basic Materials,Other Industrial Metals & Mining,61440000.0,N/A,N/A,0.7,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,25,0.425,Basic Materials,Other Industrial Metals & Mining,58030000.0,N/A,N/A,0.66,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,26,0.41,Basic Materials,Other Industrial Metals & Mining,55980000.0,N/A,N/A,0.64,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,27,0.465,Basic Materials,Other Industrial Metals & Mining,63490000.0,N/A,N/A,0.72,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,28,0.44,Basic Materials,Other Industrial Metals & Mining,60080000.0,N/A,N/A,0.68,N/A,0.0,N/A
INV Metals Inc.,INV,2021,1,29,0.47,Basic Materials,Other Industrial Metals & Mining,70590000.0,N/A,N/A,0.73,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,1,0.52,Basic Materials,Other Industrial Metals & Mining,78100000.0,N/A,N/A,0.81,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,2,0.47,Basic Materials,Other Industrial Metals & Mining,70590000.0,N/A,N/A,0.73,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,3,0.46,Basic Materials,Other Industrial Metals & Mining,69090000.0,N/A,N/A,0.71,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,4,0.475,Basic Materials,Other Industrial Metals & Mining,71340000.0,N/A,N/A,0.74,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,5,0.45,Basic Materials,Other Industrial Metals & Mining,67590000.0,N/A,N/A,0.7,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,8,0.475,Basic Materials,Other Industrial Metals & Mining,71340000.0,N/A,N/A,0.74,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,9,0.455,Basic Materials,Other Industrial Metals & Mining,68340000.0,N/A,N/A,0.71,N/A,0.0,N/A
INV Metals Inc.,INV,2021,2,9,0.455,Basic Materials,Other Industrial Metals & Mining,68340000.0,N/A,N/A,0.71,N/A,0.0,N/A
