Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
International Petroleum Corporation,IPCO,2021,1,6,3.09,Energy,Oil & Gas E&P,479250000.0,118.85,N/A,0.66,N/A,0.0,78.441
International Petroleum Corporation,IPCO,2021,1,7,3.4,Energy,Oil & Gas E&P,514620000.0,130.77,N/A,0.72,N/A,0.0,94.15440000000001
International Petroleum Corporation,IPCO,2021,1,8,3.5,Energy,Oil & Gas E&P,547320000.0,134.62,N/A,0.74,N/A,0.0,99.61880000000001
International Petroleum Corporation,IPCO,2021,1,11,3.5,Energy,Oil & Gas E&P,565080000.0,134.62,N/A,0.74,N/A,0.0,99.61880000000001
International Petroleum Corporation,IPCO,2021,1,12,3.6,Energy,Oil & Gas E&P,557330000.0,138.46,N/A,0.77,N/A,0.0,106.61420000000001
International Petroleum Corporation,IPCO,2021,1,13,3.5,Energy,Oil & Gas E&P,542240000.0,134.62,N/A,0.74,N/A,0.0,99.61880000000001
International Petroleum Corporation,IPCO,2021,1,14,3.58,Energy,Oil & Gas E&P,553830000.0,137.69,N/A,0.76,N/A,0.0,104.6444
International Petroleum Corporation,IPCO,2021,1,15,3.4,Energy,Oil & Gas E&P,529030000.0,130.77,N/A,0.72,N/A,0.0,94.15440000000001
International Petroleum Corporation,IPCO,2021,1,18,3.25,Energy,Oil & Gas E&P,506420000.0,125.0,N/A,0.69,N/A,0.0,86.25
International Petroleum Corporation,IPCO,2021,1,19,3.34,Energy,Oil & Gas E&P,533120000.0,128.46,N/A,0.71,N/A,0.0,91.2066
