Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Information Services Corporation,ISV,2021,1,6,22.18,Industrials,Specialty Business Services,388150000.0,19.12,9.76,3.3,0.0339,0.6897,61.02717864396943
Information Services Corporation,ISV,2021,1,7,22.09,Industrials,Specialty Business Services,386580000.0,19.04,9.76,3.28,0.0361,0.6897,60.275263005501394
Information Services Corporation,ISV,2021,1,8,22.17,Industrials,Specialty Business Services,387980000.0,19.11,10.83,3.3,0.0362,0.6897,60.859872611464965
Information Services Corporation,ISV,2021,1,11,21.18,Industrials,Specialty Business Services,370650000.0,18.26,10.83,3.15,0.0361,0.6897,55.514911688061005
Information Services Corporation,ISV,2021,1,12,21.3,Industrials,Specialty Business Services,372750000.0,18.36,10.83,3.17,0.0378,0.6897,56.08132588167277
Information Services Corporation,ISV,2021,1,13,21.18,Industrials,Specialty Business Services,370650000.0,18.26,10.83,3.15,0.037599999999999995,0.6897,55.43465690053971
Information Services Corporation,ISV,2021,1,14,20.8,Industrials,Specialty Business Services,364000000.0,17.93,10.83,3.09,0.0378,0.6897,53.3857197918674
Information Services Corporation,ISV,2021,1,15,21.16,Industrials,Specialty Business Services,370300000.0,18.24,10.19,3.15,0.0378,0.6897,55.36326845249566
Information Services Corporation,ISV,2021,1,18,20.5,Industrials,Specialty Business Services,358750000.0,17.67,10.19,3.05,0.0378,0.6897,51.9305261129312
Information Services Corporation,ISV,2021,1,19,20.75,Industrials,Specialty Business Services,363120000.0,17.89,10.19,3.09,0.039,0.6897,53.2051010587103
Information Services Corporation,ISV,2021,1,20,20.71,Industrials,Specialty Business Services,362420000.0,17.85,10.19,3.08,0.038599999999999995,0.6897,52.93471981513577
Information Services Corporation,ISV,2021,1,21,20.68,Industrials,Specialty Business Services,361900000.0,17.83,10.19,3.07,0.038599999999999995,0.6897,52.70373579818986
Information Services Corporation,ISV,2021,1,22,20.52,Industrials,Specialty Business Services,359100000.0,17.69,10.19,3.05,0.0387,0.6897,51.944257244632716
