Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
International Tower Hill Mines Ltd.,ITH,2021,1,6,1.83,Basic Materials,Gold,356680000.0,N/A,N/A,5.18,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,7,1.81,Basic Materials,Gold,352780000.0,N/A,N/A,5.13,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,8,1.67,Basic Materials,Gold,325500000.0,N/A,N/A,4.73,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,11,1.68,Basic Materials,Gold,327450000.0,N/A,N/A,4.76,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,12,1.67,Basic Materials,Gold,325500000.0,N/A,N/A,4.73,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,13,1.7,Basic Materials,Gold,331340000.0,N/A,N/A,4.82,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,14,1.71,Basic Materials,Gold,333290000.0,N/A,N/A,4.84,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,15,1.62,Basic Materials,Gold,315750000.0,N/A,N/A,4.59,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,18,1.55,Basic Materials,Gold,302110000.0,N/A,N/A,4.39,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,19,1.61,Basic Materials,Gold,313800000.0,N/A,N/A,4.56,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,20,1.67,Basic Materials,Gold,325500000.0,N/A,N/A,4.73,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,21,1.69,Basic Materials,Gold,329390000.0,N/A,N/A,4.79,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,22,1.68,Basic Materials,Gold,327450000.0,N/A,N/A,4.76,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,25,1.68,Basic Materials,Gold,327450000.0,N/A,N/A,4.76,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,26,1.67,Basic Materials,Gold,325500000.0,N/A,N/A,4.73,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,27,1.63,Basic Materials,Gold,317700000.0,N/A,N/A,4.62,N/A,0.0,N/A
International Tower Hill Mines Ltd.,ITH,2021,1,28,1.69,Basic Materials,Gold,329390000.0,N/A,N/A,4.79,N/A,0.0,N/A
