Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Kelso Technologies Inc.,KLS,2021,1,6,0.73,Industrials,Railroads,34430000.0,21.47,N/A,2.8,N/A,0.0,60.11599999999999
Kelso Technologies Inc.,KLS,2021,1,7,0.75,Industrials,Railroads,35380000.0,22.06,N/A,2.87,N/A,0.0,63.3122
Kelso Technologies Inc.,KLS,2021,1,8,0.69,Industrials,Railroads,32549999.999999996,20.29,N/A,2.64,N/A,0.0,53.5656
Kelso Technologies Inc.,KLS,2021,1,11,0.86,Industrials,Railroads,40570000.0,25.29,N/A,3.3,N/A,0.0,83.457
Kelso Technologies Inc.,KLS,2021,1,12,0.83,Industrials,Railroads,39150000.0,24.41,N/A,3.18,N/A,0.0,77.6238
Kelso Technologies Inc.,KLS,2021,1,13,0.84,Industrials,Railroads,39620000.0,24.71,N/A,3.22,N/A,0.0,79.56620000000001
Kelso Technologies Inc.,KLS,2021,1,14,0.83,Industrials,Railroads,39150000.0,24.41,N/A,3.18,N/A,0.0,77.6238
Kelso Technologies Inc.,KLS,2021,1,15,0.84,Industrials,Railroads,39620000.0,24.71,N/A,3.22,N/A,0.0,79.56620000000001
Kelso Technologies Inc.,KLS,2021,1,18,0.81,Industrials,Railroads,38210000.0,23.82,N/A,3.1,N/A,0.0,73.842
Kelso Technologies Inc.,KLS,2021,1,19,0.93,Industrials,Railroads,43870000.0,27.35,N/A,3.56,N/A,0.0,97.366
Kelso Technologies Inc.,KLS,2021,1,20,0.89,Industrials,Railroads,41980000.0,26.18,N/A,3.41,N/A,0.0,89.27380000000001
Kelso Technologies Inc.,KLS,2021,1,21,0.9,Industrials,Railroads,42450000.0,26.47,N/A,3.45,N/A,0.0,91.3215
Kelso Technologies Inc.,KLS,2021,1,22,0.87,Industrials,Railroads,41040000.0,25.59,N/A,3.33,N/A,0.0,85.21470000000001
Kelso Technologies Inc.,KLS,2021,1,25,1.15,Industrials,Railroads,54250000.0,33.82,N/A,4.41,N/A,0.0,149.1462
Kelso Technologies Inc.,KLS,2021,1,26,0.99,Industrials,Railroads,46700000.0,29.12,N/A,3.79,N/A,0.0,110.3648
Kelso Technologies Inc.,KLS,2021,1,27,0.94,Industrials,Railroads,44340000.0,27.65,N/A,3.6,N/A,0.0,99.53999999999999
Kelso Technologies Inc.,KLS,2021,1,28,0.96,Industrials,Railroads,45280000.0,28.24,N/A,3.68,N/A,0.0,103.9232
Kelso Technologies Inc.,KLS,2021,1,29,0.9,Industrials,Railroads,42450000.0,26.47,N/A,3.45,N/A,0.0,91.3215
Kelso Technologies Inc.,KLS,2021,2,1,1.19,Industrials,Railroads,56130000.0,35.0,N/A,4.56,N/A,0.0,159.6
Kelso Technologies Inc.,KLS,2021,2,2,1.03,Industrials,Railroads,48590000.0,30.29,N/A,3.95,N/A,0.0,119.6455
