Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
K92 Mining Inc.,KNT,2021,1,6,8.03,Basic Materials,Gold,1760000000.0,32.64,N/A,10.71,N/A,0.0,349.5744
K92 Mining Inc.,KNT,2021,1,7,8.03,Basic Materials,Gold,1760000000.0,32.64,N/A,10.71,N/A,0.0,349.5744
K92 Mining Inc.,KNT,2021,1,8,7.85,Basic Materials,Gold,1720000000.0,31.91,N/A,10.47,N/A,0.0,334.09770000000003
K92 Mining Inc.,KNT,2021,1,11,7.87,Basic Materials,Gold,1720000000.0,31.99,N/A,10.49,N/A,0.0,335.57509999999996
K92 Mining Inc.,KNT,2021,1,12,8.08,Basic Materials,Gold,1770000000.0,32.85,N/A,10.77,N/A,0.0,353.7945
K92 Mining Inc.,KNT,2021,1,13,8.06,Basic Materials,Gold,1760000000.0,32.76,N/A,10.75,N/A,0.0,352.16999999999996
K92 Mining Inc.,KNT,2021,1,14,7.99,Basic Materials,Gold,1750000000.0,32.48,N/A,10.65,N/A,0.0,345.912
K92 Mining Inc.,KNT,2021,1,15,8.04,Basic Materials,Gold,1760000000.0,32.68,N/A,10.72,N/A,0.0,350.3296
K92 Mining Inc.,KNT,2021,1,18,7.97,Basic Materials,Gold,1740000000.0,32.4,N/A,10.63,N/A,0.0,344.41200000000003
K92 Mining Inc.,KNT,2021,1,19,7.85,Basic Materials,Gold,1720000000.0,31.91,N/A,10.47,N/A,0.0,334.09770000000003
K92 Mining Inc.,KNT,2021,1,20,8.16,Basic Materials,Gold,1790000000.0,33.17,N/A,10.88,N/A,0.0,360.88960000000003
K92 Mining Inc.,KNT,2021,1,21,8.21,Basic Materials,Gold,N/A,N/A,N/A,10.95,N/A,N/A,N/A
K92 Mining Inc.,KNT,2021,1,22,8.21,Basic Materials,Gold,1800000000.0,33.37,N/A,10.95,N/A,0.0,365.40149999999994
K92 Mining Inc.,KNT,2021,1,25,8.26,Basic Materials,Gold,1810000000.0,33.58,N/A,11.01,N/A,0.0,369.7158
K92 Mining Inc.,KNT,2021,1,26,8.4,Basic Materials,Gold,1840000000.0,34.15,N/A,11.2,N/A,0.0,382.47999999999996
K92 Mining Inc.,KNT,2021,1,27,8.28,Basic Materials,Gold,1810000000.0,33.66,N/A,11.04,N/A,0.0,371.60639999999995
K92 Mining Inc.,KNT,2021,1,28,8.48,Basic Materials,Gold,1860000000.0,34.47,N/A,11.31,N/A,0.0,389.8557
K92 Mining Inc.,KNT,2021,1,29,8.58,Basic Materials,Gold,1880000000.0,34.88,N/A,11.44,N/A,0.0,399.0272
K92 Mining Inc.,KNT,2021,2,1,8.9,Basic Materials,Gold,1950000000.0,36.18,N/A,11.87,N/A,0.0,429.4566
K92 Mining Inc.,KNT,2021,2,2,8.92,Basic Materials,Gold,1950000000.0,36.26,N/A,11.89,N/A,0.0,431.1314
K92 Mining Inc.,KNT,2021,2,3,8.92,Basic Materials,Gold,1950000000.0,36.26,N/A,11.89,N/A,0.0,431.1314
K92 Mining Inc.,KNT,2021,2,4,8.8,Basic Materials,Gold,1930000000.0,35.77,N/A,11.73,N/A,0.0,419.5821
K92 Mining Inc.,KNT,2021,2,5,8.74,Basic Materials,Gold,1910000000.0,35.53,N/A,11.65,N/A,0.0,413.9245
K92 Mining Inc.,KNT,2021,2,8,8.52,Basic Materials,Gold,1870000000.0,34.63,N/A,11.36,N/A,0.0,393.3968
K92 Mining Inc.,KNT,2021,2,9,8.25,Basic Materials,Gold,1810000000.0,33.54,N/A,11.0,N/A,0.0,368.94
K92 Mining Inc.,KNT,2021,2,9,8.25,Basic Materials,Gold,1810000000.0,33.54,N/A,11.0,N/A,0.0,368.94
K92 Mining Inc.,KNT,2021,2,10,7.91,Basic Materials,Gold,1730000000.0,32.15,N/A,10.55,N/A,0.0,339.1825
K92 Mining Inc.,KNT,2021,2,11,7.76,Basic Materials,Gold,1700000000.0,31.54,N/A,10.35,N/A,0.0,326.43899999999996
K92 Mining Inc.,KNT,2021,2,12,7.46,Basic Materials,Gold,1630000000.0,30.33,N/A,9.95,N/A,0.0,301.78349999999995
K92 Mining Inc.,KNT,2021,2,16,6.83,Basic Materials,Gold,1500000000.0,27.76,N/A,9.11,N/A,0.0,252.8936
K92 Mining Inc.,KNT,2021,2,17,6.92,Basic Materials,Gold,1520000000.0,28.13,N/A,9.23,N/A,0.0,259.6399
K92 Mining Inc.,KNT,2021,2,18,6.72,Basic Materials,Gold,1470000000.0,27.32,N/A,8.96,N/A,0.0,244.7872
