Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Labrador Iron Ore Royalty Corporation,LIF,2021,1,6,32.65,Basic Materials,Steel,2089999999.9999998,10.43,1.14,3.45,0.0787,0.3195,33.35820895522388
Labrador Iron Ore Royalty Corporation,LIF,2021,1,7,32.88,Basic Materials,Steel,2100000000.0,10.51,1.14,3.47,0.0781,0.3195,33.827752527594846
Labrador Iron Ore Royalty Corporation,LIF,2021,1,8,33.43,Basic Materials,Steel,2140000000.0000002,10.68,1.15,3.53,0.0776,0.3195,34.98552338530067
Labrador Iron Ore Royalty Corporation,LIF,2021,1,11,32.96,Basic Materials,Steel,2109999999.9999998,10.53,1.17,3.48,0.07629999999999999,0.3195,34.04664127102109
Labrador Iron Ore Royalty Corporation,LIF,2021,1,12,33.22,Basic Materials,Steel,2130000000.0,10.62,1.14,3.51,0.0774,0.3195,34.598292184889544
Labrador Iron Ore Royalty Corporation,LIF,2021,1,13,33.24,Basic Materials,Steel,2130000000.0,10.62,1.14,3.51,0.0768,0.3195,34.617570579494796
Labrador Iron Ore Royalty Corporation,LIF,2021,1,14,33.4,Basic Materials,Steel,2140000000.0000002,10.67,1.14,3.53,0.0767,0.3195,34.98198198198198
Labrador Iron Ore Royalty Corporation,LIF,2021,1,15,32.69,Basic Materials,Steel,2089999999.9999998,10.45,1.14,3.45,0.0767,0.3195,33.48425745332962
Labrador Iron Ore Royalty Corporation,LIF,2021,1,18,32.51,Basic Materials,Steel,2080000000.0,10.39,1.14,3.43,0.078,0.3195,33.05909090909091
Labrador Iron Ore Royalty Corporation,LIF,2021,1,19,32.41,Basic Materials,Steel,2069999999.9999998,10.36,1.14,3.42,0.0784,0.3195,32.8553412462908
Labrador Iron Ore Royalty Corporation,LIF,2021,1,20,33.03,Basic Materials,Steel,2109999999.9999998,10.56,1.11,3.49,0.0787,0.3195,34.165569667191996
Labrador Iron Ore Royalty Corporation,LIF,2021,1,21,33.43,Basic Materials,Steel,2140000000.0000002,10.68,1.13,3.53,0.07719999999999999,0.3195,34.998514667656885
Labrador Iron Ore Royalty Corporation,LIF,2021,1,22,32.76,Basic Materials,Steel,2100000000.0,10.47,1.13,3.46,0.07629999999999999,0.3195,33.65808789370993
Labrador Iron Ore Royalty Corporation,LIF,2021,1,25,32.7,Basic Materials,Steel,2089999999.9999998,10.45,1.13,3.45,0.07780000000000001,0.3195,33.45008350343292
Labrador Iron Ore Royalty Corporation,LIF,2021,1,26,32.4,Basic Materials,Steel,2069999999.9999998,10.35,1.14,3.42,0.078,0.3195,32.83580705009276
Labrador Iron Ore Royalty Corporation,LIF,2021,1,27,31.26,Basic Materials,Steel,2000000000.0,9.99,1.15,3.3,0.0787,0.3195,30.56178733660888
Labrador Iron Ore Royalty Corporation,LIF,2021,1,28,32.34,Basic Materials,Steel,2069999999.9999998,10.34,1.15,3.41,0.0816,0.3195,32.59929733727811
Labrador Iron Ore Royalty Corporation,LIF,2021,1,29,31.85,Basic Materials,Steel,2040000000.0,10.18,1.14,3.36,0.0801,0.3195,31.668178872326635
Labrador Iron Ore Royalty Corporation,LIF,2021,2,1,32.6,Basic Materials,Steel,2089999999.9999998,10.42,1.14,3.44,0.0801,0.3195,33.186556800296266
Labrador Iron Ore Royalty Corporation,LIF,2021,2,2,32.07,Basic Materials,Steel,2049999999.9999998,10.25,1.14,3.39,0.0801,0.3195,32.170632348856586
Labrador Iron Ore Royalty Corporation,LIF,2021,2,3,32.14,Basic Materials,Steel,2060000000.0,10.27,1.14,3.39,0.0795,0.3195,32.25132005558129
Labrador Iron Ore Royalty Corporation,LIF,2021,2,4,32.89,Basic Materials,Steel,2100000000.0,10.51,1.14,3.47,0.0795,0.3195,33.78388142658639
Labrador Iron Ore Royalty Corporation,LIF,2021,2,5,33.8,Basic Materials,Steel,2160000000.0,10.8,1.14,3.57,0.0793,0.3195,35.72315389604373
Labrador Iron Ore Royalty Corporation,LIF,2021,2,8,34.49,Basic Materials,Steel,2210000000.0,11.02,1.14,3.64,0.0754,0.3195,37.30035335689046
Labrador Iron Ore Royalty Corporation,LIF,2021,2,9,34.66,Basic Materials,Steel,2220000000.0,11.08,1.14,3.66,0.0754,0.3195,37.70950344058026
Labrador Iron Ore Royalty Corporation,LIF,2021,2,9,34.66,Basic Materials,Steel,2220000000.0,11.08,1.14,3.66,0.0754,0.3195,37.70950344058026
Labrador Iron Ore Royalty Corporation,LIF,2021,2,10,34.21,Basic Materials,Steel,2190000000.0,10.93,1.14,3.61,0.0739,0.3195,36.74206164447341
Labrador Iron Ore Royalty Corporation,LIF,2021,2,11,34.47,Basic Materials,Steel,2210000000.0,11.02,1.14,3.64,0.0745,0.3195,37.33159609120521
Labrador Iron Ore Royalty Corporation,LIF,2021,2,12,34.55,Basic Materials,Steel,2210000000.0,11.04,1.14,3.65,0.07400000000000001,0.3195,37.5195530726257
