Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Lundin Mining Corporation,LUN,2021,1,6,11.97,Basic Materials,Copper,8790000000.0,59.85,1.47,2.31,0.013500000000000002,0.551,136.411938825851
Lundin Mining Corporation,LUN,2021,1,7,12.35,Basic Materials,Copper,9070000000.0,61.75,1.49,2.39,0.0134,0.551,145.63104401026249
Lundin Mining Corporation,LUN,2021,1,8,11.87,Basic Materials,Copper,8720000000.0,59.35,1.53,2.29,0.013000000000000001,0.551,134.1673247778875
Lundin Mining Corporation,LUN,2021,1,11,11.42,Basic Materials,Copper,8390000000.000001,57.1,1.47,2.21,0.013500000000000002,0.551,124.51011346817957
Lundin Mining Corporation,LUN,2021,1,12,11.41,Basic Materials,Copper,8380000000.000001,57.05,1.47,2.2,0.013500000000000002,0.551,123.83818450912679
Lundin Mining Corporation,LUN,2021,1,13,11.37,Basic Materials,Copper,8350000000.0,56.85,1.44,2.2,0.013999999999999999,0.551,123.34319526627219
Lundin Mining Corporation,LUN,2021,1,14,11.69,Basic Materials,Copper,8580000000.0,58.45,1.44,2.26,0.013999999999999999,0.551,130.27317554240628
Lundin Mining Corporation,LUN,2021,1,15,11.45,Basic Materials,Copper,8410000000.0,57.25,1.42,2.21,0.0137,0.551,124.81256782085428
Lundin Mining Corporation,LUN,2021,1,18,11.54,Basic Materials,Copper,8470000000.000001,57.7,1.33,2.23,0.013999999999999999,0.551,126.89447731755423
Lundin Mining Corporation,LUN,2021,1,19,11.96,Basic Materials,Copper,8780000000.0,59.8,1.33,2.31,0.013999999999999999,0.551,136.23076923076923
Lundin Mining Corporation,LUN,2021,1,20,12.04,Basic Materials,Copper,8840000000.0,60.2,1.39,2.33,0.0139,0.551,138.34303185718514
Lundin Mining Corporation,LUN,2021,1,21,12.26,Basic Materials,Copper,9000000000.0,61.3,1.42,2.37,0.0134,0.551,143.35997631734753
Lundin Mining Corporation,LUN,2021,1,22,12.32,Basic Materials,Copper,9050000000.0,61.6,1.29,2.38,0.0131,0.551,144.71226927252985
Lundin Mining Corporation,LUN,2021,1,25,12.07,Basic Materials,Copper,8860000000.0,60.35,1.09,2.33,0.013000000000000001,0.551,138.81095755182628
Lundin Mining Corporation,LUN,2021,1,26,11.66,Basic Materials,Copper,8560000000.000001,58.3,1.08,2.25,0.013000000000000001,0.551,129.49160908193485
Lundin Mining Corporation,LUN,2021,1,27,11.22,Basic Materials,Copper,8240000000.0,56.1,1.08,2.17,0.013300000000000001,0.551,120.13914931412216
Lundin Mining Corporation,LUN,2021,1,28,11.68,Basic Materials,Copper,8580000000.0,58.4,1.08,2.26,0.0137,0.551,130.20025648613986
Lundin Mining Corporation,LUN,2021,1,29,11.4,Basic Materials,Copper,8369999999.999999,57.0,1.03,2.2,0.013999999999999999,0.551,123.66863905325444
Lundin Mining Corporation,LUN,2021,2,1,11.77,Basic Materials,Copper,8640000000.0,58.85,0.99,2.27,0.013999999999999999,0.551,131.7450690335306
Lundin Mining Corporation,LUN,2021,2,2,11.55,Basic Materials,Copper,8500000000.0,57.75,0.99,2.23,0.013999999999999999,0.551,127.00443786982248
Lundin Mining Corporation,LUN,2021,2,3,11.83,Basic Materials,Copper,8710000000.0,59.15,0.99,2.28,0.013999999999999999,0.551,133.0
Lundin Mining Corporation,LUN,2021,2,4,11.8,Basic Materials,Copper,8690000000.0,59.0,0.99,2.28,0.0139,0.551,132.67580629253376
Lundin Mining Corporation,LUN,2021,2,5,12.16,Basic Materials,Copper,8950000000.0,60.8,0.99,2.35,0.0139,0.551,140.92119538416017
Lundin Mining Corporation,LUN,2021,2,8,12.61,Basic Materials,Copper,9280000000.0,63.05,0.99,2.44,0.0132,0.551,151.83774180813262
Lundin Mining Corporation,LUN,2021,2,9,12.62,Basic Materials,Copper,9290000000.0,63.1,0.99,2.44,0.0132,0.551,151.95815238847214
Lundin Mining Corporation,LUN,2021,2,9,12.62,Basic Materials,Copper,9290000000.0,63.1,0.99,2.44,0.0132,0.551,151.95815238847214
Lundin Mining Corporation,LUN,2021,2,10,12.89,Basic Materials,Copper,9490000000.0,64.45,0.99,2.49,0.0127,0.551,158.46795694677598
Lundin Mining Corporation,LUN,2021,2,11,13.1,Basic Materials,Copper,9640000000.0,65.5,0.99,2.53,0.0127,0.551,163.63681248148512
Lundin Mining Corporation,LUN,2021,2,12,13.3,Basic Materials,Copper,9790000000.0,66.5,0.99,2.57,0.012199999999999999,0.551,168.8450899031812
Lundin Mining Corporation,LUN,2021,2,16,14.16,Basic Materials,Copper,10420000000.0,70.8,0.99,2.73,0.012,0.551,190.99209486166006
Lundin Mining Corporation,LUN,2021,2,17,14.0,Basic Materials,Copper,10310000000.0,70.0,0.99,2.7,0.012,0.551,186.7588932806324
Lundin Mining Corporation,LUN,2021,2,18,14.08,Basic Materials,Copper,10370000000.0,70.4,0.99,2.72,0.0113,0.551,189.34836349253436
Lundin Mining Corporation,LUN,2021,2,19,15.21,Basic Materials,Copper,11200000000.0,76.05,0.95,2.94,0.011399999999999999,0.551,221.06683804627247
Lundin Mining Corporation,LUN,2021,2,22,15.01,Basic Materials,Copper,11050000000.0,65.26,0.32,2.78,0.0158,0.551,178.60090569009645
