Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Digital Consumer Dividend Fund,MDC-UN,2021,1,6,12.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,7,12.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,8,12.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,8,12.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,12,12.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,13,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,14,12.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,15,12.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,18,12.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,18,12.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,20,12.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,21,12.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,22,12.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,25,12.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,26,12.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,27,12.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,28,12.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,1,29,12.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,2,1,12.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,2,1,12.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,2,2,12.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,2,3,13.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Consumer Dividend Fund,MDC-UN,2021,2,4,13.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
