Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Genworth MI Canada Inc.,MIC,2021,1,6,43.42,Financial Services,Insurance—Specialty,3740000000.0,8.99,16.88,1.0,0.049800000000000004,0.4472,8.563535911602209
Genworth MI Canada Inc.,MIC,2021,1,7,43.46,Financial Services,Insurance—Specialty,3750000000.0,9.0,16.88,1.0,0.049699999999999994,0.4472,8.573878250928836
Genworth MI Canada Inc.,MIC,2021,1,8,43.65,Financial Services,Insurance—Specialty,3760000000.0,9.04,16.92,1.0,0.049699999999999994,0.4472,8.611984376488518
Genworth MI Canada Inc.,MIC,2021,1,11,43.43,Financial Services,Insurance—Specialty,3740000000.0,9.0,16.92,1.0,0.0495,0.4472,8.57551214864221
Genworth MI Canada Inc.,MIC,2021,1,12,43.45,Financial Services,Insurance—Specialty,3750000000.0,9.0,16.92,1.0,0.049699999999999994,0.4472,8.573878250928836
Genworth MI Canada Inc.,MIC,2021,1,13,43.41,Financial Services,Insurance—Specialty,3740000000.0,8.99,16.92,1.0,0.049699999999999994,0.4472,8.564351719538916
Genworth MI Canada Inc.,MIC,2021,1,14,43.43,Financial Services,Insurance—Specialty,3740000000.0,9.0,16.92,1.0,0.049699999999999994,0.4472,8.573878250928836
Genworth MI Canada Inc.,MIC,2021,1,15,43.46,Financial Services,Insurance—Specialty,3750000000.0,9.0,16.92,1.0,0.049699999999999994,0.4472,8.573878250928836
Genworth MI Canada Inc.,MIC,2021,1,18,43.54,Financial Services,Insurance—Specialty,3750000000.0,9.02,16.92,1.0,0.049699999999999994,0.4472,8.592931313708677
Genworth MI Canada Inc.,MIC,2021,1,19,43.5,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.0496,0.4472,8.58422256097561
Genworth MI Canada Inc.,MIC,2021,1,20,43.46,Financial Services,Insurance—Specialty,3750000000.0,9.0,16.92,1.0,0.049699999999999994,0.4472,8.573878250928836
Genworth MI Canada Inc.,MIC,2021,1,21,43.51,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.049699999999999994,0.4472,8.583404782318757
Genworth MI Canada Inc.,MIC,2021,1,22,43.54,Financial Services,Insurance—Specialty,3750000000.0,9.02,16.92,1.0,0.0496,0.4472,8.593749999999998
Genworth MI Canada Inc.,MIC,2021,1,25,43.66,Financial Services,Insurance—Specialty,3760000000.0,9.04,16.92,1.0,0.0496,0.4472,8.61280487804878
Genworth MI Canada Inc.,MIC,2021,1,26,43.61,Financial Services,Insurance—Specialty,3760000000.0,9.03,16.92,1.0,0.0495,0.4472,8.604097189137683
Genworth MI Canada Inc.,MIC,2021,1,27,43.47,Financial Services,Insurance—Specialty,3750000000.0,9.0,16.92,1.0,0.0495,0.4472,8.57551214864221
Genworth MI Canada Inc.,MIC,2021,1,28,43.51,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.0495,0.4472,8.585040495474034
Genworth MI Canada Inc.,MIC,2021,1,29,43.48,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.049699999999999994,0.4472,8.583404782318757
Genworth MI Canada Inc.,MIC,2021,2,1,43.51,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.049699999999999994,0.4472,8.583404782318757
Genworth MI Canada Inc.,MIC,2021,2,2,43.52,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.0496,0.4472,8.58422256097561
Genworth MI Canada Inc.,MIC,2021,2,3,43.52,Financial Services,Insurance—Specialty,3750000000.0,9.01,16.92,1.0,0.0496,0.4472,8.58422256097561
Genworth MI Canada Inc.,MIC,2021,2,4,43.6,Financial Services,Insurance—Specialty,3760000000.0,9.03,16.92,1.0,0.0496,0.4472,8.603277439024389
Genworth MI Canada Inc.,MIC,2021,2,5,43.66,Financial Services,Insurance—Specialty,3760000000.0,8.65,18.1,0.97,0.0495,0.4472,7.994759409242495
Sagen MI Canada Inc.,MIC,2021,2,8,43.73,Financial Services,Insurance—Specialty,3780000000.0,8.66,17.46,0.97,N/A,0.4472,8.4002
Sagen MI Canada Inc.,MIC,2021,2,9,43.78,Financial Services,Insurance—Specialty,3780000000.0,8.67,17.46,0.98,N/A,0.4472,8.496599999999999
Sagen MI Canada Inc.,MIC,2021,2,10,43.8,Financial Services,Insurance—Specialty,3780000000.0,8.68,17.46,0.98,N/A,0.4277,8.5064
Sagen MI Canada Inc.,MIC,2021,2,11,43.85,Financial Services,Insurance—Specialty,3790000000.0,8.69,17.46,0.98,N/A,0.4277,8.5162
Sagen MI Canada Inc.,MIC,2021,2,12,43.35,Financial Services,Insurance—Specialty,3740000000.0,8.59,17.46,0.97,N/A,0.4277,8.3323
Sagen MI Canada Inc.,MIC,2021,2,16,43.35,Financial Services,Insurance—Specialty,3740000000.0,8.59,17.46,0.97,N/A,0.4277,8.3323
Sagen MI Canada Inc.,MIC,2021,2,17,43.34,Financial Services,Insurance—Specialty,3740000000.0,8.59,17.46,0.97,0.049800000000000004,0.4277,7.9370356258334915
Sagen MI Canada Inc.,MIC,2021,2,18,43.32,Financial Services,Insurance—Specialty,3740000000.0,8.58,17.46,0.97,0.049800000000000004,0.4277,7.927795770622975
