Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dream Impact Trust,MPCT-UN,2021,1,6,6.04,Real Estate,REIT—Diversified,392230000,18.14,N/A,0.74,0.0669,1.0636,12.58187272
Dream Impact Trust,MPCT-UN,2021,1,7,5.99,Real Estate,REIT—Diversified,388990000,17.99,N/A,0.73,0.0662,1.0636,12.31729507
Dream Impact Trust,MPCT-UN,2021,1,8,5.97,Real Estate,REIT—Diversified,387690000,17.93,N/A,0.73,0.0668,1.0636,12.26931009
Dream Impact Trust,MPCT-UN,2021,1,11,5.95,Real Estate,REIT—Diversified,386390000,17.87,N/A,0.72,0.067,1.0636,12.05848172
Dream Impact Trust,MPCT-UN,2021,1,12,5.96,Real Estate,REIT—Diversified,387040000,17.9,N/A,0.73,0.0672,1.0636,12.2441904
Dream Impact Trust,MPCT-UN,2021,1,13,5.97,Real Estate,REIT—Diversified,387690000,17.93,N/A,0.73,0.0671,1.0636,12.26586074
Dream Impact Trust,MPCT-UN,2021,1,14,6,Real Estate,REIT—Diversified,389630000,18.02,N/A,0.73,0.067,1.0636,12.32858482
Dream Impact Trust,MPCT-UN,2021,1,15,6.03,Real Estate,REIT—Diversified,391580000,18.11,N/A,0.73,0.0667,1.0636,12.39364395
Dream Impact Trust,MPCT-UN,2021,1,18,6.01,Real Estate,REIT—Diversified,390280000,18.05,N/A,0.73,0.0663,1.0636,12.35721654
Dream Impact Trust,MPCT-UN,2021,1,19,6.05,Real Estate,REIT—Diversified,392880000,18.17,N/A,0.74,0.0665,1.0636,12.60740741
Dream Impact Trust,MPCT-UN,2021,1,20,6.15,Real Estate,REIT—Diversified,399380000,18.47,N/A,0.75,0.0661,1.0636,12.99362161
Dream Impact Trust,MPCT-UN,2021,1,21,6.19,Real Estate,REIT—Diversified,401970000,18.59,N/A,0.75,0.065,1.0636,13.0915493
Dream Impact Trust,MPCT-UN,2021,1,22,6.12,Real Estate,REIT—Diversified,397430000,18.38,N/A,0.75,0.0646,1.0636,12.94852527
Dream Impact Trust,MPCT-UN,2021,1,25,6.05,Real Estate,REIT—Diversified,392880000,18.17,N/A,0.74,0.0649,1.0636,12.62634989
Dream Impact Trust,MPCT-UN,2021,1,26,6.1,Real Estate,REIT—Diversified,396130000.0,18.32,N/A,0.74,0.0661,1.0636,12.716255510740082
Dream Impact Trust,MPCT-UN,2021,1,27,5.9,Real Estate,REIT—Diversified,383140000.0,17.72,N/A,0.72,0.06559999999999999,1.0636,11.972972972972972
Dream Impact Trust,MPCT-UN,2021,1,28,6.12,Real Estate,REIT—Diversified,397430000.0,18.38,N/A,0.75,0.0678,1.0636,12.909720921520883
Dream Impact Trust,MPCT-UN,2021,1,29,6.03,Real Estate,REIT—Diversified,391580000.0,18.11,N/A,0.73,0.0663,1.0636,12.398293163274875
Dream Impact Trust,MPCT-UN,2021,2,1,6.1,Real Estate,REIT—Diversified,396130000.0,18.32,N/A,0.74,0.0663,1.0636,12.713870392947577
Dream Impact Trust,MPCT-UN,2021,2,1,6.1,Real Estate,REIT—Diversified,396130000.0,18.32,N/A,0.74,0.0663,1.0636,12.713870392947577
Dream Impact Trust,MPCT-UN,2021,2,2,6.02,Real Estate,REIT—Diversified,390930000.0,18.08,N/A,0.73,0.0663,1.0636,12.377754853230796
