Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
MTY Food Group Inc.,MTY,2021,1,6,52.75,Consumer Cyclical,Restaurants,1300000000.0,N/A,5.75,2.3,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,7,53.73,Consumer Cyclical,Restaurants,1330000000.0,N/A,5.75,2.34,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,8,53.58,Consumer Cyclical,Restaurants,1320000000.0,N/A,5.33,2.34,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,11,52.75,Consumer Cyclical,Restaurants,1300000000.0,N/A,5.32,2.3,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,12,52.22,Consumer Cyclical,Restaurants,1290000000.0,N/A,5.32,2.28,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,13,51.2,Consumer Cyclical,Restaurants,1260000000.0,N/A,5.32,2.23,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,14,51.07,Consumer Cyclical,Restaurants,1260000000.0,N/A,5.32,2.23,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,15,50.51,Consumer Cyclical,Restaurants,1250000000.0,N/A,5.07,2.2,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,18,50.3,Consumer Cyclical,Restaurants,1240000000.0,N/A,5.07,2.19,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,19,51.5,Consumer Cyclical,Restaurants,1270000000.0,N/A,5.07,2.25,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,20,50.83,Consumer Cyclical,Restaurants,1260000000.0,N/A,5.11,2.22,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,21,50.34,Consumer Cyclical,Restaurants,1240000000.0,N/A,5.11,2.19,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,22,50.18,Consumer Cyclical,Restaurants,1240000000.0,N/A,5.11,2.19,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,25,50.48,Consumer Cyclical,Restaurants,1250000000.0,N/A,5.11,2.2,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,26,50.15,Consumer Cyclical,Restaurants,1240000000.0,N/A,5.11,2.19,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,27,50.16,Consumer Cyclical,Restaurants,1240000000.0,N/A,5.11,2.19,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,28,52.35,Consumer Cyclical,Restaurants,1290000000.0,N/A,5.11,2.28,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,1,29,51.22,Consumer Cyclical,Restaurants,1270000000.0,N/A,5.11,2.23,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,1,52.24,Consumer Cyclical,Restaurants,1290000000.0,N/A,5.11,2.28,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,2,52.97,Consumer Cyclical,Restaurants,1310000000.0,N/A,5.11,2.31,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,3,53.63,Consumer Cyclical,Restaurants,1330000000.0,N/A,5.11,2.34,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,4,54.98,Consumer Cyclical,Restaurants,1360000000.0,N/A,5.11,2.4,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,5,54.18,Consumer Cyclical,Restaurants,1340000000.0,N/A,5.11,2.36,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,8,53.52,Consumer Cyclical,Restaurants,1320000000.0,N/A,5.11,2.33,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,9,53.61,Consumer Cyclical,Restaurants,1320000000.0,N/A,5.11,2.34,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,9,53.61,Consumer Cyclical,Restaurants,1320000000.0,N/A,5.11,2.34,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,10,53.85,Consumer Cyclical,Restaurants,1330000000.0,N/A,5.11,2.35,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,11,53.11,Consumer Cyclical,Restaurants,1310000000.0,N/A,5.11,2.32,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,12,52.61,Consumer Cyclical,Restaurants,1300000000.0,N/A,5.11,2.29,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,16,51.33,Consumer Cyclical,Restaurants,1270000000.0,N/A,5.11,2.24,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,17,50.5,Consumer Cyclical,Restaurants,1250000000.0,N/A,5.47,2.2,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,18,47.66,Consumer Cyclical,Restaurants,1180000000.0,N/A,5.47,2.08,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,19,48.36,Consumer Cyclical,Restaurants,1190000000.0,N/A,5.47,2.11,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,22,49.64,Consumer Cyclical,Restaurants,1230000000.0,N/A,0.83,2.11,N/A,N/A,N/A
MTY Food Group Inc.,MTY,2021,2,23,50.2,Consumer Cyclical,Restaurants,1240000000.0,N/A,0.84,2.13,N/A,N/A,N/A
