Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Newcrest Mining Limited,NCM,2021,1,6,27.21,Basic Materials,Gold,21920000000.0,32.74,N/A,2.57,N/A,0.0,84.1418
Newcrest Mining Limited,NCM,2021,1,6,27.21,Basic Materials,Gold,22230000000.0,32.74,N/A,2.57,N/A,0.0,84.1418
Newcrest Mining Limited,NCM,2021,1,8,26.0,Basic Materials,Gold,21240000000.0,31.29,N/A,2.46,N/A,0.0,76.9734
Newcrest Mining Limited,NCM,2021,1,11,25.75,Basic Materials,Gold,21740000000.0,30.99,N/A,2.43,N/A,0.0,75.3057
Newcrest Mining Limited,NCM,2021,1,11,25.75,Basic Materials,Gold,21110000000.0,30.99,N/A,2.43,N/A,0.0,75.3057
Newcrest Mining Limited,NCM,2021,1,11,25.75,Basic Materials,Gold,21010000000.0,30.99,N/A,2.43,N/A,0.0,75.3057
Newcrest Mining Limited,NCM,2021,1,14,26.31,Basic Materials,Gold,21470000000.0,31.66,N/A,2.49,N/A,0.0,78.83340000000001
Newcrest Mining Limited,NCM,2021,1,14,26.31,Basic Materials,Gold,22220000000.0,31.66,N/A,2.49,N/A,0.0,78.83340000000001
Newcrest Mining Limited,NCM,2021,1,14,26.31,Basic Materials,Gold,21430000000.0,31.66,N/A,2.49,N/A,0.0,78.83340000000001
Newcrest Mining Limited,NCM,2021,1,19,26.4,Basic Materials,Gold,21310000000.0,31.77,N/A,2.49,N/A,0.0,79.10730000000001
Newcrest Mining Limited,NCM,2021,1,20,26.96,Basic Materials,Gold,21590000000.0,32.44,N/A,2.55,N/A,0.0,82.722
Newcrest Mining Limited,NCM,2021,1,20,26.96,Basic Materials,Gold,21590000000.0,32.44,N/A,2.55,N/A,0.0,82.722
Newcrest Mining Limited,NCM,2021,1,22,26.93,Basic Materials,Gold,21700000000.0,32.41,N/A,2.54,N/A,0.0,82.3214
Newcrest Mining Limited,NCM,2021,1,25,26.19,Basic Materials,Gold,20860000000.0,31.52,N/A,2.47,N/A,0.0,77.8544
Newcrest Mining Limited,NCM,2021,1,25,26.19,Basic Materials,Gold,21120000000.0,31.52,N/A,2.47,N/A,0.0,77.8544
Newcrest Mining Limited,NCM,2021,1,27,25.0,Basic Materials,Gold,20180000000.0,30.08,N/A,2.36,N/A,0.0,70.9888
Newcrest Mining Limited,NCM,2021,1,28,25.0,Basic Materials,Gold,20950000000.0,30.08,N/A,2.36,N/A,0.0,70.9888
Newcrest Mining Limited,NCM,2021,1,29,24.75,Basic Materials,Gold,20190000000.0,29.78,N/A,2.34,N/A,0.0,69.6852
Newcrest Mining Limited,NCM,2021,2,1,25.55,Basic Materials,Gold,20840000000.0,30.75,N/A,2.41,N/A,0.0,74.1075
Newcrest Mining Limited,NCM,2021,2,2,25.0,Basic Materials,Gold,20390000000.0,30.08,N/A,2.36,N/A,0.0,70.9888
Newcrest Mining Limited,NCM,2021,2,3,25.16,Basic Materials,Gold,20580000000.0,30.28,N/A,2.38,N/A,0.0,72.0664
Newcrest Mining Limited,NCM,2021,2,4,25.1,Basic Materials,Gold,20530000000.0,30.2,N/A,2.37,N/A,0.0,71.574
Newcrest Mining Limited,NCM,2021,2,5,24.71,Basic Materials,Gold,19490000000.0,29.74,N/A,2.33,N/A,0.0,69.2942
Newcrest Mining Limited,NCM,2021,2,8,25.32,Basic Materials,Gold,20280000000.0,30.47,N/A,2.39,N/A,0.0,72.8233
Newcrest Mining Limited,NCM,2021,2,9,25.25,Basic Materials,Gold,20110000000.0,30.39,N/A,2.39,N/A,0.0,72.63210000000001
Newcrest Mining Limited,NCM,2021,2,9,25.25,Basic Materials,Gold,20110000000.0,30.39,N/A,2.39,N/A,0.0,72.63210000000001
Newcrest Mining Limited,NCM,2021,2,10,25.1,Basic Materials,Gold,19990000000.0,30.2,N/A,2.37,N/A,0.0,71.574
Newcrest Mining Limited,NCM,2021,2,11,25.33,Basic Materials,Gold,21000000000.0,21.09,N/A,2.15,N/A,0.0,45.3435
Newcrest Mining Limited,NCM,2021,2,11,25.33,Basic Materials,Gold,21000000000.0,21.09,N/A,2.15,N/A,0.0,45.3435
Newcrest Mining Limited,NCM,2021,2,16,25.65,Basic Materials,Gold,21130000000.0,21.36,N/A,2.17,0.0075,0.0,46.00615384615384
Newcrest Mining Limited,NCM,2021,2,17,24.21,Basic Materials,Gold,19950000000.0,20.16,N/A,2.05,0.0075,0.0,41.020347394540934
Newcrest Mining Limited,NCM,2021,2,18,24.29,Basic Materials,Gold,19760000000.0,20.22,N/A,2.06,0.0074,0.0,41.347230494341865
Newcrest Mining Limited,NCM,2021,2,19,24.98,Basic Materials,Gold,19960000000.0,20.8,N/A,2.12,0.0079,0.0,43.75037206072031
