Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
New Pacific Metals Corp.,NUAG,2021,1,6,8.6,Basic Materials,Other Precious Metals & Mining,1320000000.0,286.67,N/A,7.53,N/A,0.0,2158.6251
New Pacific Metals Corp.,NUAG,2021,1,7,8.63,Basic Materials,Other Precious Metals & Mining,1320000000.0,287.67,N/A,7.56,N/A,0.0,2174.7852
New Pacific Metals Corp.,NUAG,2021,1,8,8.34,Basic Materials,Other Precious Metals & Mining,1280000000.0,278.0,N/A,7.3,N/A,0.0,2029.3999999999999
New Pacific Metals Corp.,NUAG,2021,1,11,8.19,Basic Materials,Other Precious Metals & Mining,1250000000.0,273.0,N/A,7.17,N/A,0.0,1957.41
New Pacific Metals Corp.,NUAG,2021,1,12,8.18,Basic Materials,Other Precious Metals & Mining,1250000000.0,272.67,N/A,7.16,N/A,0.0,1952.3172000000002
New Pacific Metals Corp.,NUAG,2021,1,13,8.22,Basic Materials,Other Precious Metals & Mining,1260000000.0,274.0,N/A,7.2,N/A,0.0,1972.8
New Pacific Metals Corp.,NUAG,2021,1,14,8.33,Basic Materials,Other Precious Metals & Mining,1270000000.0,277.67,N/A,7.29,N/A,0.0,2024.2143
New Pacific Metals Corp.,NUAG,2021,1,15,7.44,Basic Materials,Other Precious Metals & Mining,1140000000.0,248.0,N/A,6.51,N/A,0.0,1614.48
New Pacific Metals Corp.,NUAG,2021,1,18,7.2,Basic Materials,Other Precious Metals & Mining,1100000000.0,240.0,N/A,6.3,N/A,0.0,1512.0
New Pacific Metals Corp.,NUAG,2021,1,19,7.37,Basic Materials,Other Precious Metals & Mining,1130000000.0,245.67,N/A,6.45,N/A,0.0,1584.5715
New Pacific Metals Corp.,NUAG,2021,1,20,7.8,Basic Materials,Other Precious Metals & Mining,1190000000.0,260.0,N/A,6.83,N/A,0.0,1775.8
New Pacific Metals Corp.,NUAG,2021,1,21,7.66,Basic Materials,Other Precious Metals & Mining,1170000000.0,255.33,N/A,6.71,N/A,0.0,1713.2643
