Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
NexGen Energy Ltd.,NXE,2021,1,6,3.7,Energy,Uranium,1390000000.0,N/A,N/A,9.97,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,7,3.83,Energy,Uranium,1440000000.0,N/A,N/A,10.32,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,8,3.72,Energy,Uranium,1400000000.0,N/A,N/A,10.03,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,11,3.61,Energy,Uranium,1360000000.0,N/A,N/A,9.73,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,12,3.44,Energy,Uranium,1300000000.0,N/A,N/A,9.27,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,13,3.34,Energy,Uranium,1260000000.0,N/A,N/A,9.0,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,14,3.47,Energy,Uranium,1310000000.0,N/A,N/A,9.35,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,15,3.35,Energy,Uranium,1270000000.0,N/A,N/A,9.03,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,18,3.35,Energy,Uranium,1270000000.0,N/A,N/A,9.03,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,1,19,3.3,Energy,Uranium,1250000000.0,N/A,N/A,8.89,N/A,0.0,N/A
