Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brompton Oil Split Corp.,OSP,2021,1,6,0.5,Financial Services,Asset Management,475.51,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,7,0.55,Financial Services,Asset Management,523.06,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,7,0.55,Financial Services,Asset Management,523.06,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,11,0.56,Financial Services,Asset Management,532.57,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,12,0.87,Financial Services,Asset Management,827.38,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,13,0.95,Financial Services,Asset Management,903.46,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,14,1.64,Financial Services,Asset Management,1560000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,15,1.95,Financial Services,Asset Management,1850000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,18,1.92,Financial Services,Asset Management,1850000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,19,1.97,Financial Services,Asset Management,1900000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,20,1.57,Financial Services,Asset Management,1490000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,21,1.78,Financial Services,Asset Management,1690000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,22,1.75,Financial Services,Asset Management,1660000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,25,1.22,Financial Services,Asset Management,1160000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,26,1.3,Financial Services,Asset Management,1240000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,27,1.0,Financial Services,Asset Management,951.01,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,28,1.25,Financial Services,Asset Management,1190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,1,29,1.26,Financial Services,Asset Management,1200000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,1,1.2,Financial Services,Asset Management,1200000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,2,1.27,Financial Services,Asset Management,1270000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,3,1.37,Financial Services,Asset Management,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brompton Oil Split Corp.,OSP,2021,2,4,1.34,Financial Services,Asset Management,1270000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,5,1.37,Financial Services,Asset Management,1300000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,8,1.4,Financial Services,Asset Management,1330000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,9,1.29,Financial Services,Asset Management,1230000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,9,1.29,Financial Services,Asset Management,1230000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,10,1.3,Financial Services,Asset Management,1240000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,11,1.35,Financial Services,Asset Management,1280000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,12,1.35,Financial Services,Asset Management,1280000.0,N/A,N/A,N/A,N/A,0.0,N/A
Brompton Oil Split Corp.,OSP,2021,2,16,1.25,Financial Services,Asset Management,1190000.0,N/A,N/A,N/A,N/A,0.0,N/A
