Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CounterPath Corporation,PATH,2021,1,5,4.25,Technology,Software—Application,27830000.0,39.72,N/A,6.79,N/A,0.0,269.6988
CounterPath Corporation,PATH,2021,1,7,4.3,Technology,Software—Application,28330000.0,40.19,N/A,6.87,N/A,0.0,276.1053
CounterPath Corporation,PATH,2021,1,8,4.32,Technology,Software—Application,27890000.0,40.37,N/A,6.9,N/A,0.0,278.553
CounterPath Corporation,PATH,2021,1,8,4.32,Technology,Software—Application,27670000.0,40.37,N/A,6.9,N/A,0.0,278.553
CounterPath Corporation,PATH,2021,1,12,4.34,Technology,Software—Application,27850000.0,40.56,N/A,6.93,N/A,0.0,281.0808
CounterPath Corporation,PATH,2021,1,13,4.38,Technology,Software—Application,28300000.0,40.93,N/A,7.0,N/A,0.0,286.51
CounterPath Corporation,PATH,2021,1,14,4.35,Technology,Software—Application,27960000.0,40.65,N/A,6.95,N/A,0.0,282.5175
CounterPath Corporation,PATH,2021,1,14,4.35,Technology,Software—Application,27850000.0,40.65,N/A,6.95,N/A,0.0,282.5175
CounterPath Corporation,PATH,2021,1,14,4.35,Technology,Software—Application,27620000.0,40.65,N/A,6.95,N/A,0.0,282.5175
CounterPath Corporation,PATH,2021,1,14,4.35,Technology,Software—Application,28160000.0,40.65,N/A,6.95,N/A,0.0,282.5175
CounterPath Corporation,PATH,2021,1,14,4.35,Technology,Software—Application,27840000.0,40.65,N/A,6.95,N/A,0.0,282.5175
CounterPath Corporation,PATH,2021,1,14,4.35,Technology,Software—Application,27820000.0,40.65,N/A,6.95,N/A,0.0,282.5175
