Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Plaza Retail REIT,PLZ-UN,2021,1,6,3.7,Real Estate,REIT由etail,376570000.0,N/A,N/A,0.9,0.07629999999999999,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,7,3.69,Real Estate,REIT由etail,375550000.0,N/A,N/A,0.89,0.0767,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,8,3.67,Real Estate,REIT由etail,373510000.0,N/A,N/A,0.89,0.0767,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,11,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.07629999999999999,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,12,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.0771,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,13,3.6,Real Estate,REIT由etail,366390000.0,N/A,N/A,0.87,0.0771,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,14,3.58,Real Estate,REIT由etail,364350000.0,N/A,N/A,0.87,0.0771,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,15,3.58,Real Estate,REIT由etail,364350000.0,N/A,N/A,0.87,0.0771,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,18,3.6,Real Estate,REIT由etail,366390000.0,N/A,N/A,0.87,0.0782,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,19,3.6,Real Estate,REIT由etail,366390000.0,N/A,N/A,0.87,0.07780000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,20,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.07780000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,21,3.59,Real Estate,REIT由etail,365370000.0,N/A,N/A,0.87,0.07780000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,22,3.61,Real Estate,REIT由etail,367410000.0,N/A,N/A,0.87,0.078,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,25,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.0776,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,26,3.64,Real Estate,REIT由etail,370460000.0,N/A,N/A,0.88,0.0771,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,27,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.0771,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,28,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.07690000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,1,29,3.64,Real Estate,REIT由etail,370460000.0,N/A,N/A,0.88,0.07690000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,1,3.62,Real Estate,REIT由etail,368430000.0,N/A,N/A,0.88,0.07730000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,2,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.07730000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,3,3.61,Real Estate,REIT由etail,367410000.0,N/A,N/A,0.87,0.07730000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,4,3.62,Real Estate,REIT由etail,368430000.0,N/A,N/A,0.88,0.07730000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,5,3.65,Real Estate,REIT由etail,371480000.0,N/A,N/A,0.88,0.07730000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,8,3.64,Real Estate,REIT由etail,370460000.0,N/A,N/A,0.88,0.0767,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,9,3.64,Real Estate,REIT由etail,370460000.0,N/A,N/A,0.88,0.0767,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,9,3.64,Real Estate,REIT由etail,370460000.0,N/A,N/A,0.88,0.0767,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,10,3.63,Real Estate,REIT由etail,369440000.0,N/A,N/A,0.88,0.07690000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,11,3.65,Real Estate,REIT由etail,371480000.0,N/A,N/A,0.88,0.0767,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,12,3.66,Real Estate,REIT由etail,372500000.0,N/A,N/A,0.89,0.0765,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,16,3.7,Real Estate,REIT由etail,376570000.0,N/A,N/A,0.9,0.0765,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,17,3.74,Real Estate,REIT由etail,380640000.0,N/A,N/A,0.91,0.0765,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,18,3.68,Real Estate,REIT由etail,374530000.0,N/A,N/A,0.89,0.0757,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,19,3.7,Real Estate,REIT由etail,376570000.0,N/A,N/A,0.9,0.07490000000000001,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,22,3.72,Real Estate,REIT由etail,378600000.0,N/A,N/A,0.9,0.0757,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,23,3.73,Real Estate,REIT由etail,380640000.0,N/A,N/A,0.9,0.0751,N/A,N/A
Plaza Retail REIT,PLZ-UN,2021,2,24,3.75,Real Estate,REIT由etail,382680000.0,N/A,N/A,0.91,0.0751,N/A,N/A
