Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Power Corporation of Canada,POW,2021,1,6,29.9,Financial Services,Insurance有ife,20440000000.0,11.28,1.69,0.99,0.061,0.8375,10.52516493873704
Power Corporation of Canada,POW,2021,1,7,29.88,Financial Services,Insurance有ife,20390000000.0,11.28,1.69,0.99,0.0599,0.8375,10.536088310217943
Power Corporation of Canada,POW,2021,1,8,29.91,Financial Services,Insurance有ife,20410000000.0,11.29,1.73,0.99,0.0599,0.8375,10.54542881403906
Power Corporation of Canada,POW,2021,1,11,29.89,Financial Services,Insurance有ife,20400000000.0,11.28,1.73,0.99,0.059800000000000006,0.8375,10.537082468390262
Power Corporation of Canada,POW,2021,1,12,30.11,Financial Services,Insurance有ife,20440000000.0,11.36,1.73,1.0,0.0599,0.8375,10.717992263421076
Power Corporation of Canada,POW,2021,1,13,29.89,Financial Services,Insurance有ife,20280000000.0,11.28,1.73,0.99,0.0594,0.8375,10.541060977912027
Power Corporation of Canada,POW,2021,1,14,30.87,Financial Services,Insurance有ife,20940000000.0,11.65,1.73,1.02,0.0594,0.8375,11.216726448933361
Power Corporation of Canada,POW,2021,1,15,31.34,Financial Services,Insurance有ife,21270000000.0,11.83,1.77,1.04,0.0599,0.8375,11.607887536560053
Power Corporation of Canada,POW,2021,1,18,31.44,Financial Services,Insurance有ife,21250000000.0,11.86,1.77,1.04,0.056900000000000006,0.8375,11.670356703567037
Power Corporation of Canada,POW,2021,1,19,31.12,Financial Services,Insurance有ife,21030000000.0,11.74,1.77,1.03,0.056900000000000006,0.8375,11.441195950421044
Power Corporation of Canada,POW,2021,1,20,31.13,Financial Services,Insurance有ife,21040000000.0,11.75,1.77,1.03,0.056900000000000006,0.8375,11.45094143249125
Power Corporation of Canada,POW,2021,1,21,31.3,Financial Services,Insurance有ife,21170000000.0,11.81,1.78,1.04,0.0575,0.8375,11.614562647754136
Power Corporation of Canada,POW,2021,1,22,30.89,Financial Services,Insurance有ife,20890000000.0,11.66,1.78,1.02,0.0572,0.8375,11.249716231555052
