Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Perseus Mining Limited,PRU,2021,1,6,1.31,Basic Materials,Gold,1600000000.0,N/A,N/A,2.59,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,7,1.31,Basic Materials,Gold,1630000000.0,N/A,N/A,2.59,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,8,1.26,Basic Materials,Gold,1560000000.0,N/A,N/A,2.5,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,11,1.21,Basic Materials,Gold,1510000000.0,N/A,N/A,2.4,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,12,1.2,Basic Materials,Gold,1430000000.0,N/A,N/A,2.38,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,13,1.19,Basic Materials,Gold,1420000000.0,N/A,N/A,2.36,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,14,1.2,Basic Materials,Gold,1480000000.0,N/A,N/A,2.38,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,15,1.15,Basic Materials,Gold,1390000000.0,N/A,N/A,2.28,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,18,1.17,Basic Materials,Gold,1460000000.0,N/A,N/A,2.32,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,19,1.16,Basic Materials,Gold,1410000000.0,N/A,N/A,2.3,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,20,1.25,Basic Materials,Gold,1530000000.0,N/A,N/A,2.48,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,21,1.22,Basic Materials,Gold,1450000000.0,N/A,N/A,2.42,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,22,1.22,Basic Materials,Gold,1530000000.0,N/A,N/A,2.42,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,25,1.22,Basic Materials,Gold,1520000000.0,N/A,N/A,2.42,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,26,1.23,Basic Materials,Gold,1540000000.0,N/A,N/A,2.44,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,27,1.16,Basic Materials,Gold,1440000000.0,N/A,N/A,2.3,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,28,1.17,Basic Materials,Gold,1510000000.0,N/A,N/A,2.32,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,1,29,1.17,Basic Materials,Gold,1420000000.0,N/A,N/A,2.32,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,1,1.2,Basic Materials,Gold,1460000000.0,N/A,N/A,2.38,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,2,1.18,Basic Materials,Gold,1430000000.0,N/A,N/A,2.34,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,3,1.2,Basic Materials,Gold,1500000000.0,N/A,N/A,2.38,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,4,1.17,Basic Materials,Gold,1440000000.0,N/A,N/A,2.32,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,5,1.18,Basic Materials,Gold,1420000000.0,N/A,N/A,2.34,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,8,1.18,Basic Materials,Gold,1400000000.0,N/A,N/A,2.34,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,9,1.17,Basic Materials,Gold,1410000000.0,N/A,N/A,2.32,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,10,1.23,Basic Materials,Gold,1550000000.0,N/A,N/A,2.44,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,11,1.21,Basic Materials,Gold,1500000000.0,N/A,N/A,2.4,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,12,1.18,Basic Materials,Gold,1470000000.0,N/A,N/A,2.34,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,16,1.17,Basic Materials,Gold,1420000000.0,N/A,N/A,2.32,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,17,1.16,Basic Materials,Gold,1480000000.0,N/A,N/A,2.3,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,18,1.12,Basic Materials,Gold,1380000000.0,N/A,N/A,2.22,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,2,19,1.1,Basic Materials,Gold,1350000000.0,N/A,N/A,2.18,N/A,0.0,N/A
