Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Platinum Group Metals Ltd.,PTM,2021,1,6,6.68,Basic Materials,Other Precious Metals & Mining,479940000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,7,6.8,Basic Materials,Other Precious Metals & Mining,488560000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,8,6.32,Basic Materials,Other Precious Metals & Mining,454080000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,11,6.21,Basic Materials,Other Precious Metals & Mining,446170000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,12,6.37,Basic Materials,Other Precious Metals & Mining,457670000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,13,6.17,Basic Materials,Other Precious Metals & Mining,443300000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,14,6.06,Basic Materials,Other Precious Metals & Mining,437540000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,15,5.53,Basic Materials,Other Precious Metals & Mining,399280000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,18,5.64,Basic Materials,Other Precious Metals & Mining,399320000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,19,5.64,Basic Materials,Other Precious Metals & Mining,407260000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,20,5.47,Basic Materials,Other Precious Metals & Mining,394990000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,21,5.33,Basic Materials,Other Precious Metals & Mining,384880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,22,5.34,Basic Materials,Other Precious Metals & Mining,385600000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,25,5.2,Basic Materials,Other Precious Metals & Mining,375490000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,26,5.09,Basic Materials,Other Precious Metals & Mining,367550000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,27,4.55,Basic Materials,Other Precious Metals & Mining,328550000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,28,5.01,Basic Materials,Other Precious Metals & Mining,361770000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,1,29,4.8,Basic Materials,Other Precious Metals & Mining,346610000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,1,5.6,Basic Materials,Other Precious Metals & Mining,404370000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,1,5.6,Basic Materials,Other Precious Metals & Mining,404370000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,2,5.2,Basic Materials,Other Precious Metals & Mining,375490000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,3,5.35,Basic Materials,Other Precious Metals & Mining,386320000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,4,5.7,Basic Materials,Other Precious Metals & Mining,411600000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,5,5.71,Basic Materials,Other Precious Metals & Mining,412320000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,8,6.1,Basic Materials,Other Precious Metals & Mining,440480000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,9,5.92,Basic Materials,Other Precious Metals & Mining,427480000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,9,5.92,Basic Materials,Other Precious Metals & Mining,427480000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,10,6.33,Basic Materials,Other Precious Metals & Mining,457090000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,11,6.17,Basic Materials,Other Precious Metals & Mining,445530000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,12,6.21,Basic Materials,Other Precious Metals & Mining,448420000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,16,6.76,Basic Materials,Other Precious Metals & Mining,488140000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,17,6.61,Basic Materials,Other Precious Metals & Mining,477760000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,18,6.34,Basic Materials,Other Precious Metals & Mining,458240000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,19,6.33,Basic Materials,Other Precious Metals & Mining,457520000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,22,6.04,Basic Materials,Other Precious Metals & Mining,436560000.0,N/A,N/A,N/A,N/A,0.0,N/A
Platinum Group Metals Ltd.,PTM,2021,2,23,5.57,Basic Materials,Other Precious Metals & Mining,402590000.0,N/A,N/A,N/A,N/A,0.0,N/A
