Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
The Bitcoin Fund Class A,QBTC-U,2021,1,6,46.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,7,51.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,8,51.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,11,41.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,12,45.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,13,47.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,14,48.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,15,43.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,18,43.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,19,43.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,20,41.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,21,37.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,22,38.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,25,38.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,26,35.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,27,35.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,28,37.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,1,29,39.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,1,39.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,2,41.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,3,42.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,4,43.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,5,43.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,8,51.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,9,54.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Bitcoin Fund Class A,QBTC-U,2021,2,9,54.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
