Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Questerre Energy Corporation,QEC,2021,1,6,0.2,Energy,Oil & Gas E&P,85500000.0,N/A,N/A,0.56,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,7,0.215,Energy,Oil & Gas E&P,91920000.0,N/A,N/A,0.6,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,8,0.215,Energy,Oil & Gas E&P,91920000.0,N/A,N/A,0.6,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,11,0.2,Energy,Oil & Gas E&P,85500000.0,N/A,N/A,0.56,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,12,0.2,Energy,Oil & Gas E&P,85500000.0,N/A,N/A,0.56,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,13,0.19,Energy,Oil & Gas E&P,81230000.0,N/A,N/A,0.53,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,14,0.195,Energy,Oil & Gas E&P,83370000.0,N/A,N/A,0.55,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,15,0.19,Energy,Oil & Gas E&P,81230000.0,N/A,N/A,0.53,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,18,0.195,Energy,Oil & Gas E&P,83370000.0,N/A,N/A,0.55,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,19,0.21,Energy,Oil & Gas E&P,89780000.0,N/A,N/A,0.59,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,20,0.21,Energy,Oil & Gas E&P,89780000.0,N/A,N/A,0.59,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,21,0.21,Energy,Oil & Gas E&P,89780000.0,N/A,N/A,0.59,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,22,0.2,Energy,Oil & Gas E&P,85500000.0,N/A,N/A,0.56,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,25,0.18,Energy,Oil & Gas E&P,76950000.0,N/A,N/A,0.5,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,26,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,27,0.19,Energy,Oil & Gas E&P,81230000.0,N/A,N/A,0.53,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,28,0.18,Energy,Oil & Gas E&P,76950000.0,N/A,N/A,0.5,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,1,29,0.18,Energy,Oil & Gas E&P,76950000.0,N/A,N/A,0.5,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,1,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,1,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,2,0.175,Energy,Oil & Gas E&P,74820000.0,N/A,N/A,0.49,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,3,0.175,Energy,Oil & Gas E&P,74820000.0,N/A,N/A,0.49,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,4,0.18,Energy,Oil & Gas E&P,76950000.0,N/A,N/A,0.5,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,5,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,8,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,9,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,9,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,10,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,11,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
Questerre Energy Corporation,QEC,2021,2,12,0.185,Energy,Oil & Gas E&P,79090000.0,N/A,N/A,0.52,N/A,0.0,N/A
