Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Quarterhill Inc.,QTRH,2021,1,6,2.57,Technology,Communication Equipment,295650000.0,8.34,0.42,0.99,0.0194,0.1724,8.099470276633314
Quarterhill Inc.,QTRH,2021,1,7,2.58,Technology,Communication Equipment,295650000.0,8.38,0.42,1.0,0.0194,0.1724,8.220521875613105
Quarterhill Inc.,QTRH,2021,1,8,2.59,Technology,Communication Equipment,296790000.0,8.41,0.42,1.0,0.0194,0.1724,8.249950951540121
Quarterhill Inc.,QTRH,2021,1,11,2.59,Technology,Communication Equipment,296790000.0,8.41,0.42,1.0,0.019299999999999998,0.1724,8.250760325713724
Quarterhill Inc.,QTRH,2021,1,12,2.64,Technology,Communication Equipment,302520000.0,8.57,0.42,1.02,0.019299999999999998,0.1724,8.57588541155695
Quarterhill Inc.,QTRH,2021,1,13,2.61,Technology,Communication Equipment,299090000.0,8.47,0.44,1.01,0.0189,0.1724,8.39601531062911
Quarterhill Inc.,QTRH,2021,1,14,2.62,Technology,Communication Equipment,300230000.0,8.51,0.44,1.01,0.0189,0.1724,8.43566591422122
Quarterhill Inc.,QTRH,2021,1,15,2.62,Technology,Communication Equipment,300230000.0,8.51,0.44,1.01,0.0192,0.1724,8.433182888540031
Quarterhill Inc.,QTRH,2021,1,18,2.62,Technology,Communication Equipment,300230000.0,8.51,0.44,1.01,0.0191,0.1724,8.434010401334513
Quarterhill Inc.,QTRH,2021,1,19,2.63,Technology,Communication Equipment,301380000.0,8.54,0.44,1.01,0.0191,0.1724,8.463742517907958
Quarterhill Inc.,QTRH,2021,1,20,2.61,Technology,Communication Equipment,299090000.0,8.47,0.44,1.01,0.019,0.1724,8.395191364082436
Quarterhill Inc.,QTRH,2021,1,21,2.62,Technology,Communication Equipment,300230000.0,8.51,0.44,1.01,0.0192,0.1724,8.433182888540031
Quarterhill Inc.,QTRH,2021,1,22,2.63,Technology,Communication Equipment,301380000.0,8.54,0.44,1.01,0.019,0.2298,8.464573110893033
Quarterhill Inc.,QTRH,2021,1,25,2.6,Technology,Communication Equipment,297940000.0,8.44,0.44,1.0,0.019,0.2298,8.282630029440629
